long-eRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
12:106814015-106827009:+	108.33888922816209	-4.905055363598982	0.6292432025831997	-7.795166230580658	6.432374364711863e-15	3.0875396950616944e-13
6:131379221-131420606:-	174.39959444750616	-5.157126484826182	0.6573409067341327	-7.8454367163126015	4.314493759483102e-15	3.0875396950616944e-13
7:12274889-12289097:-	91.93634030968501	-4.459875991980285	0.5847524039122598	-7.6269476827144	2.4037708445666865e-14	7.692066702613397e-13
13:23857829-23868554:+	245.9101731137578	-4.576452095857475	0.6128747296923623	-7.467190070236152	8.192539186292413e-14	1.966209404710179e-12
16:52132293-52144311:-	83.1298797534667	-3.265811505552299	0.4835847843337786	-6.753338010937456	1.4448180321447545e-11	2.7740506217179283e-10
4:207685701-207699822:+	351.88447339958697	-2.3488136576509855	0.3650742806011383	-6.433796579105447	1.2445539746491596e-10	1.7431161026357453e-09
4:55958096-55978342:-	191.37830858891368	-2.6030133843712897	0.40478553509048776	-6.430598820161395	1.2710221581718977e-10	1.7431161026357453e-09
4:141343218-141359001:-	105.08977238744893	-3.9212467843292944	0.614717784340982	-6.37893824486163	1.7831991930120836e-10	2.1398390316145e-09
3:204676335-204686456:+	260.34617160036856	-2.1292334800147175	0.34603881751348625	-6.1531636690780624	7.595235020690115e-10	8.101584022069455e-09
nw_027522565.1:259151-280474:+	82.99462235126995	-4.710215016546472	0.8973619002247101	-5.248958101928529	1.5296185653747605e-07	1.46843382275977e-06
nw_027522565.1:157936-188408:+	105.00849253991969	-3.8042405915007858	0.7309110738697813	-5.204792658783204	1.9421332755187126e-07	1.694952676816331e-06
1:206558541-206602456:-	170.4282964224481	-4.243387919099965	0.828808871071941	-5.11986305553387	3.0575760507014693e-07	2.3959193834349628e-06
nw_027522831.1:25453-38893:+	56.937927764456276	2.4354721004070266	0.4767338091541859	5.108662430986393	3.2444741650681784e-07	2.3959193834349628e-06
1:201105641-201146342:-	140.09179296922858	-4.296911374617179	0.8719187906495979	-4.928109613758743	8.302903430600513e-07	5.6934194952689225e-06
nw_027520944.1:213498-232122:+	785.7730465644918	1.5659125388895119	0.3382846228015869	4.628979366312971	3.6747237733994183e-06	2.3518232149756278e-05
11:4794727-4810455:+	375.60696300288674	-1.9645687931842173	0.42881956493624573	-4.581341323538485	4.620030814506097e-06	2.772018488703658e-05
nw_027523944.1:76720-90147:-	56.35791076111991	2.1172229505647846	0.47651067461290714	4.443180527455567	8.863873231200465e-06	5.0054813540896744e-05
nw_027523917.1:55784-78489:-	83.58099423689252	1.906275440301727	0.4350868465451154	4.381367663579918	1.1793666686151979e-05	6.289955565947722e-05
4:141307624-141332204:-	141.55103050638985	-2.884113787119917	0.7002543028405526	-4.118666283692408	3.810715397218059e-05	0.0001925414095436493
14:10443785-10455607:-	341.97454288515036	-1.512089992992722	0.3711141634265064	-4.074460481463594	4.6121143859947786e-05	0.00021083951478833272
6:199236517-199249582:+	110.63037138681041	1.9817852841407937	0.48564875085915915	4.080696760024248	4.490090190307242e-05	0.00021083951478833272
nw_027522943.1:14073-40965:+	286.4653402083796	1.1106434679523558	0.27955102471414073	3.9729543795736815	7.098664884916166e-05	0.0003097599222508872
3:204686312-204699426:+	290.34873151328395	-1.7718599970956814	0.4619810421805287	-3.8353521796751355	0.0001253844993881441	0.0005015379975525764
nw_027523660.1:1693027-1752065:+	379.0166593994175	1.4291759803462218	0.37162542315250635	3.8457432977068464	0.00012018753998457898	0.0005015379975525764
nw_027522939.1:65023-76707:+	1704.5009134491322	-1.8312824338333173	0.4820302749313535	-3.79910252337182	0.0001452210134622753	0.0005576486916951371
