long-eRNA	log2fc	pvalue	FDR
nw_027521300.1:171255-202616:-	-5.291722428409251	1.7181540377176832e-221	1.7525171184720367e-219
4:162836256-162876722:-	-4.194622944548518	3.078047142280991e-140	1.5698040425633054e-138
nw_027520944.1:213498-232122:+	-4.410235648658049	1.4778570484354284e-113	5.024713964680457e-112
10:33886825-33896919:-	-4.584801325431612	2.887644552910213e-89	7.363493609921043e-88
nw_027520944.1:199812-214098:-	-2.64366343051844	6.95799392318627e-81	1.4194307603299992e-79
2:58775075-58888047:+	-2.169441041212475	1.7151009385821977e-70	2.9156715955897363e-69
nw_027521117.1:73179-111559:-	-3.285089059760652	4.616298623520584e-64	6.726606565701422e-63
nw_027525482.1:5788-19064:-	-2.861545932968022	4.0021587262274525e-62	5.102752375940002e-61
nw_027524315.1:236159-275348:+	-3.1911598901168094	6.694785689592266e-58	7.587423781537901e-57
nw_027521246.1:97528-137868:+	-3.4232256547139177	3.796891580679796e-44	3.872829412293392e-43
5:64361863-64373235:+	-4.353793839296046	2.5329288136835802e-40	2.348715809052047e-39
nw_027523264.1:1017985-1042419:+	-2.1362310697331783	4.3242590281302556e-39	3.6756201739107176e-38
nw_027524440.1:581481-603178:+	-2.155996853422737	2.800111404312973e-38	2.197010486460948e-37
10:28954815-28967813:-	2.0893415114367384	2.7593925045706204e-37	2.010414539044309e-36
nw_027520990.1:727637-743995:-	-3.1391234039193407	9.741154667935595e-36	6.623985174196204e-35
nw_027523917.1:55784-78489:-	-2.846208246558931	1.6240078294032492e-35	1.0353049912445714e-34
nw_027522592.1:95149-138190:-	-3.2367104855819395	5.655190054348157e-34	3.3931140326088945e-33
nw_027522124.1:17044-31986:+	-2.454196958818501	1.9619835955645853e-33	1.111790704153265e-32
nw_027523944.1:76720-90147:-	-3.3196957850022653	3.3611945985334294e-33	1.804430784475841e-32
10:98952269-98974927:-	-1.950738287589037	1.2162894315951035e-32	6.203076101135028e-32
nw_027521049.1:408404-429998:-	-1.8598292857224623	2.708495713138233e-31	1.3155550606671418e-30
nw_027521144.1:51419-62679:-	-2.3362785260650765	1.1430746731493318e-30	5.2997098482378106e-30
nw_027522720.1:2591181-2611912:+	-1.8839343914239228	1.5021379584507695e-30	6.661655293999065e-30
11:13203549-13214789:-	-2.8350573280699805	4.637662874974107e-30	1.9710067218639955e-29
nw_027521170.1:384691-397021:-	-1.9297097457630468	4.450275313528538e-29	1.8157123279196437e-28
3:204686312-204699426:+	1.3155729427774085	1.1119696393274265e-28	4.362342431207597e-28
nw_027523660.1:1693027-1752065:+	-2.9306730055648624	1.4399956353890852e-28	5.2971471965170225e-28
7:12274889-12289097:-	3.238711156599297	1.454118838259575e-28	5.2971471965170225e-28
nw_027522984.1:14502-35770:+	-2.0909134850387314	4.462699810863632e-28	1.5696392438210016e-27
1:212390451-212410524:+	-2.301344784179271	9.342539718037307e-28	3.1764635041326844e-27
nw_027524175.1:1500877-1512248:-	-3.1044645919072598	1.6988135657329082e-27	5.5896446356373116e-27
5:64336378-64349089:+	-3.829970790958889	2.7484907190351712e-24	8.760814166924609e-24
9:18416551-18445179:-	-2.3035812666732376	2.3020429381708722e-23	7.115405445255422e-23
nw_027522720.1:1569361-1591379:+	-3.594895564728106	1.1068683539391689e-22	3.320605061817507e-22
2:148559983-148580907:-	-2.6971986361032267	4.650084363563339e-22	1.3551674430956018e-21
6:45666761-45687764:-	-1.5631560271361338	1.4144261485078831e-21	3.899228841832543e-21
nw_027520944.1:155632-171792:-	-1.9302683247682675	1.3828811268238267e-21	3.899228841832543e-21
nw_027520965.1:258588-302733:-	-1.2205034246935966	7.508907422924808e-19	2.0155488345745537e-18
nw_027522374.1:153307-175364:+	-1.5946258910295517	1.4585891708092468e-17	3.7194023855635794e-17
13:23809795-23824010:-	-3.543158500614425	1.4472310591062243e-17	3.7194023855635794e-17
nw_027526147.1:276960-298458:-	-2.4885854795796525	8.736454749640211e-16	2.1734594743007353e-15
3:204676335-204686456:+	-1.9902158865704038	1.6612594720123865e-15	4.034487289172939e-15
9:39190416-39210556:-	-2.5492840817913645	1.7491060603732354e-15	4.149042282745814e-15
nw_027521401.1:188930-252485:+	-1.7291785369835813	5.3113065578022175e-15	1.2312574293086958e-14
nw_027520960.1:99901-134578:-	-1.0199091136894958	5.258648832399976e-14	1.1919604020106612e-13
3:26256493-26279079:-	-1.293456273092067	1.3256524353536926e-13	2.9394901827407965e-13
nw_027520962.1:288020-329575:-	-1.0348358000175573	3.5916267403492886e-13	7.794594202460159e-13
nw_027522888.1:229435-271660:-	-0.9658169480389538	5.225714334705904e-13	1.1104642961250045e-12
9:51535489-51555402:+	-1.6426324446123473	6.224010149790088e-13	1.2956102760787531e-12
4:141307624-141332204:-	-2.113840456743391	4.041183946054907e-12	8.24401524995201e-12
13:17390005-17402825:+	-1.3461415229197937	7.565824022711183e-12	1.5131648045422366e-11
13:16561343-16571538:-	-2.6507292521965016	8.355311983342039e-12	1.6389265813478615e-11
nw_027524086.1:134959-165985:-	-3.016389531133735	5.352702098686413e-11	1.0301426680490832e-10
nw_027522831.1:25453-38893:+	-1.9606294979084882	6.724521698770406e-11	1.2701874319899657e-10
nw_027523678.1:100644-123046:-	-2.6140953473383197	5.509038420836232e-10	1.0216762162278104e-09
nw_027522939.1:4856-16031:-	-2.860286266361604	6.53161784328883e-10	1.1896875357418939e-09
15:36743608-36760746:+	-1.1274382646255974	1.0920057372280968e-09	1.9541155297765942e-09
1:14553169-14596100:+	-1.2169406710549473	1.5349808978280598e-09	2.6994491651458982e-09
nw_027522568.1:23713-63717:+	-2.28644957907349	4.425347362278575e-09	7.650600524617198e-09
16:37099404-37109727:-	-2.0032672238742855	4.585595271259676e-09	7.79551196114145e-09
6:25435984-25446702:-	-1.4515235426364606	6.573239670799916e-09	1.0991318793796582e-08
nw_027522939.1:25035-54193:-	-2.4854067458617104	1.9570745266376862e-08	3.2197032535007097e-08
11:4794727-4810455:+	0.9577163472615924	4.76395502425917e-08	7.713070039276751e-08
11:96007074-96080761:+	-1.598284725229345	6.037559248692478e-08	9.622360052603637e-08
3:139702179-139765483:-	-1.151935627495067	3.02114871431134e-07	4.7408795209193337e-07
14:10443785-10455607:-	0.4375936591923098	7.880077361131632e-07	1.217830137629434e-06
4:141343218-141359001:-	-2.247209712369042	2.300110552795686e-06	3.501660841569552e-06
nw_027523416.1:1375455-1397456:-	-0.7976241148750207	2.9069171591573704e-06	4.360375738736056e-06
nw_027522939.1:65023-76707:+	0.4286116746850224	3.862069332567011e-06	5.709145969881668e-06
12:113017045-113028000:+	-0.7892946298524965	4.000810455813691e-05	5.8297523784713784e-05
12:106814015-106827009:+	1.2275892381399927	6.827773065195102e-05	9.808913417604232e-05
16:52132293-52144311:-	-2.236751390023411	0.00010830238066329005	0.00015342837260632757
12:115554395-115565201:-	-1.1759515713658961	0.0001273232627921243	0.0001779037370520093
4:207685701-207699822:+	-0.546502011077751	0.00028812027189670074	0.0003971387531549118
2:84061698-84090151:+	-2.8015697851975165	0.0003193328624541035	0.0004342926929375807
nw_027520961.1:213078-253639:+	-1.5946943382241219	0.00037942910225196257	0.000509233795127634
6:199236517-199249582:+	-1.4559616624432041	0.0014128616232862265	0.0018715829295479884
nw_027522803.1:40169-65679:-	0.881879914045162	0.005056640939063324	0.006612530458775116
nw_027522423.1:265565-308518:+	-0.5466267914646542	0.005953956346370649	0.007687386675060838
nw_027524982.1:409451-424450:-	0.6001834289690738	0.02976536070633305	0.03795083490057464
13:23857829-23868554:+	0.7183382113328982	0.05092782304293458	0.06413133272073243
nw_027520962.1:858241-891945:-	0.8192172720414422	0.08192335555922554	0.10190466179318299
nw_027522565.1:157936-188408:+	-1.5314719712382843	0.09770371254917516	0.12006962265079357
1:206558541-206602456:-	-1.1193297948921102	0.10763344997337061	0.13069776068195005
12:117058947-117072107:+	NA	0.1619193793206259	0.19430325518475106
nw_027521300.1:157424-185483:+	0.719967596181481	0.2518989391050842	0.2987638580083557
nw_027522943.1:14073-40965:+	0.5640172489287236	0.3014307495421583	0.3534015684287373
nw_027522565.1:259151-280474:+	1.7424229393004713	0.3567077346982367	0.413456692491138
nw_027521325.1:299772-320341:+	-0.6135104367509092	0.4086041106238213	0.46828785711943566
nw_027520953.1:171013-213656:-	-0.34578973610388086	0.45500971142658886	0.515677672950134
6:131379221-131420606:-	0.4626102116526101	0.4917046898028409	0.5511415204383491
nw_027524096.1:71772-108194:+	-0.3109706090904005	0.5784765805573021	0.6413544697483132
nw_027524123.1:108627-125386:-	-0.17139167538966427	0.6392133070158413	0.7010726593076969
1:201105641-201146342:-	0.25071056238514494	0.7302761894947575	0.7924273545581412
4:55958096-55978342:-	-0.07390703543103094	0.784495899741756	0.8423008607753592
nw_027526179.1:359526-423661:+	-0.03298539779306839	0.8717365969209061	0.9262201342284627
10:109735089-109748173:+	0.18678717942218886	0.8846634860113888	0.9302646966305326
nw_027524348.1:896153-909412:-	0.028720081147720244	0.9224669761463747	0.9601186894584717
nw_027520953.1:252904-324184:-	0.01224175089441176	0.9392820074467738	0.9677450985815246
nw_027522274.1:395253-408286:+	-0.08557461692683745	0.9605173229436036	0.9797276694024757
nw_027524451.1:34381-71436:-	0.06640348960341215	0.9765710828320144	0.9862401034541135
nw_027520944.1:90891-133681:+	-0.0076436597721533115	0.9866618831178101	0.9866618831178101
