long-eRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
nw_027521300.1:171255-202616:-	56.4745048782818	-5.259502428239836	0.9228368078545583	-5.699276820641021	1.2031672089813502e-08	1.2272305531609772e-06
nw_027521144.1:51419-62679:-	49.37277767780782	-4.010352951496554	0.7263641979549972	-5.521132460530524	3.368217371657678e-08	1.7177908595454158e-06
4:141343218-141359001:-	30.89514064694018	-6.12674451493357	1.1954036379368598	-5.125251689469242	2.971405392495438e-07	1.0102778334484489e-05
4:141307624-141332204:-	26.69222896238625	-4.675889022037556	0.9285131715572309	-5.035888736177555	4.7563679332664995e-07	1.2128738229829573e-05
3:204676335-204686456:+	29.360892796821886	-4.083535519074054	0.8256792679305602	-4.945667982325409	7.588320047767275e-07	1.548017289744524e-05
4:162836256-162876722:-	33.28051418989194	-3.86090902434749	0.8311168963267052	-4.645446436489962	3.393418138566166e-06	5.768810835562482e-05
5:64361863-64373235:+	15.674925827707087	-4.6860228962652135	1.0662670820438043	-4.394792801146141	1.108784607213206e-05	0.00016156575705106717
12:115554395-115565201:-	17.641838003422496	-3.613665613128177	0.8425634998001619	-4.288894088083879	1.795649678233203e-05	0.00022894533397473338
2:148559983-148580907:-	16.53490934558171	-3.7143462856893956	0.8726785410327088	-4.25625944840344	2.0787546701258648e-05	0.000235592195947598
16:52132293-52144311:-	13.445691764655514	-5.5059531423677015	1.3217485800918192	-4.165658450705666	3.104552064437416e-05	0.00031666431057261643
6:131379221-131420606:-	10.515465992733516	-4.501009045552634	1.151114601002166	-3.910131138666849	9.224602653098227e-05	0.000855372246014563
13:23809795-23824010:-	11.5543832323237	-4.645711896862155	1.199130585325117	-3.8742335102749252	0.000106960816081831	0.0009091669366955634
13:23857829-23868554:+	13.224333259231413	-3.482288249912612	0.9285186879054186	-3.750369588971942	0.00017657411998446885	0.0012007040158943882
12:106814015-106827009:+	25.811018251064777	-3.729000526437121	0.992184858433133	-3.758372741472785	0.00017102198254498557	0.0012007040158943882
nw_027522939.1:4856-16031:-	10.305609315451111	-4.5137717949002125	1.1941496578167314	-3.779904608567036	0.00015688845414876492	0.0012007040158943882
10:33886825-33896919:-	24.133992733784954	-3.2414074043608054	0.9240124530899266	-3.5079693931845153	0.00045154099611644915	0.002878573850242363
3:26256493-26279079:-	36.66542807245113	-2.8167178788615073	0.8100324221067683	-3.47729029356092	0.0005065090981104053	0.0030390545886624315
11:13203549-13214789:-	14.481890047547928	-3.0372685937557917	0.8871194253764618	-3.423742629090648	0.000617650872056248	0.0033399027025126714
4:55958096-55978342:-	23.358486133475022	-2.7261631240197763	0.7999768665783369	-3.407802447688429	0.0006548828828456219	0.0033399027025126714
1:206558541-206602456:-	11.46347716223565	-5.244651357749207	1.5353081768024597	-3.4160251583314603	0.0006354237615482525	0.0033399027025126714
nw_027522720.1:1569361-1591379:+	7.6830360048348325	-3.618407403902883	1.0769806700931892	-3.359770053802163	0.0007800737010829857	0.003788929405260216
1:212390451-212410524:+	19.94212918190827	-2.8854845275129493	0.8814211169283458	-3.2736730174658635	0.0010615937765414852	0.0049219347821468865
4:207685701-207699822:+	52.15617979646523	-2.974993354486274	0.9186829292304471	-3.238324409683258	0.0012023400695210932	0.005332116830050066
nw_027525482.1:5788-19064:-	24.496802251537996	-2.656214247328422	0.8401661430195052	-3.1615345005240894	0.001569402259398214	0.00666995960244241
5:64336378-64349089:+	7.540000453256458	-3.5568440437355915	1.1309535846150014	-3.144995596743619	0.0016608932978315271	0.0067764446551526305
nw_027524175.1:1500877-1512248:-	13.692642055421091	-3.1849764462752086	1.0179523001608073	-3.1288071609760824	0.0017551745602140906	0.006885684813147586
1:201105641-201146342:-	13.3497710225707	-4.336348492163647	1.3921093113551177	-3.114948270795291	0.001839771712002725	0.006950248689788072
nw_027522984.1:14502-35770:+	19.895347668872752	-2.3321797851312382	0.7548084724305447	-3.0897636557012	0.002003158262963412	0.007220973442706659
nw_027522939.1:25035-54193:-	5.964831128276951	-3.5756455262360287	1.162980264390125	-3.074553916107185	0.0021081761246868917	0.007220973442706659
6:25435984-25446702:-	14.304833099651498	-2.462439478602928	0.8014844132139894	-3.072348554762821	0.002123815718443135	0.007220973442706659
nw_027521117.1:73179-111559:-	16.01883122345142	-2.3848101961714017	0.7823582922063617	-3.0482327853212854	0.0023019153444103655	0.0073373551603080405
nw_027522565.1:157936-188408:+	8.446243168253035	-5.718614862570753	1.8745988805862104	-3.0505805384789686	0.002283994149149322	0.0073373551603080405
nw_027520944.1:155632-171792:-	21.427179860778782	-2.5849943610930635	0.8634238910075569	-2.9938879245935057	0.0027544710422838714	0.008247990592726656
nw_027520944.1:213498-232122:+	13.530376831115776	-2.642186337016255	0.8812388154688481	-2.998263683619661	0.0027152263905082315	0.008247990592726656
2:58775075-58888047:+	56.2632046400287	-2.8260642830666285	0.9465638092346924	-2.9856035646994927	0.0028301928504454216	0.008247990592726656
