Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XM_021732984.3	LOC101959938	1418.075670667161	-3.70478431687634	0.20825386316410519	-17.789750742616235	8.485652470515604e-71	8.952363356393961e-67
XM_005326990.5	Alas1	2727.5961878577614	-2.787076798248729	0.18331740403090815	-15.203558074490378	3.349243599237185e-52	1.7667259985976152e-48
XM_021720868.3	Tat	7261.313105285374	-4.3792395804711655	0.2993848298732905	-14.62745985601409	1.8766369021243497e-48	6.599506439137296e-45
XR_013429012.1	LOC144369391	220.35493988134854	-4.287644706953616	0.30550392230825696	-14.034663367193476	9.564953120638481e-45	2.522756385568399e-41
XM_005328522.5	Tbl2	713.740583979704	3.270883398241514	0.24331937338941917	13.442757774189424	3.3954266235114115e-41	7.164350175609079e-38
XM_005332572.5	Galk1	586.85001126244	3.748103617778323	0.28177560042410454	13.301732343527963	2.261667506895601e-40	3.976765366291432e-37
XM_005338512.5	Hmgb3	148.77370939767977	4.132412796757736	0.3191908611956476	12.946526041748982	2.45829186901983e-38	3.7049970311656004e-35
XM_005333500.5	Bad	121.01414560978435	-4.272844041391517	0.3414117219851164	-12.515223603183104	6.163406801926349e-36	8.127992720040373e-33
XM_005330780.5	Ppp1r3b	2045.9528947600404	-2.129688954414053	0.17189769587314802	-12.389281564225609	2.9870739731375937e-35	3.5015144907335125e-32
XM_005331012.3	Tra2b	2589.109007598506	2.2997028069694605	0.19072703206935102	12.05756091319691	1.76945812232177e-33	1.8667783190494673e-30
XM_021732973.3	Hao2	318.16511279952897	-2.7042585063554925	0.23966160463379116	-11.283653510071696	1.5804306514026485e-29	1.5157766702089037e-26
XM_078019349.1	LOC144366078	1373.5712527944945	-2.623008766246812	0.23316305495452505	-11.249675754841993	2.3244498354383598e-29	2.0435788136562246e-26
XM_078032800.1;XM_040280171.2	Banp	716.3865470429573	-2.824384798659604	0.2542478447662665	-11.108785607430024	1.1369516461338873e-28	9.226799897471162e-26
XM_078041626.1	Ubald2	176.4044672019244	2.733269870489713	0.24680108257013392	11.074788821937176	1.6627168571501453e-28	1.252975917352431e-25
XM_021727020.3	LOC144364625	232.93858083886334	-3.813510349710235	0.34473609298336605	-11.062115129019118	1.9152691151059135e-28	1.347072610957826e-25
XM_005337528.5	Fam13a	1392.9449098137811	-2.6107607749242177	0.23619428961958067	-11.053445784524097	2.1095898111299394e-28	1.3910107817138039e-25
XM_013364823.4	Ticam2	150.1025604586492	-2.752560965719157	0.2518753732671827	-10.928265554565803	8.44470619757026e-28	5.240685316727426e-25
XM_078017838.1	Bzw1	1062.990014370558	2.5165049369803763	0.23049847083410768	10.917664346639128	9.490500004922406e-28	5.562487502885077e-25
XR_013426854.1;XR_013426863.1;XR_013426862.1	LOC101957053	232.51986615999758	-2.6399160611414554	0.24544558756381954	-10.755606109460157	5.5766187987076634e-27	2.9416664163182923e-24
XM_005318562.5	LOC101958905	665.7959733246702	-3.1838852567022435	0.29598449598063387	-10.756932541867206	5.496952822140502e-27	2.9416664163182923e-24
XM_078018758.1	Mpc1	714.0164803371966	2.168502965799566	0.20313322863297048	10.675274451122453	1.3286431682028518e-26	6.674850202161946e-24
XM_078021373.1	LOC101975056	526.9728283130795	-3.261986976899222	0.30660133936058254	-10.639180454012692	1.958443107272027e-26	9.391624900781767e-24
XM_078036338.1;XM_078036344.1	Angptl8	496.12397137070025	-5.122017149145234	0.487632990684293	-10.50383638309117	8.293932268923536e-26	3.8043906711801437e-23
XM_021725128.3	Kctd21	112.22370802717943	-4.732897676868644	0.45277407367460626	-10.453111059247668	1.417960511430559e-25	6.233118081496831e-23
XM_005328418.4	Oaf	699.2612836293109	-2.2764016256534187	0.22169344676595637	-10.268240486407498	9.797523063126684e-25	4.1345547326394605e-22
XM_005338373.4	Lag3	274.8471272563049	2.4361524691832797	0.23764390319571774	10.251272750628589	1.1679535795906035e-24	4.739196255646488e-22
XM_078050423.1	Ang	372.38338478449924	-4.23113018528796	0.4138861565898333	-10.222932364179231	1.5653266243907685e-24	6.116368847156522e-22
XR_013426350.1	LOC144367109	139.94409860535453	-2.714088947791694	0.26620633560651785	-10.195433334101464	2.078156755905434e-24	7.830197776715117e-22
XM_005330416.5	Thap2	138.3123965325012	-3.18650196493495	0.31308564125683985	-10.17773268727103	2.4930231599453587e-24	9.069446323249495e-22
XM_005317073.5	Hsph1	135.60944445018572	-3.4958124025713917	0.34385733602495594	-10.166461599986565	2.7989218202623244e-24	9.842875067922508e-22
XM_078015115.1	Gys2	2776.3097464447364	-3.70699572503342	0.36503808024270995	-10.155093196218536	3.145095505214863e-24	1.0703470187102196e-21
XM_005330650.5	Uqcrfs1	198.8661253024385	2.430428413363906	0.24203297283182493	10.041724418485218	9.991202248868816e-24	3.293974491423938e-21
XM_078025226.1	Slc25a33	1350.2040885101396	2.983249838081949	0.2974007562679264	10.031076838938361	1.1129609864229871e-23	3.558102547503792e-21
XR_013429997.1	LOC120885074	60.652353149091915	-4.83135141221298	0.4846355976759858	-9.969039491488386	2.0823280647196646e-23	6.2767317379407034e-21
XM_078032692.1	Adat1	205.22306515813634	-2.173675159603954	0.21799628097784243	-9.971157075954384	2.0384010142357997e-23	6.2767317379407034e-21
XM_078031748.1;XM_078031749.1;XM_078031750.1	LOC101962791	197.7674044127949	-2.6061792533060517	0.261938004636553	-9.949603368637574	2.5319029492954845e-23	7.419882254185378e-21
XR_013423216.1	LOC144364986	777.2162520074012	-2.5792470071101508	0.2597723693951619	-9.92887354846673	3.1175742687320093e-23	8.889299604087216e-21
XM_078022298.1	LOC101969732	543.8655295710143	-2.3510772531336794	0.23708589742250594	-9.916563062980808	3.526921269798428e-23	9.791847209571951e-21
XM_005333284.3	LOC101975342	322.38342113335216	-3.1697450486613143	0.320593075574438	-9.887128856360269	4.7341071802519576e-23	1.2806366859399525e-20
