Transcript	Gene	log2fc	pvalue	FDR
XR_013425053.1;XR_013425052.1;XM_078019780.1;XM_078019779.1;XM_078019778.1	Ogfrl1	NA	NA	NA
XR_013423005.1	LOC144364897	NA	NA	NA
XR_013430453.1	LOC144370473	NA	NA	NA
XM_021727271.3	Kcnh2	NA	NA	NA
XR_013434884.1	LOC144375269	-4.077418177483201	3.4832084272339485e-07	5.55374318721545e-07
XM_005335937.4	Thap5	-0.9421663984561377	2.0322120337374893e-11	3.697468976648438e-11
XM_005341537.2	LOC101960552	NA	NA	NA
XR_005731884.2	LOC120888335	NA	NA	NA
XM_005320193.5	Btbd1	-0.846046059191667	7.285601717769128e-14	1.432119881710614e-13
XM_078029824.1	LOC144369678	NA	NA	NA
XM_078049959.1	Slc35f4	NA	NA	NA
XR_013435736.1	LOC144375881	NA	NA	NA
XM_078028230.1	LOC144369138	NA	NA	NA
XM_078033025.1	LOC101969663	NA	NA	NA
XM_078023972.1;XM_078023974.1	Tpst1	-0.49961297225754436	0.0011687683499974695	0.0016018677071121873
XM_078033884.1	Plxna1	NA	NA	NA
XM_021721662.3	Enkd1	NA	NA	NA
XR_013423548.1;XR_013423547.1	LOC144365230	NA	NA	NA
XR_013440070.1	LOC144378415	NA	NA	NA
XM_013362929.4;XM_021733374.3	Gse1	NA	NA	NA
XM_078022131.1	Lipj	NA	NA	NA
XR_013429583.1	LOC144369803	NA	NA	NA
XM_005323862.5	Phkg2	-1.7973483151880612	1.5985087542591319e-12	3.022134556633282e-12
XM_078018597.1	LOC101971454	NA	NA	NA
XR_013437070.1	LOC144376514	-2.842208626228615	5.4096626588118525e-43	2.2233606086551693e-42
XM_013358012.4	Usp11	NA	NA	NA
XM_078015690.1	Sacs	NA	NA	NA
XM_040276737.2	Hspa14	NA	NA	NA
XR_013423365.1	LOC144365146	NA	NA	NA
XM_021734259.3	Rasal1	NA	NA	NA
XM_005316131.4	Fam135b	NA	NA	NA
XM_078014569.1;XM_078014567.1	Pcbp2	-2.0352812191628016	3.1855360540774284e-20	7.50698211747357e-20
XM_078032856.1	Vps9d1	NA	NA	NA
XM_005338834.4	Ubd	NA	NA	NA
XM_005341098.5	Apbb1	NA	NA	NA
XM_040281212.2	B4galnt3	NA	NA	NA
XR_013425718.1	LOC110597526	NA	NA	NA
XM_078025430.1;XM_078025429.1;XM_078025431.1	Pax7	NA	NA	NA
XM_078035532.1	LOC144372115	NA	NA	NA
XM_078029775.1	LOC144369489	NA	NA	NA
XR_013423289.1	LOC144365032	NA	NA	NA
XM_005335237.5	Got1	-0.3487192956161165	7.641938407392306e-06	1.1592805858552152e-05
XR_013426778.1	LOC144367421	NA	NA	NA
XR_013427687.1	LOC144367987	NA	NA	NA
XM_021733424.3	Nlgn4x	NA	NA	NA
XM_078045308.1	LOC144376929	NA	NA	NA
XM_005338180.5	Ethe1	-3.4415200936603534	2.2493042500294174e-86	2.152441147932775e-85
XM_005340132.5;XM_040285836.2	Cntln	NA	NA	NA
XM_005332091.5	Tubb4a	NA	NA	NA
XM_005332272.4	Asz1	NA	NA	NA
XM_005330141.5	Snx3	-0.5069010305620802	0.025229367646087644	0.031890675832708326
XR_013431963.1	LOC144371862	NA	NA	NA
XM_078038779.1	Slc25a1	-3.194440318284984	1.7660745630330561e-146	4.274468478218165e-145
XM_078033734.1	LOC144371408	NA	NA	NA
XM_005325525.4	Gpm6a	NA	NA	NA
XR_013428271.1	LOC144368515	NA	NA	NA
XM_005331012.3	Tra2b	-3.3744016175010865	0.0	0.0
XM_040287035.2	Psmg1	-3.561388142613908	1.5914917045734574e-113	2.341968459485652e-112
XR_013425741.1	LOC144366642	NA	NA	NA
XR_013430323.1	LOC120883690	NA	NA	NA
XM_078040789.1;XM_078040784.1	Znf467	-1.74779397053519	3.304636347220627e-05	4.88510177053643e-05
XM_078023670.1	Ap5z1	-3.660274991822564	2.426280777566634e-140	5.2712701145164865e-139
XM_078035488.1	LOC144372067	NA	NA	NA
XM_078033638.1	LOC144371214	NA	NA	NA
XR_013428541.1	LOC144369082	NA	NA	NA
XM_078017672.1	Ttn	NA	NA	NA
XM_078023947.1	Galnt17	NA	NA	NA
XR_013429563.1	LOC144369787	NA	NA	NA
XR_013423953.1	LOC144365477	NA	NA	NA
