Transcript	Gene	log2fc	pvalue	FDR
XM_005315682.5	Arrdc3	3.1506715277476895	0.0	0.0
XM_005328522.5	Tbl2	-4.97785893994364	0.0	0.0
NM_001289865.2	Oaz1	-2.857133902896946	0.0	0.0
XM_005316493.5	Pdia3	-2.4969605117924525	0.0	0.0
XM_078032738.1	Mlycd	-3.9814703751432963	0.0	0.0
XM_078051182.1	Abhd2	-4.338770980333831	0.0	0.0
XR_013437182.1	Arrdc3	3.1527248712195854	0.0	0.0
XM_013365175.4	Bcl2l11	-3.500823153791613	0.0	0.0
XM_078049472.1	Clpx	-3.3985368125023117	0.0	0.0
XM_005324935.5	Gpd1	-3.705210143285123	0.0	0.0
XM_005324489.5	Calm2	-2.019710781931235	0.0	0.0
XM_005316808.3	Cox5a	-4.347024114882336	0.0	0.0
XM_005333369.5	Rbm14	-2.626507479265703	0.0	0.0
XM_078029670.1	Pdia6	-4.43907259646213	0.0	0.0
XM_005325699.4	Ccnl1	-4.130888330480982	0.0	0.0
XM_005327851.4	Nufip2	-2.1984539005309593	0.0	0.0
XM_078045532.1	Rbm14	-2.72145440885134	0.0	0.0
XM_078037927.1	LOC101964411	-4.110758472161833	0.0	0.0
XR_013438743.1	Clpx	-3.4314230429174692	0.0	0.0
XR_013438477.1	LOC144377477	1.433273224635388	0.0	0.0
XM_005332993.4	Ell	-3.1464691837817234	0.0	0.0
XM_078044565.1	Son	-2.4423907174323776	0.0	0.0
XR_013426210.1	LOC144366988	1.4507839633413757	0.0	0.0
XM_040274863.2	Npc2	-4.521622640551488	0.0	0.0
XM_005328777.4	Bzw2	-2.741308884712799	0.0	0.0
XM_078040030.1	Bzw2	-2.7453544174651014	0.0	0.0
XM_013364784.4	Sqstm1	-1.786565441431652	0.0	0.0
XM_078045531.1	Rbm14	-2.983394220072946	0.0	0.0
XM_005322671.5	Sptssa	-2.589103019899006	0.0	0.0
XM_005318734.5	Glo1	-3.396275163992055	0.0	0.0
XM_078017061.1;XM_078017062.1	Sdcbp	-4.685378695628496	0.0	0.0
XM_021728531.3	Apoa1	-2.6127183300927252	0.0	0.0
XM_005321799.5	Psmd3	-4.3683177402553435	0.0	0.0
XR_013431495.1	LOC144371541	-5.910169040249256	0.0	0.0
XM_078043425.1	Atp1b3	-3.3619592373548532	0.0	0.0
XM_005324099.5	Klf9	-2.6257911661226383	0.0	0.0
XM_078043426.1;XM_078043429.1	Atp1b3	-3.3610452255689087	0.0	0.0
XM_078043428.1	Atp1b3	-3.460932155032705	0.0	0.0
XM_078038439.1	Itih3	-2.599960551288169	0.0	0.0
XM_078031680.1	Ppp1r15a	-3.9304841988001646	0.0	0.0
XM_078044566.1	Son	-2.456637960332334	0.0	0.0
XM_005323298.5	Fzd4	-3.201908226443558	0.0	0.0
XM_005330540.4	Acsl3	-3.6077593681145936	0.0	0.0
XM_005337911.4	Abhd5	-3.2544730524851886	0.0	0.0
XM_078029749.1	Adi1	-4.685004969064436	0.0	0.0
XM_078032540.1;XM_078032546.1;XM_078032547.1	Midn	-4.154515682737318	0.0	0.0
XM_040272455.2	Arrdc3	3.1265089548798017	0.0	0.0
XM_078020341.1;XM_021720693.3	Ppp1r10	1.780616563284051	0.0	0.0
XM_078029748.1	Adi1	-4.685004969064436	0.0	0.0
XM_078024621.1	Hapstr1	-3.473636799587077	0.0	0.0
XM_078023916.1;XM_078023918.1	Eif4h	-3.6615666545096186	0.0	0.0
XM_078034951.1;XM_078034950.1;XM_078034949.1	Ddx3x	-2.963749813285853	0.0	0.0
XM_005340179.5	Ftcd	-3.365272516265285	0.0	0.0
XR_013437406.1	LOC144376967	-4.740599217407813	0.0	0.0
XM_078043514.1	Ccnl1	-4.08198720133559	0.0	0.0
XR_013437403.1	Rbm14	-2.9234634747023636	0.0	0.0
XM_078044768.1	Pttg1ip	-3.0914544204618135	0.0	0.0
XM_078044767.1	Pttg1ip	-3.2362739487857457	0.0	0.0
XM_078047386.1;XM_040285594.2	Isca1	-3.173906901302422	0.0	0.0
XM_078044813.1	Ftcd	-3.3656947205274266	0.0	0.0
XM_021725456.2;XM_021725455.2	Rbbp6	-4.052087761892361	0.0	0.0
XM_005317861.5;XM_078026003.1;XM_040288444.2;XM_013365067.3	Mfsd2a	-5.115982629216993	0.0	0.0
XM_021732821.3	Klhl21	-4.064289182654077	0.0	0.0
XM_005317950.5	Rps8	-1.0963664327358187	0.0	0.0
XM_005341882.5;XM_005341881.5	Mtfp1	-4.815192336328967	0.0	0.0
XM_005322052.5	B3gnt2	-2.3288453681625527	0.0	0.0
XM_013360965.4	Saraf	-3.2537061295841814	0.0	0.0
XM_013360884.4	Acsl3	-3.617571458449129	0.0	0.0
XM_078021403.1	LOC101965856	0.9849361809555153	0.0	0.0
