Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XM_013356115.3	Hmgcs1	97.8469998411057	-6.065500650427115	0.6933204734095085	-8.748480512336663	2.1624470377203386e-18	2.2387814181518667e-14
XM_078032540.1;XM_078032546.1;XM_078032547.1	Midn	161.4660078710908	-4.73158600927127	0.5505088833142324	-8.594931258485186	8.331465698197666e-18	4.312783218672022e-14
XR_013435788.1	LOC144375928	82.16646886911148	-5.656256695867801	0.6812676976969194	-8.302546436575863	1.0190330061338021e-16	3.5166829041677513e-13
XM_005325006.4	Krt18	131.52016625873537	-4.540906934048673	0.5506539666973633	-8.246389218411519	1.632523403610857e-16	4.225378699395801e-13
XM_005329915.5	Ahcy	133.27434912308647	-4.770144048402324	0.5812978388926888	-8.206024053846384	2.2863363103359486e-16	4.734087964181615e-13
XM_021728471.3	Slc37a4	134.46326779915032	-5.026089705922505	0.619402181446359	-8.11442041451346	4.881087990848927e-16	7.845089281973593e-13
XM_005338380.4	Rab11fip1	141.84356796303618	-4.807491155770022	0.5932013660092225	-8.104315720161846	5.30432000133441e-16	7.845089281973593e-13
XM_078016462.1	Tmem276	103.63077957245059	-4.883321238145942	0.6115290075090475	-7.9854286193835105	1.4003487620478007e-15	1.449781073348088e-12
XM_078037856.1	LOC144374996	71.55303385698936	-5.321110479914819	0.6663200636701205	-7.985817582328087	1.395939858255263e-15	1.449781073348088e-12
XM_021728554.3	Tfr2	74.87672464845845	-5.050930880970913	0.6320349061588498	-7.9915378593052875	1.3326577872079083e-15	1.449781073348088e-12
XM_005328098.5	Nags	182.25191031255474	-4.692980238015335	0.5890129731191727	-7.967532893483185	1.6187338206761645e-15	1.5235228404963937e-12
XM_040287647.2	Pmvk	68.78947126263652	-6.283999124492413	0.797358920234993	-7.8810168984381965	3.247273838030718e-15	2.586078926548617e-12
XM_078032022.1	LOC101957844	81.66236685538009	-5.303384866046115	0.6728758044886864	-7.881669738557652	3.2303490912768884e-15	2.586078926548617e-12
XM_078017061.1;XM_078017062.1	Sdcbp	109.73108714206818	-4.362152766620315	0.554596073530361	-7.8654591599475365	3.677460694774668e-15	2.7194821837858666e-12
XM_013364302.4	LOC101956511	68.07276500892026	-4.870709890190808	0.6219257426483117	-7.831658277160447	4.814767119521738e-15	3.3231522658939036e-12
XM_005333002.5	LOC101964410	63.10794260399134	-5.398849291691366	0.6946756135139247	-7.77175589104388	7.740551501279902e-15	4.826940168912993e-12
XM_005327256.4	Egr1	59.490347354788604	-5.645195941084839	0.7266536968574528	-7.768756927128457	7.926010129577986e-15	4.826940168912993e-12
XR_013423530.1	LOC144365221	67.88072388819582	-5.614249943743075	0.7307465441891886	-7.682896331685639	1.555314483053054e-14	8.94565046836015e-12
XM_005328993.4	Bhmt2	65.40035375911933	-5.297059332683843	0.6947844781862474	-7.624032342391919	2.4587172236085284e-14	1.339742074527321e-11
XM_005323073.5	Lipg	74.97521524092686	-4.793769338702705	0.6302577338906968	-7.606046036293574	2.826086581284349e-14	1.4629237188018432e-11
XM_005331353.5	Fdps	72.32498060997365	-5.579086633187021	0.7369202478149448	-7.570814684125819	3.7089082557192025e-14	1.7952429482329493e-11
XM_005334887.5	Fbp1	237.13739843972382	-4.399128158129307	0.5813450662637588	-7.567154885139085	3.814869589599622e-14	1.7952429482329493e-11
XM_078053315.1	Stat2	92.7230298255886	-4.206799742872218	0.5573472210523106	-7.547897583358333	4.4234054186322225e-14	1.9833912077362287e-11
XM_013356721.4	Miga2	56.26698185358189	-6.235178033302089	0.82663341346778	-7.542857488841541	4.59783531205153e-14	1.9833912077362287e-11
XM_005317861.5;XM_078026003.1;XM_040288444.2;XM_013365067.3	Mfsd2a	77.64121753915025	-4.883379969197841	0.6492569626381595	-7.521490334666494	5.415533170122132e-14	2.2426805964109772e-11
XM_021732646.3	LOC101963741	105.85518110890996	-4.193434036660042	0.561224406622714	-7.471938118113775	7.902217055966588e-14	3.1466020454008495e-11
XM_040276230.2	Tymp	54.445191824967964	-5.351555887929167	0.7167717673105825	-7.466192352984096	8.254865146641866e-14	3.165282180117898e-11
XM_078042035.1	Acly	52.7296448343677	-5.483340130301534	0.7364729548879619	-7.445405963530193	9.664675367533975e-14	3.548073416756487e-11
XM_005327497.5	Eci2	88.34141466898974	-4.396867303511334	0.5908405240887447	-7.441715867902997	9.938580999317892e-14	3.548073416756487e-11
