long-eRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
3:48700628-48715916:-	19.756950843633025	3.0792258771536507	0.8481827810473642	3.630380085470871	0.00028300416384677686	0.014026628915150005
4:141343218-141358977:-	37.22581425467349	-2.6104539987410904	0.6928879169491491	-3.767498227181051	0.0001648917113869786	0.014026628915150005
4:141308070-141332184:-	32.69544579603002	-2.228776873735874	0.6234910991236732	-3.57467312182717	0.00035066572287875014	0.014026628915150005
13:23857812-23868653:+	15.073593031021211	-2.3947688703700067	0.7373767466906218	-3.2476869946303997	0.001163471843070113	0.024077158090043217
16:52132552-52144314:-	15.234335609233057	-2.726950106091181	0.8421803605318947	-3.2379644953593134	0.001203857904502161	0.024077158090043217
nw_027520944.1:158747-171780:-	23.89546673005856	-2.152943072948751	0.6646095610875655	-3.2394103229957754	0.0011977712499141014	0.024077158090043217
2:68525567-68539628:-	19.94481318194101	-2.381500391573962	0.8152466779527965	-2.9212022029384497	0.0034868344297924628	0.05977430451072793
1:201100539-201146342:-	15.192735823095054	-2.824136713288243	1.0106423361080221	-2.7943977927581947	0.0051996474311467355	0.07799471146720104
6:131379221-131420566:-	12.750852183350718	-2.282404622825762	0.8340511221653598	-2.7365284479207865	0.006209122611496785	0.0827883014866238
nw_027520961.1:56210-91616:+	23.155477886384016	-2.0561205127910958	0.7781105030696488	-2.642453102328902	0.008230786310895199	0.09175905763600768
nw_027522274.1:388524-408444:+	10.35292337729636	-2.3365599537414297	0.8867063297528559	-2.635100117524456	0.008411246949967371	0.09175905763600768
nw_027523264.1:1018013-1042331:+	32.35881781704818	-1.5720925626926139	0.6133160300717897	-2.563266710163434	0.010369235963357417	0.10369235963357418
1:206552341-206602464:-	13.73620078489411	-2.3828512476654913	1.0008810210497445	-2.3807537534944045	0.017277256974917558	0.15948237207616206
12:117058947-117072107:+	15.202824285381256	-6.620580958775998	2.854717086607019	-2.3191723585628257	0.0203856926000433	0.1630855408003464
3:8921953-8936124:-	13.429458257804457	2.1337610792555344	0.9186705949086302	2.3226617800559466	0.020197329008670807	0.1630855408003464
nw_027520961.1:213113-253052:+	11.564514844563407	-2.362053552042876	1.0306639485484688	-2.291778571831744	0.02191842378121213	0.16438817835909098
5:64336315-64361749:+	9.086726303143799	-1.9941116645058776	0.9100079966722612	-2.191312243186865	0.028429204685482372	0.16708708839040087
nw_027522939.1:4726-16031:-	13.64104179811521	-1.6874853274438089	0.7583850912399526	-2.2251035086736555	0.02607429026826082	0.16708708839040087
2:58775097-58957080:+	70.89350113903909	-1.370086057090537	0.6258052924160816	-2.189316826965411	0.028573820162303927	0.16708708839040087
4:162836768-162876740:-	45.074608365088075	-1.443593068007704	0.6621280742657842	-2.1802323811876807	0.02924024046832015	0.16708708839040087
nw_027521144.1:51395-62700:-	70.79187457055046	-1.1637701373041158	0.5316403538584105	-2.1890176862196165	0.028595554561181784	0.16708708839040087
nw_027521300.1:174289-202622:-	80.21732594004213	-1.2849838114043173	0.5949867643409801	-2.159684699587549	0.03079708645646601	0.16798410794436003
1:224151876-224187323:-	12.608729461006995	-1.80526325832593	0.8503571530847839	-2.122947107314964	0.03375828436463314	0.17613017929373814
nw_027520990.1:727242-743996:-	11.148295703337716	-2.2591457754710356	1.0800681047429888	-2.0916697433710607	0.036468068900743715	0.18234034450371858
nw_027522565.1:157924-188176:+	10.852430071035128	-2.093514462555626	1.1209412209439054	-1.8676398221779649	0.06181229181037484	0.2966990006897992
nw_027521049.1:408859-429953:-	32.68576644596994	-1.1188341092393441	0.6310271413197126	-1.7730364289869456	0.07622267065913621	0.3513090546760824
9:142043796-142057258:+	25.093675956895108	-1.3699321332851346	0.7800294260080933	-1.756256991862408	0.07904453730211854	0.3513090546760824
1:50829653-50840743:+	5.741483012015331	2.048529408607508	1.2405406172764297	1.6513199004358228	0.09867327085848146	0.4228854465363491
8:148287280-148297509:-	7.555731731224796	1.4672807329669495	1.0044127249688846	1.4608344722159947	0.14406087303974507	0.44572354401652964
7:192807330-192822598:+	11.372519245993603	-1.2570875775950805	0.794633703403236	-1.5819711298567622	0.11365616130557309	0.44572354401652964
9:18416680-18445179:-	16.241598139265054	-1.1221249759176	0.7282743820750128	-1.5407997363856472	0.12336553363655084	0.44572354401652964
5:64361863-64372738:+	23.324088550857738	-1.083262568406708	0.7002029393828255	-1.5470694386994717	0.12184650240485884	0.44572354401652964
10:98955053-98974881:-	30.24717172465412	-1.0287335971262626	0.674148144694201	-1.5259755666803836	0.1270159495576957	0.44572354401652964
2:148561414-148580944:-	24.87970668943475	-0.9371661234250233	0.6347404353746238	-1.4764556836085414	0.1398216037244091	0.44572354401652964
3:204686311-204696764:+	64.5690232307351	0.8268513229583206	0.5602788286317789	1.4757854138046254	0.14000150766696956	0.44572354401652964
nw_027524982.1:409549-424450:-	8.414056038994799	-1.599700481835548	0.9971347631679619	-1.6042971731856943	0.10864856391594876	0.44572354401652964
nw_027522720.1:1569338-1591478:+	10.847653408480866	-1.1388737570096952	0.7811586596967783	-1.4579288635829382	0.14486015180537212	0.44572354401652964
nw_027523678.1:127482-160598:+	86.99700446015272	-0.9572504049586641	0.6459275447273608	-1.4819779908328716	0.1383461512875263	0.44572354401652964
nw_027524086.1:137256-166008:-	5.065783097721661	-1.7048224430758447	1.129666597624248	-1.5091376930690716	0.13126359878740113	0.44572354401652964
7:66256675-66276334:+	25.55119483701985	-1.0184641654086812	0.7267209557875726	-1.4014514887697664	0.16107910447942453	0.4725548604710579
9:39192540-39210559:-	15.022936915247646	1.0992988285596414	0.7924839268980266	1.3871559930086688	0.16539420116487025	0.4725548604710579
13:23812624-23824010:-	17.437068837775858	-1.0184947885761848	0.7329930943457827	-1.3895012059905154	0.16468039445560456	0.4725548604710579
4:55960819-55978342:-	33.26546646122004	-0.8331831907206538	0.6176097183058727	-1.3490448191231632	0.1773225706317617	0.488446084006522
nw_027521401.1:188889-252487:+	28.216749085651486	0.9566687173164948	0.7153533747244754	1.3373372533329617	0.18111257602315245	0.488446084006522
8:147303729-147314699:-	9.895794226996047	1.0789048820874099	0.8105569884964811	1.3310660414990598	0.18316728150244577	0.488446084006522
5:120433211-120446584:-	10.016577170757591	1.1491440806184487	0.8769358885243671	1.3104083156547857	0.19005774198942882	0.49580280518981434
6:67461457-67471604:-	17.21778574958388	-0.91543786256284	0.7428781992669626	-1.2322852702719653	0.21784254012886684	0.5125706826561572
3:214161600-214172576:+	8.05741124937614	1.1089401485531656	0.8816299516812391	1.2578294855323977	0.20845342973012015	0.5125706826561572
nw_027522720.1:2591169-2612024:+	32.62939867410669	-0.7299672804023297	0.5872431047132992	-1.243041041339618	0.2138527101379386	0.5125706826561572
nw_027520965.1:258806-302739:-	51.15429090688951	0.8469788772359276	0.6685071035443871	1.2669706466023967	0.20516578585780776	0.5125706826561572
nw_027521339.1:30701-60988:+	47.65688063717101	-0.891752062496403	0.7181503623215324	-1.2417344741199827	0.21433454601379143	0.5125706826561572
12:106814014-106826718:+	39.20306086791303	-0.8461340772049075	0.7322134596078401	-1.15558388896331	0.24785140108491954	0.5507808912998212
nw_027526045.1:515022-542292:+	28.282446453792257	-0.8206868033679334	0.7076061359672192	-1.1598073584341457	0.2461272474883035	0.5507808912998212
