Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XM_078024688.1	Oat	496.7954470638662	-4.508983584501383	0.26059445273875625	-17.302684447475944	4.48972257637579e-67	5.254771303390225e-63
XM_013362089.4	LOC101964310	2543.8185488712875	-7.336473868470922	0.4279209969215443	-17.14445872310398	6.913967467273045e-66	4.046053761848186e-62
XM_005333688.5	LOC101965270	642.5224103236912	-6.5738483571973605	0.6281468573408524	-10.465464055693241	1.2446515970424961e-25	4.855800763928459e-22
XM_021727020.3	LOC144364625	255.086851745879	-3.0614983406560623	0.30803841429898776	-9.938690106632336	2.8251757013378267e-23	8.266464102114481e-20
XM_005330169.5	Slc16a10	1895.4596367909937	-2.4287707460532992	0.27270052586268695	-8.906366199221265	5.273254023627422e-19	1.2343633018507071e-15
XM_005317211.5	Chdh	561.6820486964833	-1.9649989646754438	0.22388174991584184	-8.776950177556213	1.679673663177216e-18	3.2764834256376896e-15
XR_013427171.1	LOC144367621	375.941725963341	1.8866772560195617	0.2158861684123512	8.739222479579762	2.3472022675145827e-18	3.7890751700212934e-15
XR_013436304.1;XR_013436298.1;XR_013436303.1;XR_013436299.1;XR_013436300.1;XR_013436302.1;XR_013436305.1;XR_013436306.1;XR_013436301.1	LOC120884542	1991.9156790784582	-3.4959798102999873	0.4005431901856663	-8.72809698419657	2.5899351811492095e-18	3.7890751700212934e-15
XM_078033578.1	Pdzrn3	1086.1591913438904	-2.5761164515581005	0.2965771486507029	-8.686159615730041	3.748980504524487e-18	4.875340869439399e-15
XM_005317073.5	Hsph1	145.4556017905888	-3.1081122293057324	0.3650784385839427	-8.513546407619694	1.6869293691403213e-17	1.9743821336418322e-14
XM_005326990.5	Alas1	3130.987773353041	-1.977705440533452	0.23480304573140826	-8.422827030939597	3.675068427966811e-17	3.910272807356687e-14
XM_078039041.1	Hspb8	413.21857685915126	-1.9913660940253146	0.24211419596495698	-8.22490431049958	1.9534675084346428e-16	1.9052819765599218e-13
XM_078045923.1	Tkfc	225.55476738528728	-1.9479658768068555	0.23816952111421294	-8.178904956829966	2.8643491689182734e-16	2.578795590232267e-13
XR_013426854.1;XR_013426863.1;XR_013426862.1	LOC101957053	270.1760088462439	-1.7925763904823924	0.21959399740427635	-8.163139301035757	3.264276840480076e-16	2.7289354386413435e-13
XM_005323225.5	Tsku	546.3586441107022	-2.0975533486607154	0.26128814520554444	-8.02774020616457	9.928444539207205e-16	7.746834325792075e-13
XM_021732984.3	LOC101959938	1690.0886964072688	-2.152258715943235	0.26930163147122094	-7.99200028676112	1.3276672999219631e-15	9.711886298929161e-13
XR_013436961.1	LOC144376458	944.5385725794484	-1.9110375504726593	0.2403855661666661	-7.9498847661580605	1.8668508379031823e-15	1.2852718945187556e-12
XM_078032800.1;XM_040280171.2	Banp	837.5101858079505	-1.8748376994808078	0.23784026807800318	-7.882759780887597	3.2022833449803095e-15	2.0821957927583077e-12
XM_005324980.5	Nr4a1	195.55264958060226	-4.722741023042113	0.6059471618892193	-7.793981587961521	6.493001251116907e-15	3.999688770688015e-12
XM_005337956.5;XM_021735057.3	Samd4a	1244.0992370246347	-1.392007832972636	0.18278076721737072	-7.6157237665886415	2.6221793798546852e-14	1.534499373090962e-11
XR_013427387.1	LOC144367852	118.58377683693534	4.098293007664009	0.5400457465827735	7.588788604662881	3.2291006992546586e-14	1.7996854563845964e-11
XR_013430924.1	LOC144370876	283.4963308272336	2.5889107831241867	0.3458675059011587	7.485267447656792	7.140158347915269e-14	3.7985642410909234e-11
XM_078041073.1	Gsdmb	89.72774924285659	2.287950403112027	0.30669000703927013	7.460140045642459	8.643056404828787e-14	4.214930506754839e-11
XM_078048390.1	Phyhd1	241.9418903179945	-1.7319185859988626	0.23201292886950292	-7.464750324207109	8.345771012757258e-14	4.214930506754839e-11
XM_021721721.3	Marveld3	1327.8402443907896	-3.6337763851149782	0.48834462367688025	-7.441008273532904	9.991968789780154e-14	4.6778401086234774e-11
XM_078023521.1;XM_078023520.1;XM_078023522.1	LOC101956552	1667.4867479403786	-2.4982700880304054	0.33869434582708613	-7.3761789023364726	1.6289709056989094e-13	7.332875184730782e-11
XM_078025226.1	Slc25a33	1395.964625604367	2.961426938204557	0.40322008877903565	7.344442949685021	2.0661779871479993e-13	8.956498948733402e-11
XR_013440481.1;XR_013440480.1	LOC120888276	320.3546645858327	-1.725342427075011	0.2351717119707326	-7.336521950776682	2.1921587377970083e-13	9.163223523991495e-11
XM_013363104.4;XM_013363102.4	P4ha2	178.6062377345053	-2.615405449734468	0.35749984882268476	-7.315822533484972	2.5580955602482905e-13	1.032412084039517e-10
XM_078031082.1;XM_078031081.1;XM_021732464.3	Slc7a2	7919.60736173498	-2.048457284121231	0.2817282960493125	-7.27103848937729	3.5673427091626584e-13	1.3917393022679917e-10
XM_078030778.1;XM_078030776.1	Gata4	1370.8618636678893	1.3401075299623937	0.18443073795317494	7.2661832015367915	3.6978700018230883e-13	1.3961248548818525e-10
XM_040275842.2	Ttpal	2296.8501973446196	-2.4383540039725053	0.33920108732771204	-7.188520600515471	6.549710604410494e-13	2.3229640276975886e-10
XM_013364823.4	Ticam2	183.53739212069647	-1.55834406200742	0.21674595046830827	-7.189726306952503	6.492132891757116e-13	2.3229640276975886e-10
XM_021730326.3;XM_005331011.5	Etv5	174.20856301715477	1.8216881481260496	0.2563050079611096	7.107501186252526	1.1816272165023472e-12	4.067577924101021e-10
XM_005338306.5	Lpcat3	2231.802175078501	1.197829057596971	0.16885662237831542	7.0937641694223315	1.3051246324660048e-12	4.36433677096632e-10
XM_005322977.4	Ca8	684.5202794092444	-1.4595020278175808	0.20661277101844766	-7.063948760879197	1.6183644093501543e-12	5.261482513065057e-10
XM_078050423.1	Ang	436.2277225683863	-2.4956145819608664	0.3540348686863691	-7.049064379507971	1.801248045914943e-12	5.548682969272002e-10
XM_078018758.1	Mpc1	452.6815005623871	1.217359889134107	0.17270224844678905	7.048894267923706	1.803451165589246e-12	5.548682969272002e-10
XM_078021525.1	Gpat3	2046.9027679368292	3.2126601495695906	0.456037966955244	7.044720795987769	1.858337542149722e-12	5.548682969272002e-10
XM_005333963.5	Slc6a13	259.7314954751465	-2.941183393686554	0.4176689137856729	-7.04190160342128	1.8963373100724544e-12	5.548682969272002e-10
XM_078039078.1;XM_013364374.4	Prxl2a	344.8221580122526	1.6281057387038846	0.23196462307825372	7.018767418489672	2.2383401687029285e-12	6.389642276707091e-10
XM_005332958.5	Hapln4	43.24667901686855	-4.081405999194045	0.5865711665823559	-6.958074708946688	3.449542858461997e-12	9.6127260989141e-10
XM_078022837.1	Slc30a10	424.301488876369	2.1726182045839995	0.3129859972719379	6.941582765750125	3.8773095640741234e-12	1.055349561347059e-09
