Transcript	Gene	log2fc	pvalue	FDR
XR_013425053.1;XR_013425052.1;XM_078019780.1;XM_078019779.1;XM_078019778.1	Ogfrl1	NA	NA	NA
XR_013423005.1	LOC144364897	NA	NA	NA
XR_013430453.1	LOC144370473	NA	NA	NA
XM_021727271.3	Kcnh2	NA	NA	NA
XR_013434884.1	LOC144375269	-1.8260713114197928	0.0434398073496392	0.06814079618089092
XM_005335937.4	Thap5	0.14905519089423802	0.23486101352918573	0.3103631425712513
XM_005341537.2	LOC101960552	NA	NA	NA
XR_005731884.2	LOC120888335	NA	NA	NA
XM_005320193.5	Btbd1	-0.4204998910093691	9.566540683878461e-05	0.00022199097322728414
XM_078029824.1	LOC144369678	NA	NA	NA
XM_078049959.1	Slc35f4	NA	NA	NA
XR_013435736.1	LOC144375881	NA	NA	NA
XM_078028230.1	LOC144369138	NA	NA	NA
XM_078033025.1	LOC101969663	NA	NA	NA
XM_078033884.1	Plxna1	NA	NA	NA
XR_013423548.1;XR_013423547.1	LOC144365230	NA	NA	NA
XR_013440070.1	LOC144378415	NA	NA	NA
XM_013362929.4;XM_021733374.3	Gse1	-0.9197809966216914	6.742353433489789e-29	6.932387313315913e-28
XM_078022131.1	Lipj	NA	NA	NA
XR_013429583.1	LOC144369803	NA	NA	NA
XM_005323862.5	Phkg2	-1.4951861109847302	5.843970927267955e-07	1.6450230107704416e-06
XM_078018597.1	LOC101971454	NA	NA	NA
XR_013437070.1	LOC144376514	-1.7563700592647236	1.2580371631590915e-26	1.1672319861436496e-25
XM_013358012.4	Usp11	NA	NA	NA
XM_078015690.1	Sacs	NA	NA	NA
XM_040276737.2	Hspa14	NA	NA	NA
XR_013423365.1	LOC144365146	NA	NA	NA
XM_021734259.3	Rasal1	NA	NA	NA
XM_005316131.4	Fam135b	NA	NA	NA
XM_005328334.5	Ift46	0.2712256900031605	0.34058506756531925	0.4272788464543047
XM_078016567.1	Rhpn1	NA	NA	NA
XM_078032856.1	Vps9d1	-1.1957895259988598	1.0755181127803919e-07	3.2057559915609277e-07
XM_005338834.4	Ubd	NA	NA	NA
XM_005341098.5	Apbb1	NA	NA	NA
XM_040281212.2	B4galnt3	NA	NA	NA
XR_013425718.1	LOC110597526	NA	NA	NA
XM_021727274.3	Nostrin	-0.7876772167251963	1.540108490000983e-08	4.92610135640808e-08
XM_078025430.1;XM_078025429.1;XM_078025431.1	Pax7	NA	NA	NA
XM_078035532.1	LOC144372115	NA	NA	NA
XM_078029775.1	LOC144369489	NA	NA	NA
XR_013423289.1	LOC144365032	NA	NA	NA
XM_005335237.5	Got1	0.4819832071562854	1.7402742440064333e-21	1.2686132100854737e-20
XR_013426778.1	LOC144367421	NA	NA	NA
XR_013427687.1	LOC144367987	NA	NA	NA
XM_021733424.3	Nlgn4x	NA	NA	NA
XM_078045308.1	LOC144376929	NA	NA	NA
XM_005338180.5	Ethe1	-2.4401526906076363	3.811882003573493e-65	1.446064062065164e-63
XM_005340132.5;XM_040285836.2	Cntln	NA	NA	NA
XM_005332091.5	Tubb4a	NA	NA	NA
XM_005332272.4	Asz1	NA	NA	NA
XM_005330141.5	Snx3	1.3188498677987117	2.255882112632564e-15	1.1688639329203677e-14
XR_013431963.1	LOC144371862	NA	NA	NA
XM_078038779.1	Slc25a1	-1.4882524454294683	1.903972401037065e-49	4.562333866854782e-48
XM_078033734.1	LOC144371408	NA	NA	NA
XR_013424662.1	LOC144365942	NA	NA	NA
XM_078031766.1;XM_078031761.1	LOC144370738	NA	NA	NA
XM_005325525.4	Gpm6a	NA	NA	NA
XM_005322375.4	Slc17a8	NA	NA	NA
XR_013428271.1	LOC144368515	NA	NA	NA
XM_005331012.3	Tra2b	-0.9066949381641837	2.2603430803881643e-114	2.7233950536874013e-112
XM_040287035.2	Psmg1	NA	NA	NA
XR_013425741.1	LOC144366642	NA	NA	NA
XR_013430323.1	LOC120883690	NA	NA	NA
XM_078040789.1;XM_078040784.1	Znf467	-0.5655485681834487	0.06231697658047625	0.09464546403154621
XM_005334042.5;XM_005334041.5;XM_005334038.5;XM_005334037.5;XM_005334039.5;XM_013362295.4;XM_005334036.5;XM_005334035.5	Dnm1l	NA	NA	NA
XM_078035488.1	LOC144372067	NA	NA	NA
XM_078017358.1	Orc4	-0.5541098902366488	8.52118112166085e-14	4.0073910887986663e-13
