Transcript	Gene	log2fc	pvalue	FDR
XM_078026211.1	LOC101977879	-2.3786084795626214	0.0	0.0
XM_078021402.1	LOC101970734	1.16523721527346	0.0	0.0
XM_021719942.3	Crot	-2.030309263810825	0.0	0.0
XM_078021403.1	LOC101965856	0.9555139538090047	0.0	0.0
XM_005318000.5	LOC101977879	-2.434944929148001	0.0	0.0
XM_078049262.1	Cyp1a2	1.9680007888584412	0.0	0.0
XM_013365054.4	Crot	-2.0312809186544567	0.0	0.0
XM_005327109.5	Ttpal	3.291913448538391	0.0	0.0
XM_021727533.3	Alas1	2.0107937885747584	0.0	0.0
XM_021727603.3;XM_021727604.3	Ttpal	3.30489973930797	0.0	0.0
XM_005340014.5	Crot	-2.0304047088919397	0.0	0.0
XM_005322265.3	Gcat	-4.363691466481417	0.0	0.0
XM_021728400.3	Cyp1a2	1.9508979798400892	0.0	0.0
XM_078051849.1;XM_078051848.1	Ttpal	3.278516247903544	0.0	0.0
XM_005326990.5	Alas1	1.9623474289064158	0.0	0.0
XM_078015726.1;XM_078015725.1	Pspc1	-1.6396361242946005	0.0	0.0
XM_078026210.1	LOC101977879	-2.3767561688225416	0.0	0.0
XM_005329011.5	Serinc5	-2.550042963897204	5.097990263204731e-299	4.8456397451760966e-296
XM_078015727.1	Pspc1	-1.6292791396455018	3.205581012992002e-297	2.8865413448042195e-294
XM_021720868.3	Tat	1.333924919783326	3.88346520240608e-281	3.322110307398281e-278
XM_005319195.5	Eepd1	-2.2902742777132867	8.210352026751177e-280	6.689091086937423e-277
XM_005322350.5	Pah	1.4308089535960569	9.238795511890414e-277	7.184843291496959e-274
XM_040279961.2	Tat	1.3164719205309698	5.621835338832102e-273	4.181912209220802e-270
XM_005322070.5	Slc1a4	-2.881055224901952	5.0813124473708746e-263	3.622340610919512e-260
XR_257777.5	LOC101964185	1.2012976828145927	1.505616097141629e-257	1.0303834322398452e-254
XM_005317950.5	Rps8	-0.8038796355437685	4.57905512039705e-252	3.0131943867258894e-249
XM_078037927.1	LOC101964411	-2.8391300415831675	1.1157315119885567e-247	7.070018680967488e-245
XM_021727009.3	Aldob	1.5897203732930556	1.566863045744847e-237	9.574092803445924e-235
XM_078021969.1	Tdo2	1.4148286617050123	2.3923881365369106e-235	1.411426504414138e-232
XM_005324935.5	Gpd1	-1.4918573920610803	1.322653369795313e-229	7.54309216794267e-227
XR_013426210.1	LOC144366988	0.5902570282032904	1.5547055296223694e-229	8.580469969777135e-227
XM_021728531.3	Apoa1	-1.5255302382197649	1.1579904298260378e-224	6.191268207466776e-222
XM_078029298.1	Pkdcc	-2.456192169539422	6.5790674074967275e-223	3.310625419848868e-220
XM_005324534.4	Pkdcc	-2.456192169539422	6.5790674074967275e-223	3.310625419848868e-220
XM_078031080.1	Slc7a2	1.7123602949798502	5.136601952386627e-222	2.5109177943823657e-219
XM_078031082.1;XM_078031081.1;XM_021732464.3	Slc7a2	1.7060283121400688	1.0596071846931282e-220	5.035783145254092e-218
NM_001301789.1;NM_001291632.1	Azin1	2.048658129070278	1.0030304419506573e-216	4.638066981441567e-214
XM_040293373.2;XM_013355850.4	Azin1	2.0447660164362	1.661645926445324e-215	7.481342146198171e-213
XM_005323732.5	Crym	-2.5606749901607326	5.877730045308761e-214	2.5785149575689128e-211
XM_005335662.4	Lrp1	-1.9022775549501303	2.2088375862596846e-206	9.447750565829235e-204
XR_013438477.1	LOC144377477	0.5511118501934129	1.8818001111328964e-200	7.852614171066517e-198
XM_005328392.4	Hspa8	1.0960612355228914	3.488488423915005e-197	1.4210606772562338e-194
XM_040273977.2	Pml	-2.9513762420745455	3.6210961610554544e-194	1.4407752144069248e-191
XR_013437182.1	Arrdc3	2.105852471003017	5.651073591103393e-186	2.197368592504272e-183
XM_005315682.5	Arrdc3	2.105668815806315	8.246847645707442e-186	3.1354514748979695e-183
XM_005317771.5	Ak2	-1.9223607546561856	1.194917391784021e-185	4.444313403485395e-183
XM_040272456.2	Arrdc3	2.092087030279345	1.0076479844833243e-182	3.6680530567074888e-180
XM_040272455.2	Arrdc3	2.0914019516121214	1.6682356759554435e-182	5.946217537483683e-180
XM_005322671.5	Sptssa	-1.4691297853031546	7.74872011474901e-180	2.705568417208996e-177
XM_078032079.1	Blvrb	-2.5802584495450365	1.6013344110288322e-179	5.479446087658458e-177
XM_078049310.1	Pml	-2.8634531476312173	1.428331948125359e-178	4.7916335883287775e-176
XM_021728229.3;XM_005316784.5	Pml	-2.856919493627306	4.060662551255425e-174	1.336036069027482e-171
XM_078049312.1	Pml	-2.8509703976115373	1.3655085452305134e-171	4.408016169877142e-169
XM_005318559.5	Gsta4	-2.2908095071341608	1.897835304941032e-171	6.012974857821503e-169
XM_078041626.1	Ubald2	-5.576135133900916	2.08093825564733e-171	6.473231384703668e-169
XM_013359723.4	Pml	-2.845130045810504	2.3300584071990074e-171	7.118744515851397e-169
XM_078030772.1	Fdft1	-1.7830827103301612	1.3850450720277413e-170	4.1573221293548463e-168
XM_078020485.1;XM_013359640.4	Slc22a23	-2.294557668057348	4.757503671060354e-165	1.4033815570374412e-162
XM_005340636.4	Rpl10	1.6247734043553306	6.008773485574908e-164	1.7424424671983236e-161
XR_013430924.1	LOC144370876	-3.0373692229982536	1.456229365215159e-163	4.1524380349110255e-161
XM_005319722.5;XM_005319721.4	Rgs16	1.078533494121188	5.626762000107963e-162	1.5781683780302808e-159
XM_005323168.4;XM_021725065.3	Fchsd2	-2.7918433720562397	1.3144647594787272e-161	3.6272867048260556e-159
XM_078020487.1	Slc22a23	-2.2645487168732465	1.1199920652776892e-159	3.041578451561268e-157
XM_078037723.1	LOC101973656	-2.8389652580555333	3.320110115342633e-158	8.875588119280799e-156
XM_040268581.2	Ddx5	0.8978173435359158	3.456893359806565e-154	9.099075152758543e-152
XR_005735041.2	LOC120890677	1.131288896730658	1.0034619320396498e-153	2.601246999282783e-151
XM_005327802.5	Wsb1	1.3473383148197144	8.477874485916533e-153	2.1648948444708355e-150
XM_005320128.5	Abhd2	-1.7059033004262774	9.837702276760373e-153	2.475194827251371e-150
XM_005322989.5	Lactb2	-1.5910531384074342	1.0467643551716855e-152	2.595520485888749e-150
XM_005330908.5	Fgb	1.4565299611514555	1.7322615792969385e-151	4.233894765741618e-149
XM_078051182.1	Abhd2	-1.7008492016327703	1.903111587249554e-151	4.585962837500369e-149
XM_005325568.5	Rprd1a	-3.1800432412277475	2.8438301702113167e-150	6.757651441964642e-148
XM_078027040.1;XM_078027041.1;XM_078027042.1;XM_078027043.1	Magi3	-1.6765424507878104	6.3044423558941e-150	1.4775712913286597e-147
XM_078027044.1	Magi3	-1.676681387599753	7.603415988138701e-150	1.7579303262306086e-147
XM_005335299.4	LOC101976849	1.9658111065224946	4.822554114019131e-149	1.1001210444900441e-146
XM_078029648.1	Lpin1	-1.5568454198539599	5.638519423857371e-148	1.2693345897733653e-145
XM_005328217.4	Ddx5	0.8848834207793954	1.5317557562927507e-147	3.403481718754892e-145
XM_005317365.3	LOC101972042	-1.334191630145131	1.836547300955872e-147	4.028395868212053e-145
XM_078020486.1	Slc22a23	-2.194621413391922	4.1956486880743055e-147	9.086500430919404e-145
XM_040281163.2	Adipor2	-1.9839815644027303	3.515074511360568e-140	7.517426226858494e-138
XM_013362279.4;XM_021732185.3	Adipor2	-1.9840671550187325	3.597633718596359e-140	7.599001887835198e-138
XM_005338547.5	Mat1a	1.0843637044058223	5.800747946632888e-140	1.2103048368163669e-137
XM_005327856.5	Abhd15	-2.280059598912654	2.460169415967906e-139	5.071209462384929e-137
XM_078051330.1	Xrn2	-2.09467728939447	1.1281240174600435e-137	2.2977468827052243e-135
XM_005326736.5	Tmem86a	-1.4674819934525338	3.843663022330116e-137	7.736615370475995e-135
XM_005317772.5	Ak2	-1.6513492183368768	4.847115598875768e-137	9.642941951298315e-135
XM_021728163.3	Smg6	-2.427673503087227	6.596826621063281e-136	1.2973000765490996e-133
XM_005327910.5	Smg6	-2.4226667887283564	4.841266037712325e-135	9.41241143627502e-133
XM_021728164.3	Smg6	-2.4220575288019996	6.128511801948015e-135	1.1781203193205459e-132
XM_005328951.5	Hexb	-1.6824185834511654	3.8394180819246086e-134	7.298733773738681e-132
XM_078032738.1	Mlycd	-1.898592106117305	4.645691060240356e-133	8.734409708752994e-131
XM_005342418.5	LOC101965332	-2.02861228649535	7.54242887272259e-133	1.402645821558813e-130
XM_040274863.2	Npc2	-2.1787501481085734	2.4902350010631936e-132	4.532492620552147e-130
XM_005321234.5	Npc2	-2.1787501481085734	2.4902350010631936e-132	4.532492620552147e-130
XM_005337461.4	Ttr	0.6789612949328654	3.9484056395176e-131	7.110870745948066e-129
XM_005337840.5	Jpt2	-2.0929338144229273	1.934050689744707e-130	3.4468409636293945e-128
XM_005328993.4	Bhmt2	-1.870533323855896	3.602488793677706e-129	6.354121728972358e-127
XM_040282707.2	Abcc10	-1.8375348540784153	1.0133453002832757e-128	1.7691147696476083e-126
