Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XM_005324980.5	Nr4a1	42.629548922102	-4.720578236356557	0.6723271962544418	-7.021251352994588	2.1988986086432323e-12	2.3248954989184896e-08
XM_013362089.4	LOC101964310	47.30517936424625	-5.3531855507337065	0.7857235823115774	-6.813064633983341	9.554118887602222e-12	5.050784949930915e-08
XM_005320754.5	Lhpp	213.020752524125	-3.523827440708671	0.5442108208128384	-6.4751146172460325	9.473999715415696e-11	3.3389532997030053e-07
XM_078041626.1	Ubald2	39.17065501019902	-4.5960477779730144	0.7251503297145581	-6.338062039883734	2.326731444390392e-10	6.150132890384904e-07
XM_005322496.4	Fosl2	73.04997163842789	-3.7176581483558024	0.6070396625865048	-6.124242578343925	9.11159919701017e-10	1.9267387661997705e-06
XR_013424636.1	LOC144365914	43.96514496616002	-4.410367850578844	0.7248572625614456	-6.084463905340233	1.1688172891830494e-09	2.0596508664220636e-06
XM_078024688.1	Oat	39.1839747023193	-3.9252061061146253	0.6810973509042519	-5.763061772158364	8.260154533088211e-09	1.2476373411191664e-05
XM_005318802.5	Ip6k3	34.86750616983119	-3.8121391216310125	0.6674182029564876	-5.711769779044437	1.1180727715494124e-08	1.3152341787244674e-05
XM_005330788.5	Dlc1	106.27568185227148	-3.2568391304744218	0.5702204783384339	-5.71154361198063	1.1195599743232958e-08	1.3152341787244674e-05
XM_021730768.3;XM_078038536.1;XM_078038533.1;XM_078038535.1;XM_005317159.5	Kctd6	47.77478807859709	-3.50281401595382	0.6203490199886875	-5.646521398579296	1.637267951743941e-08	1.731083405378869e-05
XM_005318675.5	Cnpy3	55.33286594509178	-3.4151891343454444	0.6083731344757688	-5.613642254745997	1.9811158853794204e-08	1.9042125687378736e-05
XM_078014843.1	Arid2	50.21538584234933	-3.299655461150476	0.5903553972658738	-5.589269576313258	2.280267251269317e-08	2.0091054706392077e-05
XM_078025132.1;XM_078025134.1;XM_078025135.1;XM_078025136.1;XM_078025137.1	Espn	23.064320792546813	-4.232619794190867	0.7619859174121474	-5.5547218097752635	2.7805422956225813e-08	2.2614364378167346e-05
XM_005328442.5	Cnpy4	54.09392510245066	-3.4412603382896667	0.6252364075320629	-5.503934666685569	3.7140723290652344e-08	2.8049204810861943e-05
XM_078022023.1;XM_078022020.1	Trim2	25.68900168917051	-3.887247654475723	0.7180308700619958	-5.413761185699568	6.17144644450267e-08	4.350046883848449e-05
XM_005320908.4	LOC101959685	70.40072516808394	-2.729962737725751	0.5072784855296338	-5.381585885463842	7.383246193149763e-08	4.878941375010778e-05
XM_005321025.5	Slc27a4	43.02369510863926	-3.181935386023134	0.5944049807758383	-5.353143881583833	8.643906182688716e-08	5.376001180562812e-05
XM_005334582.4	Abhd12	21.724599906755753	-4.361143654369453	0.8181420998203683	-5.330545458211951	9.791821863865681e-08	5.751607364813992e-05
XM_005323709.5	Gde1	78.67870711311869	-3.1585636664201338	0.5982065865059026	-5.280054980452757	1.2914512795410966e-07	7.186586515046324e-05
XM_005331353.5	Fdps	80.6832499495672	-3.5248398518881707	0.6788360233857872	-5.192476136295111	2.0751547591004904e-07	0.00010970305633984742
XM_021732058.3	Kbtbd8	37.11801737524628	-3.5073245460819362	0.6790339550685444	-5.165168133201664	2.402228902843785e-07	0.00012094650566555877
XM_078049364.1;XM_078049368.1;XM_078049366.1;XM_078049369.1;XM_078049365.1;XM_078049367.1;XM_078049370.1;XM_078049371.1;XM_078049374.1;XM_078049372.1;XM_078049375.1;XM_078049378.1	Tle3	106.26539514999057	-2.578528770478471	0.5050605272816258	-5.105385654184499	3.3012056014485557e-07	0.00015865294010961625
XM_078016501.1;XM_078016500.1;XM_078016499.1	Eppk1	33.719945292688855	-2.9120792975164775	0.5714648197736897	-5.095815519614511	3.4724315215453314e-07	0.00015962616729260344
XM_078042283.1	Scpep1	101.70680657034193	-2.961612519067176	0.5837261826318211	-5.07363316429337	3.902911217475836e-07	0.00016506192120948804
XR_013435218.1;XR_013435217.1;XM_040291664.2;XM_021722434.3;XM_040291662.2;XM_040291660.2;XM_021722431.3	Atxn7l1	52.36417286578378	-2.8365976288740633	0.5582742263108096	-5.081011257888227	3.754308656181635e-07	0.00016506192120948804
XM_078041945.1	Nanos1	17.521233192217164	-3.706398605167384	0.7317113084882868	-5.065383795727842	4.075783466928058e-07	0.0001657433022916552
XM_005329541.5	Aacs	76.72891445334601	-3.2066478201429374	0.634778960372184	-5.051597517130709	4.381301541813678e-07	0.00017156852296887416
XM_078039720.1	Egfr	65.66755591524287	-2.8795092340537334	0.5714815891677079	-5.038673666193485	4.687689586150608e-07	0.00017701050712275133
XM_078037783.1	Ano8	16.694480299275885	-4.2435071871976655	0.8500164330623138	-4.992264881173866	5.96753369097915e-07	0.00021756804729214675
XM_005333963.5	Slc6a13	15.297473830804428	-4.067727618997857	0.8179923590503586	-4.972818601533455	6.598640013080644e-07	0.00023255806952767217
XM_078040061.1	Dock4	39.023350666514844	-2.893026831806625	0.5878632144976824	-4.921258484048299	8.598947060869317e-07	0.0002932795718534558
XM_021723184.3	Slc23a2	26.29510611842075	-3.26295111092089	0.6690469229547371	-4.877013852048816	1.0770387473093215e-06	0.000334927372802984
XM_078047583.1	Smarca2	33.66555403816678	-2.7947860336960355	0.5717653009778013	-4.887995177245886	1.0186802537668072e-06	0.000334927372802984
XR_013440208.1	LOC144378489	47.79430776861974	-3.145322840861815	0.6442750945479406	-4.8819562753217225	1.050385501703564e-06	0.000334927372802984
XR_013435788.1	LOC144375928	93.62349413489211	-3.19500350326186	0.6565350939639724	-4.8664626348781095	1.1361339132109206e-06	0.0003432098246965447
XM_005339448.5	Rasd1	289.74745387384456	-2.386971584690588	0.4929614853643341	-4.842105632099115	1.2847043350561612e-06	0.0003671129441769944
XM_005316200.5	Deptor	39.804571457058074	-2.805672334896309	0.5793448056947533	-4.842836782719976	1.2799842811737318e-06	0.0003671129441769944
XM_005325578.4;XM_005325575.3	Mapre2	25.044126734042166	-3.080869448955594	0.6376590880990635	-4.831530682233398	1.3548733333656422e-06	0.0003673096347096137
XM_005333183.4	Camlg	63.52184871337568	-2.8877620759985696	0.5972391353499935	-4.835185615065707	1.3302145324650427e-06	0.0003673096347096137
XM_078022506.1	Uchl5	25.42047687202731	-3.014540367361732	0.6251546117323266	-4.822071709602092	1.4207484787648315e-06	0.00037553934164951406
XM_078014705.1	Lima1	33.70182670812056	-2.797375158061082	0.5810292862586817	-4.81451662458139	1.4755662015324299e-06	0.00038051613289761903
XM_078050117.1	Dcaf5	42.55284218641367	-2.767170748759911	0.5760849406453404	-4.803407542054611	1.5598793510748892e-06	0.00039268105664082867
XM_005335808.5	Gm2a	105.53015093204776	-2.7359380406913987	0.5745229501487062	-4.762104002952787	1.9158489389524634e-06	0.00046971083461841645
XM_005328389.4;XM_078047184.1	Ubash3b	35.3617854265082	-2.7767502461222824	0.5835899833685155	-4.7580498727800595	1.954722096208297e-06	0.00046971083461841645
XM_078018640.1	LOC144365933	79.05027242378213	-2.4070982940843244	0.5069560541055574	-4.7481399513637585	2.052959629304784e-06	0.00047186830783998876
XM_040282189.2	Mylk4	15.775362332103938	-3.5774645743193987	0.7531513887468836	-4.7499939955919	2.034226884427322e-06	0.00047186830783998876
XM_040289006.2;XM_040289008.2;XM_013359734.4;XM_078026761.1	Fnbp1l	58.929591099012875	-2.545681135070235	0.5373338046703818	-4.737615822685565	2.162472673133513e-06	0.00048646433134129005
XM_005326809.5	Adm	194.04543063939013	-2.506360658187341	0.5298724560984276	-4.730120672137309	2.2438642056337643e-06	0.0004942578384617873
XM_040273715.2	Homer1	65.60373449814946	-2.581052872945117	0.5470814679664511	-4.717858352137411	2.383403388198245e-06	0.0005142800821106131
XM_021730075.3	Ccne1	22.26006028690264	-3.203563623668365	0.6799455515993347	-4.711500231353966	2.4589981815074e-06	0.0005199797554615548
XM_013357220.4	Peli1	38.553818130806086	-2.797299402995144	0.5954755401779624	-4.697589093515327	2.6325036573871803e-06	0.0005457541405795031
XM_013362253.4	Cped1	22.025129416541674	-2.908824364648451	0.6208291996013766	-4.6853858782997895	2.7943296455908194e-06	0.0005681624489006102
XM_078026339.1	Pcsk9	26.192052513545985	-3.4940907984715532	0.7475380947655702	-4.674130753921389	2.9520122366046466e-06	0.0005870529347118496
XM_005333688.5	LOC101965270	46.27681367761059	-2.890965944966395	0.6189262973471045	-4.670937327041853	2.9982841648008962e-06	0.0005870529347118496
XR_013437059.1;XR_013437058.1	LOC144376508	18.31459998333742	-3.3732291067007476	0.7229174087066981	-4.666133456013276	3.069203982242172e-06	0.0005900126128044815
XM_005334064.4	Ccn1	27.25608693652853	-3.184154516842355	0.6905405669499202	-4.611104212032887	4.005356673524742e-06	0.0007432446690405236
XM_078037723.1	LOC101973656	63.552910337498766	-2.7159922526614646	0.5890214730219407	-4.6110241766352305	4.006899284527555e-06	0.0007432446690405236
XM_005317683.5	Atp5if1	112.43757098890559	-2.4431171735656627	0.5309133001001368	-4.601725315799888	4.190055568602971e-06	0.000759910505427123
XM_078040911.1	Vsir	31.660100555712187	-2.845865131609447	0.6187694984891426	-4.599233056183656	4.240491801778138e-06	0.000759910505427123
XM_021727477.3	Plekho2	77.17994545149774	-2.647103479712954	0.5768889044785099	-4.588584490294288	4.462616850097323e-06	0.0007715388103738672
XM_005317002.4	Poglut2	23.175152300015323	-2.9677164281778654	0.6471651113540255	-4.585717579813112	4.52429833000849e-06	0.0007715388103738672
XM_078037798.1	Colgalt1	29.459165927988952	-3.3032599509594047	0.7197341275481118	-4.589555815857284	4.4419021421178216e-06	0.0007715388103738672
XM_005338363.5	Cd9	40.613173007744834	-3.2350765335354867	0.7076604902014679	-4.571509330151347	4.842237251702574e-06	0.0008126503882897034
XM_040294203.2	Lims2	14.123195596019485	-4.001735574526152	0.8769329227997905	-4.563331436741797	5.0348236081792006e-06	0.0008317685938949795
XM_021722025.3	Rgl2	32.90793678114954	-2.9313540981638098	0.6429064574176439	-4.559534383801574	5.126716274925289e-06	0.0008339195565351552
XM_078049965.1	Kiaa0586	114.8833460211954	-2.7557912324005636	0.6057842691396261	-4.549129736093207	5.386822628177175e-06	0.0008500727708614518
XR_013425379.1	LOC144366337	26.43575459187848	-2.7544631872516234	0.6051863275728818	-4.551429967525014	5.328253371723549e-06	0.0008500727708614518
XM_040271481.2	Khk	34.54784887610227	-2.5994059256549837	0.5763417331647048	-4.510181678813349	6.4772128705052195e-06	0.0010071113482331131
XM_013362191.4	Cidec	28.242122985589816	-2.8664275785165136	0.636909596302151	-4.500525027662914	6.7785822490717e-06	0.001038694929267175
XM_013363104.4;XM_013363102.4	P4ha2	18.531242731818505	-3.0396416104154835	0.6764232091351081	-4.49369798280879	6.999688310348766e-06	0.0010572529215045357
XM_005318409.5	St3gal2	27.692757487895893	-2.83497879613874	0.6326144593630016	-4.4813689509932555	7.416576850244036e-06	0.0011044431977131012
XM_005321553.5	Rnft1	53.17504523325354	-2.410369237122593	0.5399325848734501	-4.464204059267024	8.036694410078283e-06	0.0011535223273273596
XM_005317073.5	Hsph1	56.58264666741001	-2.554726239492353	0.5723623322847412	-4.463477233546209	8.064017015847122e-06	0.0011535223273273596
XM_040282698.2	Klc4	50.238155056113335	-2.9000248267091266	0.6497596990762443	-4.463226683390887	8.073456182939999e-06	0.0011535223273273596
XM_078042340.1	Ypel2	44.865387713497846	-2.5869446001208956	0.5824232826530366	-4.441691596422666	8.925442341501218e-06	0.0012582493583558985
XM_078017148.1	Cyp7a1	15.090422269104074	-4.348924191185631	0.9808369727911993	-4.4338909643768405	9.254744465500122e-06	0.0012875054372859579
XM_078031916.1;XM_005338198.5	LOC101965492	78.94993832705099	-2.7308433809473245	0.616535344158404	-4.4293379233189585	9.452281758063692e-06	0.0012979087665974988
XM_040269144.2	Tefm	12.604185400359498	-3.8141851521182772	0.8620660179905454	-4.424469904299265	9.66793796810697e-06	0.0013105013863691664
XM_078045351.1;XM_078045348.1;XM_078045352.1	Igf2	15.926739884822815	-3.092798001689972	0.7037641995664431	-4.394650940748766	1.1095088939962516e-05	0.001484916143825616
XM_040275842.2	Ttpal	59.289449699283075	-2.650759750977931	0.6047588252157459	-4.383168364731644	1.1696564750603609e-05	0.001492580898192194
XM_005318567.3	Tram2	27.354859378880235	-2.687087226673737	0.6128299964561207	-4.384718832649595	1.1613568365001473e-05	0.001492580898192194
XR_013427574.1	LOC120890662	63.138214077574865	-2.257743818067217	0.5151387751266675	-4.3827875653741275	1.171703533055444e-05	0.001492580898192194
XM_078018490.1	Srd5a1	38.11641466500518	-2.653994719649299	0.6051907346154054	-4.3853855782109665	1.1578050658467435e-05	0.001492580898192194
XM_078039282.1	Hip1r	64.36411234467876	-2.7585470964687695	0.63021021785296	-4.377185609377712	1.202215911703975e-05	0.0015132177183864437
XM_005325256.5	Zswim3	57.69988526209871	-2.542492560661088	0.5821948055953083	-4.367082179754812	1.2591736009640324e-05	0.0015662638215285546
XM_078044568.1	Itsn1	17.116183052935426	-3.101143081094377	0.7105721888161755	-4.364289976308995	1.2753631119502096e-05	0.0015679551375173914
XM_005333195.4	Cxcl14	57.1317349970175	-3.1935906527541875	0.7322164899882614	-4.361538829595856	1.2915086958184093e-05	0.001569554188607821
XM_005317658.5;XM_078025694.1;XM_005317657.5	Wdtc1	39.77028569163782	-2.6256527756359693	0.6030472225599248	-4.353975405922806	1.3369071201428283e-05	0.0016062635205988777
