long-eRNA	log2fc	pvalue	FDR
nw_027523678.1:127456-160238:+	1.9592861777512798	2.0106551860555837e-158	1.7090569081472462e-156
15:30627271-30641027:+	1.7761502606140713	7.775500562206621e-56	3.3045877389378136e-54
nw_027522939.1:65024-75341:+	0.9631776199588802	3.458323259671162e-47	9.798582569068293e-46
4:55961329-55978331:-	1.5674257030562675	2.2698629025695994e-45	4.823458667960398e-44
14:10444193-10455607:-	0.9470128818815027	2.202630005538038e-35	3.7444710094146647e-34
6:131376356-131420606:-	1.9044552678906352	3.8438510197739913e-31	5.445455611346488e-30
nw_027521401.1:188914-231118:+	1.6437113769277907	2.0765668050555977e-27	2.5215454061389402e-26
9:142043814-142056964:+	-0.9737844910047405	1.8339147190537584e-11	1.9485343889946184e-10
15:36743573-36758548:+	-0.8831322421053456	4.3892646197501107e-10	4.145416585319549e-09
11:96007074-96033774:+	1.039813954273531	1.0202338955880446e-08	8.671988112498379e-08
4:55978152-55992912:+	-0.7909476510955228	2.929295541533754e-08	2.263546554821537e-07
9:18421430-18445179:-	0.8016417172458614	1.3732456459874424e-07	9.727156659077718e-07
4:207671619-207682595:-	-0.6235429999545472	2.025118197391923e-07	1.3241157444485648e-06
12:106814015-106826957:+	0.6188325354547235	3.617100911542673e-07	2.1960969820080514e-06
nw_027522720.1:1569368-1589486:+	0.9515945252956219	9.612280857545718e-07	5.44695915260924e-06
3:204686311-204697529:+	0.5208815167586927	1.0557162879312922e-06	5.560580826215253e-06
10:62358454-62372988:-	-0.6109633417948547	1.1121161652430508e-06	5.560580826215253e-06
2:148564991-148580969:-	0.5639408991910265	2.15793919021032e-06	1.0190268398215402e-05
2:58775089-58844639:+	0.34378496679580584	2.4224013899901224e-06	1.083705884995581e-05
nw_027522074.1:314058-334897:+	0.632878704105611	3.6700618185414743e-06	1.4855012122667871e-05
4:141347217-141359001:-	0.531086174946085	3.608715891113364e-06	1.4855012122667871e-05
nw_027521300.1:158542-185085:+	-1.4299166784974904	7.550497738393804e-06	2.9172377625612422e-05
nw_027522423.1:265564-291250:+	0.7533734632722618	9.278060365201454e-06	3.4288483958353204e-05
