Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XR_013436304.1;XR_013436298.1;XR_013436303.1;XR_013436299.1;XR_013436300.1;XR_013436302.1;XR_013436305.1;XR_013436306.1;XR_013436301.1	LOC120884542	1524.5220884229784	-5.150415665782918	0.3218222503698156	-16.003914147839126	1.1998837194907819e-57	1.3709871378901674e-53
XM_078051849.1;XM_078051848.1	Ttpal	1211.4857661612727	-4.2090553854017365	0.2644556268688366	-15.915922966877623	4.9137015809985893e-57	2.807197713224494e-53
XM_078024688.1	Oat	404.76504251059276	-4.342257364736095	0.30225412864704176	-14.366246655332802	8.427643367496401e-47	3.209808437233796e-43
XM_013362089.4	LOC101964310	2063.801074506412	-6.9575633509696075	0.5361585079571901	-12.976691123448774	1.658939287712197e-38	4.7387600753498907e-35
XM_078022124.1	Noct	1710.6079453454304	-3.782305120203232	0.33025437840155997	-11.45270242444533	2.2792704440609437e-30	5.208588818768068e-27
XM_021731383.3;XM_040269413.2;XM_013361755.4	Per1	639.2226368783905	-1.9913654849057068	0.1819358086188554	-10.945429050075008	6.988605995577556e-28	1.3308635350911525e-24
XM_005321083.3	Ass1	4676.336399968058	-3.391620049150918	0.3415151259141165	-9.931097605333697	3.04880808768215e-23	4.97652588712232e-20
XM_078025634.1	Paqr7	225.33136472322147	3.678084867713821	0.37107804970400515	9.911890155312848	3.695869304449848e-23	5.2786253340804956e-20
XR_013437548.1	LOC144377017	298.0254418663845	2.8812819864807713	0.3009633675221436	9.573530526996043	1.033160058732454e-21	1.3116540923418911e-18
XR_013427387.1	LOC144367852	99.65787271038232	4.192024391748598	0.44081009205092636	9.509819460449869	1.9099371854297893e-21	2.182294228072077e-18
XM_005326990.5	Alas1	2809.094868627811	-1.3641282830950843	0.14976450761374632	-9.108488418452731	8.353770977214694e-20	8.677289744150463e-17
XM_021721721.3	Marveld3	1052.6932407276247	-4.112856047971499	0.46667159013195914	-8.813169978503556	1.2165587553154573e-18	1.158366694852868e-15
XM_078041362.1	Fasn	1944.4826628038647	-2.821895668203797	0.3303567742017919	-8.541963987334789	1.3195955906419309e-17	1.1598230168211309e-14
XM_021728531.3	Apoa1	2451.10020289566	1.5497221897045521	0.18170994300826462	8.528549203463603	1.481944651285896e-17	1.2094785418280462e-14
XM_078025226.1	Slc25a33	639.0233668882767	1.989052745180192	0.23769055109480314	8.368244913475152	5.8482743052103e-17	4.4548254807555264e-14
XM_078020485.1;XM_013359640.4	Slc22a23	5208.614109856375	1.1546215496876446	0.1395942683180976	8.271267607181223	1.3254217416943245e-16	9.465168012874594e-14
XM_040284975.2	Tsku	387.4992754327702	-2.9411728329926246	0.3565414329165498	-8.249175443463873	1.5949114175444765e-16	1.0719681092272464e-13
XM_013362094.4	LOC101965950	258.973703802062	-3.468293104104308	0.4217744550862294	-8.223099010098265	1.98310987185787e-16	1.2588340775471124e-13
