Transcript	Gene	log2fc	pvalue	FDR
XR_013425053.1;XR_013425052.1;XM_078019780.1;XM_078019779.1;XM_078019778.1	Ogfrl1	NA	NA	NA
XR_013423005.1	LOC144364897	NA	NA	NA
XR_013430453.1	LOC144370473	NA	NA	NA
XM_040273783.2;XM_040273785.2	Zfyve16	NA	NA	NA
XR_013434884.1	LOC144375269	NA	NA	NA
XM_021727271.3	Kcnh2	NA	NA	NA
XM_005335937.4	Thap5	0.6675019986385499	3.729293447098003e-08	2.4763408921756196e-07
XM_005341537.2	LOC101960552	NA	NA	NA
XR_005731884.2	LOC120888335	NA	NA	NA
XM_005320193.5	Btbd1	-0.1458147352402053	0.19702964202236356	0.3108505710881558
XM_078029824.1	LOC144369678	NA	NA	NA
XM_078049959.1	Slc35f4	NA	NA	NA
XR_013435736.1	LOC144375881	NA	NA	NA
XM_078028230.1	LOC144369138	NA	NA	NA
XM_078033025.1	LOC101969663	NA	NA	NA
XM_078033884.1	Plxna1	NA	NA	NA
XR_013423548.1;XR_013423547.1	LOC144365230	NA	NA	NA
XR_013440070.1	LOC144378415	NA	NA	NA
XM_013362929.4;XM_021733374.3	Gse1	0.32917761677805824	1.782557519999698e-05	7.81455410135893e-05
XM_078022131.1	Lipj	NA	NA	NA
XR_013429583.1	LOC144369803	NA	NA	NA
XM_005323862.5	Phkg2	-0.17650841711967669	0.6113384537188731	0.7413858999162367
XM_078018597.1	LOC101971454	NA	NA	NA
XR_013437070.1	LOC144376514	-0.8531697229549203	3.785935237564836e-08	2.506890744584966e-07
XM_013358012.4	Usp11	NA	NA	NA
XM_078015690.1	Sacs	NA	NA	NA
XM_040276737.2	Hspa14	NA	NA	NA
XR_013423365.1	LOC144365146	NA	NA	NA
XM_021734259.3	Rasal1	NA	NA	NA
XM_005316131.4	Fam135b	NA	NA	NA
XM_021720712.3	Ppfibp2	0.19713280521517482	0.17042760842588014	0.2778879413671392
XM_078016567.1	Rhpn1	NA	NA	NA
XM_078032856.1	Vps9d1	0.9366173921801471	4.337361373892004e-06	2.11566652345334e-05
XM_005338834.4	Ubd	NA	NA	NA
XM_005341098.5	Apbb1	NA	NA	NA
XM_040281212.2	B4galnt3	NA	NA	NA
XR_013425718.1	LOC110597526	NA	NA	NA
XM_078025430.1;XM_078025429.1;XM_078025431.1	Pax7	NA	NA	NA
XM_078035532.1	LOC144372115	NA	NA	NA
XM_078029775.1	LOC144369489	NA	NA	NA
XR_013423289.1	LOC144365032	NA	NA	NA
XM_005335237.5	Got1	0.6055242298716766	2.1578092598344437e-36	8.621310071798585e-35
XR_013426778.1	LOC144367421	NA	NA	NA
XM_021733424.3	Nlgn4x	NA	NA	NA
XM_078045308.1	LOC144376929	NA	NA	NA
XM_005338180.5	Ethe1	0.7117130093323591	3.785461711338224e-10	3.1723668714470307e-09
XM_005340132.5;XM_040285836.2	Cntln	NA	NA	NA
XM_005332091.5	Tubb4a	NA	NA	NA
XM_005332272.4	Asz1	NA	NA	NA
XM_005330141.5	Snx3	0.4206858713525189	0.03586337650871783	0.0753286119870612
XR_013431963.1	LOC144371862	NA	NA	NA
XM_078038779.1	Slc25a1	0.21268958900378454	0.04984536718165324	0.10045168586522474
XM_078033734.1	LOC144371408	NA	NA	NA
XR_013424662.1	LOC144365942	NA	NA	NA
XM_005325525.4	Gpm6a	NA	NA	NA
XM_005322375.4	Slc17a8	NA	NA	NA
XR_013428271.1	LOC144368515	NA	NA	NA
XM_005331012.3	Tra2b	0.22310602018542355	2.486871174409868e-07	1.468188237886842e-06
XM_078022865.1	Taf1a	-0.27156413791991485	0.02831769171246816	0.06113701831053737
XM_040287035.2	Psmg1	NA	NA	NA
XR_013425741.1	LOC144366642	NA	NA	NA
XR_013430323.1	LOC120883690	NA	NA	NA
XM_078040789.1;XM_078040784.1	Znf467	0.6297827485742911	0.0713530275671859	0.13630427273513945
XM_078045754.1	Esrra	0.2993705094214733	0.003721261421453453	0.010193315855810662
XM_078035488.1	LOC144372067	NA	NA	NA
XM_078033638.1	LOC144371214	NA	NA	NA
XR_013428541.1	LOC144369082	NA	NA	NA
XM_078017672.1	Ttn	NA	NA	NA
XM_078023947.1	Galnt17	NA	NA	NA
XR_013429563.1	LOC144369787	NA	NA	NA
XR_013423953.1	LOC144365477	NA	NA	NA
