Transcript	Gene	log2fc	pvalue	FDR
XM_005326990.5	Alas1	1.9510112399602342	0.0	0.0
XM_005327109.5	Ttpal	6.035068310099141	0.0	0.0
XM_005322350.5	Pah	1.6852622224015608	0.0	0.0
XM_021729303.3	Hpd	1.8621440096784252	0.0	0.0
XM_078031082.1;XM_078031081.1;XM_021732464.3	Slc7a2	2.4277396707577372	0.0	0.0
XM_078031080.1	Slc7a2	2.4403353125440583	0.0	0.0
XM_021727533.3	Alas1	1.9851125530814138	0.0	0.0
XM_078039230.1	Hpd	1.875630148069867	0.0	0.0
XM_005328392.4	Hspa8	1.6561763390772075	0.0	0.0
XM_078049262.1	Cyp1a2	1.8352373336827354	0.0	0.0
XM_005327420.5	Abtb2	1.4186848834119714	0.0	0.0
XM_021728400.3	Cyp1a2	1.8365080855302225	0.0	0.0
XM_021727603.3;XM_021727604.3	Ttpal	6.039606963492532	0.0	0.0
XM_078051849.1;XM_078051848.1	Ttpal	6.019023256876644	0.0	0.0
XM_078020269.1	LOC101955638	1.5312145177787355	0.0	0.0
XM_078039041.1	Hspb8	1.9571258424567037	1.1921464002973176e-284	1.2294754844566274e-281
XM_021719942.3	Crot	-1.5925072014858488	2.674077138166268e-280	2.5955851092283287e-277
XM_013365054.4	Crot	-1.592579285794999	4.740146690453929e-280	4.3453978077322376e-277
XM_005340014.5	Crot	-1.5862960401134296	1.9443107779853997e-277	1.6885827446072146e-274
XM_005326862.5	Rpl27a	2.2263908699211132	9.192795295303636e-275	7.584515758390265e-272
XM_078019125.1	LOC144366035	1.8558451984708468	1.6452402026000088e-257	1.292767075385845e-254
XM_078019106.1	Rps12	1.5660897856596352	9.022621793703436e-256	6.767376464450018e-253
XM_078038944.1;XM_078038945.1	Acacb	2.3655170187815946	8.909396115782102e-239	6.39191066550089e-236
XM_005329463.5	Hsd11b1	1.465836328546162	6.354598367903815e-235	4.3690511528658686e-232
XM_005318674.5	Gnmt	1.6123235970541738	9.455821791222645e-233	6.241220615078595e-230
XM_078020572.1;XM_078020573.1;XM_078020575.1;XM_078020567.1;XM_078020571.1;XM_078020568.1;XM_078020569.1	Atxn1	1.3626734514959342	3.8483699229238413e-218	2.4423827730063967e-215
XM_005318200.5	LOC101975171	2.0586423590994354	1.6477411946857536e-211	1.0070139797596156e-208
XR_013436704.1;XR_013436705.1	Eif4a2	1.1570237424515566	1.6497836905594005e-201	9.722528813543096e-199
XM_078029649.1	Lpin1	1.711558655046442	2.1567976748908247e-200	1.2272178770128793e-197
XR_257777.5	LOC101964185	1.1703705917643266	3.7952719946395445e-200	2.0875261061182374e-197
XM_078029648.1	Lpin1	1.701529132258405	1.463957877554442e-197	7.792506108879306e-195
XR_013426210.1	LOC144366988	0.5791406961254694	1.7795409921475023e-197	9.176314347320605e-195
