Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XR_013423580.1	LOC144365278	41.587038396497746	4.01107456533556	0.5187006009319143	7.732928317663665	1.0510048370900982e-14	1.0349244630826196e-10
XM_013362089.4	LOC101964310	40.1764644385182	-3.7640453562349516	0.5829045471826652	-6.457395768188115	1.0652006800283126e-10	5.244515548119397e-07
XM_078021524.1	Gpat3	66.12320994682807	2.5469668326945842	0.4069698999391842	6.2583666091157895	3.890304388206735e-10	1.2769275770223907e-06
XM_005324980.5	Nr4a1	37.98428715891674	-2.8112706209965648	0.4595640834892165	-6.1172548551926385	9.520104995339562e-10	2.3436118472277165e-06
XR_013436304.1;XR_013436298.1;XR_013436303.1;XR_013436299.1;XR_013436300.1;XR_013436302.1;XR_013436305.1;XR_013436306.1;XR_013436301.1	LOC120884542	28.086156688072908	-3.696905359975697	0.6155700976967945	-6.005661051126376	1.9055390664402773e-09	3.7527686374474824e-06
XM_078048855.1	Kcnn2	36.67070263228487	2.6521922087599097	0.46327269113632663	5.7249051357949625	1.034915536613861e-08	1.6984688815061147e-05
XR_013430308.1;XR_013430306.1	LOC144370328	40.837018926036755	2.163462342061567	0.4214502764547117	5.133375069203564	2.845919629831953e-07	0.00040033957992793206
XR_013426142.1	LOC144366933	52.46092565319228	2.0604489092492386	0.40774387915293675	5.053292065425229	4.3425905238726466e-07	0.00044457544605625303
XR_005730750.2	LOC120887483	36.14551022173506	-2.2198573795036127	0.44153335729423315	-5.027609676213712	4.966314518755747e-07	0.00044457544605625303
XM_078027000.1	Chia	29.148024566290548	2.413159980176452	0.4794578237631156	5.0331016839735945	4.826069698765248e-07	0.00044457544605625303
XM_005338586.5;XM_078052582.1	Pnpla3	13.919691582544232	-4.287331021521289	0.8492683045187596	-5.048264486864039	4.4584163986264423e-07	0.00044457544605625303
XM_013358823.4	Cp	75.2574925305215	1.8185397670057057	0.36673306440151576	4.958755955025334	7.094602200621117e-07	0.0005821712322459678
XM_078051849.1;XM_078051848.1	Ttpal	74.2972877603654	1.8858055449212583	0.39703153805956415	4.749762585959463	2.0365559834949123e-06	0.001492817188586397
XM_005318802.5	Ip6k3	30.045298082654615	-2.863819252553785	0.6040023069275662	-4.741404494167309	2.122417044806495e-06	0.001492817188586397
XM_040292663.2	Slc2a9	17.49528043452332	2.6010502539095226	0.5553658463038894	4.6834897594445515	2.820315506854774e-06	0.001851443119733264
XM_078026339.1	Pcsk9	22.38841746077264	-2.7200602417507693	0.5955306401392607	-4.567456413518374	4.936782896529507e-06	0.0030382813238828787
XM_040268526.2	LOC101961636	44.02670210164987	1.8430351958411875	0.4058689086001002	4.5409617657042975	5.599818730257685e-06	0.003091527144833653
XM_040292338.2	LOC101968812	47.313900525670086	1.8526727542023407	0.408164412230206	4.539035493269383	5.651212410582488e-06	0.003091527144833653
XR_013438827.1;XR_013438822.1;XR_013438823.1	LOC110597966	24.533400144587517	2.036943142927337	0.45501542464151645	4.476646356619979	7.582469425419522e-06	0.003555456020576478
XR_013435708.1	LOC120883951	14.309186534247786	2.565482805455906	0.5726289212472941	4.480183780916617	7.457879563326218e-06	0.003555456020576478
XM_005333700.5	LOC101971054	19.408709951236382	-2.640070510930985	0.5875494176082403	-4.493359080633626	7.010842065012737e-06	0.003555456020576478
XR_013424301.1	LOC144365628	37.030070599119966	2.1204635922745796	0.4764063236250708	4.450956016157697	8.548885178909004e-06	0.00382640328894168
XM_078029335.1	LOC101967759	43.82165167612455	1.9523388435521163	0.44118121227913343	4.425253816830441	9.632895503299583e-06	0.004124135740043087
XM_013362155.4	LOC101972028	47.30509397489345	2.03428144245559	0.4608983891185629	4.413730858001079	1.016042613545739e-05	0.004168738173160371
XM_078037777.1	LOC101962880	37.00295931154764	2.2558223644308315	0.5216447182511303	4.3244420685283975	1.52918380707122e-05	0.005791489595473194
XM_005323814.5	LOC101969382	11.718331173958395	-2.9191664500258576	0.6737475016934403	-4.332730648631181	1.4727124459091944e-05	0.005791489595473194
XM_078026996.1	LOC144368243	27.39000457889018	2.324951078003063	0.5480503071060434	4.242222014763334	2.2131758950495385e-05	0.007850850416868638
XM_078024105.1	LOC101966889	27.28665962106577	-2.255270811459118	0.5334237738356742	-4.227915818678666	2.3586600097336702e-05	0.007850850416868638
XR_013429291.1	LOC144369473	8.70534102575598	3.255181995865126	0.7704992405298211	4.224769895459928	2.3918504367427553e-05	0.007850850416868638
XR_013435975.1	LOC144376000	20.302889062470626	2.1598441074295835	0.5094805807985405	4.239306047826839	2.242118126386445e-05	0.007850850416868638
XM_078050808.1	Syne3	17.24636319271435	2.139627742135026	0.5073919100913629	4.216913394913522	2.4766903872418253e-05	0.007867087175216211
XM_078026995.1	LOC144368242	33.75689876382251	2.1733155764847814	0.5239934104807956	4.147600967902694	3.359773141964749e-05	0.010149144677097436
XM_005327970.5	Gldc	49.74063694123535	1.8611841747689535	0.44904188276081225	4.144789709427475	3.401256975162135e-05	0.010149144677097436
XM_005341129.5	Tcim	73.97744389556787	1.8094527136264802	0.4373345863736591	4.137456240610438	3.5117739570344815e-05	0.010150997503980942
XM_040269144.2	Tefm	10.658844248849695	-3.023261426829516	0.7318041177886855	-4.131244076577481	3.608052326996374e-05	0.010150997503980942
XM_078038502.1	Slc16a12	51.974837240618534	1.8108491481957207	0.44415619409908724	4.077054811469626	4.560974405374833e-05	0.012475531936034994
XM_078014623.1	Tns2	24.36642885430743	-2.248993154076531	0.5615967612986399	-4.004640534030048	6.211185752907885e-05	0.016530147596995663
XR_013430640.1	LOC144370723	12.829981072477336	2.1448216035130807	0.5468841801272925	3.9218936686262404	8.785576392692636e-05	0.022766202826011682
XR_013423697.1	LOC144365367	145.68044600640636	1.3490491491919951	0.3450711768100503	3.90948082555907	9.249469653200486e-05	0.022769881918766298
XM_021733005.3	Adm2	89.33482277775597	1.4995644831886101	0.3831619251761868	3.913657346039994	9.090861513760563e-05	0.022769881918766298
XM_078024263.1	Acsm1	11.118952569620658	-2.660145745107275	0.6865670719996924	-3.8745606272076896	0.00010681724857360178	0.02565437674888431
XR_013435266.1	LOC144375428	26.79050134654108	-1.9455399360043937	0.5037745215098874	-3.8619260262970823	0.00011249663234530488	0.02637510330248136
XM_078033970.1;XM_078033971.1	Plin4	25.83662611678901	-2.379061987056617	0.6187981018545361	-3.8446497814498386	0.00012072472904810482	0.027645962952016004
XR_013427371.1	LOC120890612	52.89573601627984	1.5161944521160573	0.39574484739308413	3.831242433360242	0.00012749779947153272	0.028533427986276876
XM_078025144.1;XM_078025138.1;XM_078025139.1;XM_078025140.1;XM_078025141.1;XM_078025142.1;XM_078025143.1	Espn	22.660585584965485	-1.8332780874310342	0.48348894959433797	-3.79176833093954	0.0001495784164627879	0.029858644122663463
XM_078042775.1;XM_078042774.1	LOC101966248	14.58686917497662	-2.237818364058241	0.5894283763625894	-3.7965908222267832	0.0001466996317323978	0.029858644122663463
XM_005320754.5	Lhpp	216.1307835876039	-1.4753947515298078	0.3888227487146414	-3.794517569785008	0.00014793080686059621	0.029858644122663463
XM_005325568.5	Rprd1a	39.439317756731846	-1.7680491024056637	0.4665949188948651	-3.7892592285259052	0.0001510971779032085	0.029858644122663463
XM_040294779.2	Nrp2	16.24950729229177	-2.090555260301679	0.5501465754200265	-3.7999968621191176	0.0001446979200505174	0.029858644122663463
XR_005734890.2	LOC120890591	20.92916925876182	-2.133388455565141	0.5631351887040612	-3.7884126198447867	0.00015161289795198265	0.029858644122663463
XM_005317984.5;XM_040288597.2	Tspan1	15.129052031425225	-2.053183411221241	0.5432287227922324	-3.7795928769519747	0.0001570849922497039	0.030329723895741855
XR_013437712.1	LOC144377078	15.53316373764657	1.9356338139032236	0.5141476905815154	3.7647427954290094	0.0001667206035173355	0.030517662267605942
XM_078037763.1	LOC101964880	46.57401882841578	1.9821233032204366	0.5257009676179889	3.7704387576109353	0.00016296079071953024	0.030517662267605942
XM_078019211.1	LOC144366044	36.47028470557601	2.0813837420544963	0.5530017582608451	3.7637922682204734	0.0001673559218493674	0.030517662267605942
XM_013361497.4	Mbd3	14.620219150650753	2.0659130222677464	0.5507194004030483	3.7512987934614106	0.00017592089953714205	0.031496238140767956
XM_005323832.5	Hirip3	41.571968145009045	1.477599014067654	0.3949698395026053	3.7410426475308314	0.00018325841759316732	0.032224029250712834
XM_078040340.1;XM_021726736.3;XM_078040361.1	Usp54	39.59058810362206	1.5644437824704562	0.42102810492954423	3.715770429939003	0.00020258545903016636	0.03476977581001814
XM_078024688.1	Oat	38.887959634142014	-1.694684891219851	0.457361918675476	-3.7053476077056726	0.00021110102221036923	0.03476977581001814
XR_013440309.1	LOC144378544	9.501945327287848	-2.5918532294213357	0.7000214202307752	-3.702534171835603	0.00021345659879033686	0.03476977581001814
XM_005332673.5	Anapc11	21.877642139521317	1.861068965543423	0.5029005875656111	3.7006696980655605	0.000215031222258965	0.03476977581001814
XR_013438209.1	LOC106145029	27.459216377464458	1.6640329033794212	0.4497088012156773	3.7002453562863717	0.00021539111652392674	0.03476977581001814
XR_013428378.1	LOC144368971	48.19351034668813	1.442401601231656	0.39142378447264264	3.685012660063503	0.00022869127263034923	0.035611201481722664
XM_021732052.3;XM_005333839.5;XM_021732053.3	Srgap3	94.32140758289681	1.3408731579022517	0.36417430902763465	3.681954285799173	0.00023145291914595823	0.035611201481722664
XR_013423455.1	LOC144365179	22.596566110218642	1.7365030952391323	0.4711090648881672	3.685989560933936	0.00022781568924298048	0.035611201481722664
XM_005321857.5	Nt5c3b	12.858518827383008	1.9267126281172984	0.532640960884834	3.617282127376393	0.00029771274463282046	0.04510119071383666
XM_078040908.1	Shh	11.269704385661257	2.2360864479326126	0.62019814321671	3.6054387978895934	0.00031162592895717	0.04547730852449925
XM_013358216.3	Cyp1a1	9.004361189165884	-2.7635160038538436	0.7669135741381705	-3.603425597153345	0.000314050673267589	0.04547730852449925
XM_005317849.4	Ndufs5	49.22504886039102	1.4295133912919809	0.3963206857761139	3.606961338625482	0.0003098037990493498	0.04547730852449925
XM_078029404.1	Ttc27	50.9526035006455	1.3867487836479113	0.38571330770987483	3.5952837403551388	0.00032403821204574605	0.046243540203108134
XR_013429519.1;XR_013429514.1	LOC144369767	11.095261122760066	1.993149111765755	0.559270145863103	3.5638396336886435	0.0003654692856458198	0.049158927863622554
XM_005323392.5	Serpina7	38.7501995168893	1.5724253413372522	0.44088348941730465	3.566532608003657	0.00036173581711388737	0.049158927863622554
XM_078025674.1	LOC144367957	14.169574730669517	2.0889192428905092	0.5850257421377942	3.570645003170638	0.0003561032529322757	0.049158927863622554
XM_040283931.2	Dusp8	15.593377899304036	-2.095245584628294	0.5872601229594577	-3.5678322138909166	0.00035994686393980727	0.049158927863622554
XM_078021355.1	LOC101971786	72.20313759434949	1.3914290139006207	0.3907397806570914	3.5610119132500673	0.000369428319478833	0.049158927863622554
XM_078032444.1	LOC101971870	42.832084857409654	1.530662419230501	0.4330320013894843	3.534755894065596	0.00040815202275616485	0.0535876395743994
XM_078021358.1	LOC101972081	73.07005767184852	1.2840355416170892	0.363867063020802	3.528858949081857	0.00041735551622190404	0.054074996950488015
XM_005333688.5	LOC101965270	41.44265617810134	-1.9576334639332351	0.5555919753268336	-3.5235092493580993	0.0004258722324140639	0.05407619243760603
XM_005334327.5	Bicc1	10.605018564296524	2.019911973731063	0.5740678877327993	3.5185942584394025	0.00043383966716470764	0.05407619243760603
XM_005328437.4	Taf6	25.882611292682316	1.620923124394064	0.4604094320552028	3.5206123322854004	0.00043055158095849875	0.05407619243760603
XR_013423567.1	LOC144365242	10.131657187672264	2.49601157034865	0.7123907089171505	3.5037115716214804	0.0004588220190886188	0.05577802990081024
XR_013427594.1	LOC144367940	23.30693523284741	1.7976291846404897	0.5129515868165434	3.5044811846608237	0.00045749789516070735	0.05577802990081024
XM_005331154.5	Ciart	8.440612998927197	-2.6184425031913823	0.751432062211774	-3.4846031130002992	0.0004928675162569965	0.05850010094560763
XM_005323070.5;XM_005323069.3;XM_078030039.1;XM_078030038.1	LOC101964373	24.157324197997625	1.5446887898375907	0.44330545792061166	3.484479521373765	0.0004930951943216648	0.05850010094560763
XM_078020342.1	Gnl1	13.797033406344752	1.8176094493362265	0.5222687750412034	3.480218493232397	0.000501005018220614	0.05873090969545698
XR_013436742.1	LOC144376354	10.621622973367904	2.1344122434187276	0.6185536765720955	3.4506499989576107	0.0005592383024967405	0.06478611252571063
XM_013355904.4	Myc	46.838782751678934	1.422471516441115	0.4131508812365267	3.4429831353228013	0.0005753351906260338	0.06587587932668088
XR_013426549.1	LOC144367219	9.76140237756534	2.284538558904734	0.6668757279392892	3.425733556031766	0.000613141533294206	0.06939775492354076
XM_078043202.1	Camkv	15.206982252901362	-1.9351526384771573	0.5657048699741462	-3.420781296377381	0.0006244152396663426	0.06987064619311903
XR_002485302.3	LOC110599375	33.26811270378854	1.3955673863476843	0.40846807194582324	3.4165886692186413	0.0006341100991268487	0.07015822636069752
XM_005328909.5	Slco1a2	24.929448502084284	1.7635275855997368	0.5171978606934783	3.4097735501750392	0.0006501683923082697	0.07113564621177257
XM_005337557.5	Hpgds	8.817121849301136	2.127139246075908	0.6257760673577457	3.399201978205182	0.0006758278771290216	0.0731305176493349
XM_013366485.4	Rgs3	69.52296519101101	1.5309469501494573	0.45182005518732354	3.3883997236792207	0.0007030172942343842	0.075245774960065
XM_005336612.4	LOC101966648	17.8087102963523	1.6713099283101729	0.4941136180457845	3.38244053041928	0.0007184483147050169	0.07607054360107851
