Transcript	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XM_005328522.5	Tbl2	718.6006084619048	3.5562397119606595	0.2481979968867379	14.328236958268063	1.4577447283573458e-46	5.3557541319848885e-43
XM_021720868.3	Tat	6058.1469557910705	-4.6230217054662015	0.3218148155238218	-14.365471949889113	8.522416315338193e-47	5.3557541319848885e-43
XR_013436304.1;XR_013436298.1;XR_013436303.1;XR_013436299.1;XR_013436300.1;XR_013436302.1;XR_013436305.1;XR_013436306.1;XR_013436301.1	LOC120884542	1504.162695773666	-5.403532096084962	0.38694910936071225	-13.964451565768597	2.5687518867224986e-44	6.291729621212307e-41
XM_005338373.4	Lag3	400.02572494737086	3.340821072209575	0.2510449968846095	13.307658442383348	2.08927458640266e-40	3.837997415221686e-37
XR_013429012.1	LOC144369391	181.7080197123546	-4.880597006172207	0.3710836806054619	-13.152281442851384	1.6511611839626244e-39	2.4265464759514727e-36
XR_013428015.1	LOC144368240	481.48168426562296	-3.7847692951108804	0.30805104850857007	-12.286175662880717	1.0747117490555144e-34	1.3161636553433202e-31
XM_078041674.1	Galk1	537.032528190555	3.879581591015848	0.31980111196744754	12.131232337337055	7.215534080719246e-34	7.574249203589289e-31
XR_013439021.1	LOC144377836	486.62178367695964	3.4621347163725384	0.2882926466652444	12.009098242428124	3.182968401919807e-33	2.9235564771633426e-30
XM_005330779.5	Ppp1r3b	1632.9870049212022	-2.7699341140073086	0.2346039752712723	-11.806850718554266	3.5978647626186633e-32	2.937456697302438e-29
XM_021727020.3	LOC144364625	195.01407045418284	-3.941405045706047	0.3428743482529561	-11.495187860476134	1.394772468349569e-30	1.0248788097432632e-27
XM_078019483.1	Slc16a10	1427.0241567873106	-3.0959256543516256	0.2783862662916035	-11.120971215974826	9.918631508292358e-29	6.625645847539295e-26
XM_005324514.5	Slc3a1	243.77099367359554	3.24970485058199	0.2958845049793118	10.983018021877182	4.612516959287144e-28	2.785234209857113e-25
XM_078015115.1	Gys2	2317.6969018856985	-3.7986330225142333	0.3460523098413031	-10.977048597815333	4.927605433878942e-28	2.785234209857113e-25
XM_078050423.1	Ang	310.6626459016981	-4.3465272868226466	0.40279083867628535	-10.791028170121468	3.79519564717937e-27	1.9919355439624296e-24
XM_078046016.1	C1qtnf4	118.61825126443328	3.8792410754114286	0.3612403073302513	10.738671728193854	6.7001393719639e-27	3.2821749403460492e-24
XM_005339490.5	Cdo1	807.4336036238166	-3.213532568782499	0.3038427975220016	-10.576299964950802	3.8381733475809727e-26	1.7626811098765617e-23
XR_013426044.1	LOC120892547	474.41913387322796	-3.044249286494114	0.2903966371126717	-10.483073484466585	1.0333003351069221e-25	4.4662887425680375e-23
XM_078026608.1	LOC101966455	1576.6417083888011	-2.8983056338814692	0.27661813678162517	-10.477641370889295	1.0943905788767537e-25	4.467545540881326e-23
XM_040291890.2	Ogdh	1326.3008612356682	-2.2309474440268264	0.21456182709983157	-10.397690372895681	2.540154184091877e-25	9.82371207616164e-23
XR_013430007.1	LOC144370071	505.8596204405885	-3.5916700665382653	0.35001397868321305	-10.261504640616014	1.0505684637605722e-24	3.859788535856342e-22
XR_013430769.1	LOC144370813	152.81495188362945	4.37311069426579	0.4268484819331429	10.245112444726344	1.2448005492423582e-24	4.355616398015642e-22
XR_013429540.1;XR_013429541.1;XR_013429538.1;XR_013429539.1;XM_078029960.1	LOC120885411	4232.423883754483	-3.256886503681594	0.31926166566849157	-10.201307748182375	1.9562051294994238e-24	6.533725132528075e-22
XM_021720816.3	Prss38	165.20200148371308	3.917763783265662	0.38471732785379353	10.183486678703886	2.3498750979992716e-24	7.507340095695063e-22
XM_078041874.1	Polg2	1306.9346528407143	3.251498674640626	0.3205681405790266	10.142925210121014	3.5626832018276595e-24	1.0907748402929018e-21
XM_005318562.5	LOC101958905	562.4257624040549	-3.093940619528869	0.3072622585251912	-10.069380581849787	7.545176460417979e-24	2.2176782652460526e-21
XM_005333321.5	Tesmin	781.5611820852328	3.2560108909126173	0.3236945313456366	10.058899905960702	8.393094160238569e-24	2.372017534208962e-21
XM_005340082.5	Gpr15lg	135.17832204590403	4.590314410113009	0.45653285946931743	10.054729500629763	8.756156912868754e-24	2.3829718887318372e-21
XM_005336657.5	Lin7b	79.73937548977072	4.612864946218695	0.46664418656493595	9.885186784764093	4.82680806329259e-23	1.2511624742206746e-20
XM_078050707.1	Calm1	652.0948574056614	2.290837669447947	0.23179794871042253	9.882907429477793	4.937903069188836e-23	1.2511624742206746e-20
XM_005320754.5	Lhpp	850.9284685448669	-3.1865576881333517	0.3240909111528045	-9.83229574935822	8.173393755543428e-23	2.0019365771911036e-20
XR_013438244.1	LOC144377336	398.2268708762906	-4.384893996320638	0.44801345248342506	-9.787415918013899	1.2751301999676963e-22	3.0224699062460106e-20
XM_005328098.5	Nags	245.1932207118159	-3.131496308778719	0.3201493922109231	-9.781359530789315	1.3537966968132742e-22	3.108655665057481e-20
XM_021732973.3	Hao2	258.62985175327566	-3.168559568855637	0.3264648661273213	-9.705667891441337	2.852022348955886e-22	6.350503097008439e-20
XR_013434482.1	LOC144375078	209.3430114750283	-3.584081376052554	0.37460596773219795	-9.567603521508172	1.094123278615702e-21	2.3645934856671113e-19
XM_078026999.1	Ovgp1	92.1008994363895	5.095417303099953	0.5360524487144179	9.50544543788576	1.9919366361649397e-21	4.1819286864399937e-19
XM_021731147.3	LOC101961272	421.87333500368294	-2.640750840196935	0.2799534461062856	-9.432821338424825	3.992038422288514e-21	8.148193979715556e-19
XM_005315812.5	Rnd3	727.2394983989325	-2.186645367938743	0.23212271071233978	-9.420212960758345	4.50174039677386e-21	8.94021309067414e-19
XM_013357991.4	Trim72	420.3245292989063	2.7070394800913595	0.2880002065264175	9.399435898817837	5.4856375963915175e-21	1.0607490804811808e-18
XM_078031753.1	LOC101962791	159.9515613522463	-2.8844079706848613	0.30750173190691155	-9.380135691587075	6.588787942233997e-21	1.241395225629113e-18
