Transcript	Gene	log2fc	pvalue	FDR
XR_013425053.1;XR_013425052.1;XM_078019780.1;XM_078019779.1;XM_078019778.1	Ogfrl1	NA	NA	NA
XR_013423005.1	LOC144364897	NA	NA	NA
XR_013430453.1	LOC144370473	NA	NA	NA
XR_013434884.1	LOC144375269	NA	NA	NA
XM_005335937.4	Thap5	-0.14086735958812321	0.4389608018633071	0.4907329436885023
XM_005341537.2	LOC101960552	NA	NA	NA
XR_005731884.2	LOC120888335	NA	NA	NA
XM_005320193.5	Btbd1	-0.5559930267839887	7.675185030374206e-06	1.3084829628378381e-05
XM_078029824.1	LOC144369678	NA	NA	NA
XM_078049959.1	Slc35f4	NA	NA	NA
XR_013435736.1	LOC144375881	NA	NA	NA
XM_078033025.1	LOC101969663	NA	NA	NA
XM_078033884.1	Plxna1	NA	NA	NA
XM_021721662.3	Enkd1	NA	NA	NA
XR_013423548.1;XR_013423547.1	LOC144365230	NA	NA	NA
XR_013440070.1	LOC144378415	NA	NA	NA
XM_013362929.4;XM_021733374.3	Gse1	-3.5056753440034463	2.6264769279993082e-132	7.911685763815459e-131
XM_078022131.1	Lipj	NA	NA	NA
XR_013429583.1	LOC144369803	NA	NA	NA
XM_005323862.5	Phkg2	-2.0259095524064965	7.776366537061401e-14	1.8648074502981043e-13
XM_078018597.1	LOC101971454	NA	NA	NA
XR_013437070.1	LOC144376514	-2.8930761372999583	1.2877741118252109e-36	6.022473560321872e-36
XM_013358012.4	Usp11	-1.0819429074960867	0.0035193834202916882	0.005053786371143198
XM_078015690.1	Sacs	NA	NA	NA
XM_040276737.2	Hspa14	NA	NA	NA
XR_013423365.1	LOC144365146	NA	NA	NA
XM_021734259.3	Rasal1	NA	NA	NA
XM_005316131.4	Fam135b	NA	NA	NA
XM_078032856.1	Vps9d1	-3.3649994069846105	7.069879651661705e-24	2.3557771980405334e-23
XM_005338834.4	Ubd	NA	NA	NA
XM_005341098.5	Apbb1	NA	NA	NA
XM_040281212.2	B4galnt3	NA	NA	NA
XR_013425718.1	LOC110597526	NA	NA	NA
XM_078025430.1;XM_078025429.1;XM_078025431.1	Pax7	NA	NA	NA
XM_078035532.1	LOC144372115	NA	NA	NA
XM_078029775.1	LOC144369489	NA	NA	NA
XR_013423289.1	LOC144365032	NA	NA	NA
XM_005335237.5	Got1	0.6468621424815193	6.191794552190058e-14	1.488383574455446e-13
XR_013426778.1	LOC144367421	NA	NA	NA
XR_013427687.1	LOC144367987	NA	NA	NA
XM_021733424.3	Nlgn4x	NA	NA	NA
XM_078045308.1	LOC144376929	NA	NA	NA
XM_005338180.5	Ethe1	NA	NA	NA
XM_005340132.5;XM_040285836.2	Cntln	NA	NA	NA
XM_005332091.5	Tubb4a	NA	NA	NA
XM_005332272.4	Asz1	NA	NA	NA
XM_005330141.5	Snx3	0.49084281606622376	0.016845917141062528	0.022826502606361952
XR_013431963.1	LOC144371862	NA	NA	NA
XM_078038779.1	Slc25a1	NA	NA	NA
XM_078033734.1	LOC144371408	NA	NA	NA
XM_005325525.4	Gpm6a	NA	NA	NA
XM_005322375.4	Slc17a8	NA	NA	NA
XR_013428271.1	LOC144368515	NA	NA	NA
XM_005331012.3	Tra2b	-2.522142816192544	0.0	0.0
XM_040287035.2	Psmg1	-4.737342421797169	6.201697406941483e-182	3.822471853027163e-180
XR_013425741.1	LOC144366642	NA	NA	NA
XR_013430323.1	LOC120883690	NA	NA	NA
XM_078040789.1;XM_078040784.1	Znf467	NA	NA	NA
XM_078035488.1	LOC144372067	NA	NA	NA
XM_078017358.1	Orc4	0.35579456152595224	6.493804292700242e-07	1.1690987686333762e-06
XM_078033638.1	LOC144371214	NA	NA	NA
XR_013428541.1	LOC144369082	NA	NA	NA
XM_078017672.1	Ttn	NA	NA	NA
XM_078023947.1	Galnt17	NA	NA	NA
XR_013429563.1	LOC144369787	NA	NA	NA
XR_013423953.1	LOC144365477	NA	NA	NA
XM_021728657.3;XM_021728658.3	Triqk	NA	NA	NA
XM_078015175.1;XM_005333592.5;XM_005333590.5	Slk	-2.5259201164683693	2.105582253882109e-25	7.320507118718272e-25
XM_013361867.4	Rfxank	NA	NA	NA
XR_013430395.1	LOC144370428	NA	NA	NA
XM_005336973.4	Stpg3	NA	NA	NA
XM_078039221.1;XM_040289516.2;XM_078039220.1	Morn3	NA	NA	NA
