Transcript	Gene	log2fc	pvalue	FDR
XM_005316493.5	Pdia3	-2.323407109303145	0.0	0.0
XM_013365175.4	Bcl2l11	-3.5541074355464755	0.0	0.0
XM_005337911.4	Abhd5	-3.217969379826471	0.0	0.0
XM_078041875.1	Polg2	-3.998126167138249	0.0	0.0
XM_040290105.2	Abhd5	-3.1557677715619	0.0	0.0
XM_078041874.1	Polg2	-4.107116158417484	0.0	0.0
XM_021720868.3	Tat	3.0636090727190073	0.0	0.0
XR_013437406.1	LOC144376967	-4.1451636172120985	0.0	0.0
XM_005330540.4	Acsl3	-3.42675520304005	0.0	0.0
XR_013437182.1	Arrdc3	3.0787004893603545	0.0	0.0
XR_013437403.1	Rbm14	-2.6509643420633098	0.0	0.0
XM_005339341.5	Sqstm1	-1.823649537645569	0.0	0.0
XR_013431495.1	LOC144371541	-6.323381388227827	0.0	0.0
XM_013363123.4	Skp1	-3.3517555711602016	0.0	0.0
XM_078021403.1	LOC101965856	1.0350860694748079	0.0	0.0
XM_005322671.5	Sptssa	-2.1860476755944243	0.0	0.0
XM_005328522.5	Tbl2	-5.358722858044345	0.0	0.0
XM_013360884.4	Acsl3	-3.4364777472751533	0.0	0.0
XM_021728531.3	Apoa1	-2.960598963092458	0.0	0.0
XM_005324935.5	Gpd1	-3.7338540459079916	0.0	0.0
XM_005335728.5	Hnrnpab	-4.10064789655284	0.0	0.0
XM_005324489.5	Calm2	-2.3622375518806016	0.0	0.0
XM_005324549.5	Srsf7	-2.9547388780599158	0.0	0.0
XM_005324548.4;XM_005324547.5	Srsf7	-2.940777873842542	0.0	0.0
XM_040272455.2	Arrdc3	3.0495290678882467	0.0	0.0
XM_078032108.1;XM_078032110.1	Ech1	-3.879927033988292	0.0	0.0
XM_078038028.1	Abhd5	-3.1932809824739348	0.0	0.0
XM_005323759.4;XM_005323758.4	Rbbp6	-4.26320994313222	0.0	0.0
XM_005324099.5	Klf9	-3.0120280025410024	0.0	0.0
XM_013364784.4	Sqstm1	-1.8452198006585114	0.0	0.0
XM_005335746.5	Skp1	-3.340572642539696	0.0	0.0
XM_005335729.5	Hnrnpab	-4.214945825066109	0.0	0.0
XM_078031680.1	Ppp1r15a	-4.5252805651632855	0.0	0.0
XM_005331012.3	Tra2b	-2.522142816192544	0.0	0.0
XM_005324546.4	Srsf7	-2.949970098547382	0.0	0.0
XM_040272456.2	Arrdc3	3.0325955921293164	0.0	0.0
XM_078044768.1	Pttg1ip	-2.6915489618399855	0.0	0.0
XM_005315682.5	Arrdc3	3.076073181289293	0.0	0.0
XM_021727009.3	Aldob	2.493204963765659	0.0	0.0
XM_005328216.5	Polg2	-4.055298185895524	0.0	0.0
XM_005329011.5	Serinc5	-3.6219599528269413	0.0	0.0
XR_013426848.1	LOC120887606	-5.725874789058435	0.0	0.0
XM_078020566.1	Mylip	-4.275842500798932	0.0	0.0
XM_078023916.1;XM_078023918.1	Eif4h	-4.231740320912516	0.0	0.0
XM_021725456.2;XM_021725455.2	Rbbp6	-4.275125937660747	0.0	0.0
XM_040279961.2	Tat	3.0597782012647214	0.0	0.0
XR_013439176.1	LOC144377902	-4.850989661009422	0.0	0.0
XR_013439174.1	LOC144377902	-4.7380893110753215	0.0	0.0
XM_078044767.1	Pttg1ip	-2.6523528412532253	1.364586172653e-311	3.34713494063641e-309
XM_078026210.1	LOC101977879	-4.0674121577355145	5.126268745508244e-305	1.2322524810452718e-302
XM_078024621.1	Hapstr1	-3.1940120675193375	5.59778288671862e-305	1.319210833636688e-302
XM_078026211.1	LOC101977879	-4.071216496716093	1.8075230938517423e-304	4.177811550962325e-302
XM_005318000.5	LOC101977879	-4.058939362230955	1.4864114581422762e-297	3.370788550077739e-295
XM_078049472.1	Clpx	-3.7002514146371173	1.3981230854702404e-296	3.1118595119012632e-294
XM_005323732.5	Crym	-5.163904280329011	2.4194113819166024e-283	5.287073708955572e-281
XM_005332147.5	Angptl4	-2.849941867523294	1.0399535980642624e-281	2.2320004098454232e-279
XM_005335662.4	Lrp1	-4.16701210163677	5.0441375547254187e-281	1.0636050749165755e-278
XM_078044565.1	Son	-2.586349953199954	1.794388766929959e-280	3.718406653401928e-278
XM_078049811.1	Ivd	-2.3046459773487813	3.545403841543601e-277	7.222408266358057e-275
XM_078049260.1	C5H15orf39	-4.159942181249174	1.9895695206015355e-276	3.985439344684976e-274
XM_078044566.1	Son	-2.5774717563565828	1.3427418125923929e-275	2.645641614024257e-273
XR_013438743.1	Clpx	-3.560864605204983	1.6235698249191544e-269	3.147368665436019e-267
XR_013428015.1	LOC144368240	3.485828676476549	7.685993597954886e-269	1.46631677863206e-266
