long-eRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
nw_027521300.1:170420-202645:-	47.45338553175984	-4.917816110895231	0.7675632298889854	-6.40705015482113	1.4836202536531857e-10	1.2165686079956122e-08
3:26256493-26279079:-	28.365732435193493	-4.303519483991874	0.690124237267759	-6.235861967447704	4.4929715042768847e-10	1.2280788778356817e-08
nw_027521144.1:51346-62690:-	42.06765253872349	-4.051923036138009	0.6471031415442287	-6.261634005467219	3.8096423478042707e-10	1.2280788778356817e-08
4:207685701-207699772:+	41.45001357220685	-3.8150189166772464	0.6417767886318556	-5.944463845147985	2.7736317724593948e-09	5.685945133541759e-08
3:204676335-204699416:+	24.1482636117663	-4.903439178964387	0.8354346156055167	-5.869327278724753	4.375669290189293e-09	7.17609763591044e-08
4:162834035-162876714:-	27.851994576929076	-3.7417292072290436	0.6751377006372093	-5.542171920924457	2.9874277640977015e-08	4.0828179442668586e-07
4:141343218-141359001:-	26.190631754269575	-5.730185411275868	1.0668610225733333	-5.371070167559703	7.827074377909943e-08	9.168858556980219e-07
4:141307666-141332185:-	21.305551736350996	-6.052232181996269	1.1753512113754	-5.149296757786914	2.6146492100913517e-07	2.6800154403436356e-06
4:55958096-55978342:-	17.689691079953914	-4.2978181468274945	0.9082164427173572	-4.732151879973179	2.2215208663236165e-06	2.024052344872628e-05
2:148558771-148580941:-	13.68805165158833	-4.353302196342304	0.935911380323664	-4.651404275944173	3.2968229970118752e-06	2.7033948575497373e-05
13:17390005-17403269:+	16.88151177377984	-3.3239996259066427	0.7528156879557837	-4.4154228971140626	1.0081270871972361e-05	7.515129195470305e-05
nw_027522720.1:2591181-2616913:+	18.069538604818835	-3.042722180542522	0.6931180889708911	-4.389904446239762	1.1340047990387992e-05	7.749032793431794e-05
nw_027525482.1:6462-19064:-	19.762376975047868	-3.0934720175309303	0.7077239712190974	-4.371014891868418	1.2367035690157305e-05	7.800745589176146e-05
nw_027520944.1:198114-214098:-	32.20865046343334	-2.6020722293110214	0.6110121470081823	-4.25862602249735	2.0568724997887913e-05	0.00012047396070191491
13:23857829-23868554:+	10.519654197929961	-4.478813049366949	1.0666482341237054	-4.198959793944135	2.6814392140175557e-05	0.00013777516598978485
12:106814015-106826945:+	21.922026258518105	-3.281214017886427	0.781542625603385	-4.198381393917173	2.6882959217518994e-05	0.00013777516598978485
nw_027522374.1:153307-180353:+	14.111846191842034	-3.176855322529291	0.7901059561830952	-4.020796575026835	5.800167639354882e-05	0.00027977279201594135
11:13203364-13214789:-	12.109046569378014	-3.158672864811736	0.8131297612808158	-3.8845864648174935	0.00010250420919936938	0.0004669636196860161
9:18416508-18445179:-	9.604480732392028	-3.35999323716303	0.8919092357889739	-3.7671918871776384	0.00016509410516488585	0.0007125114012379284
6:131379221-131420606:-	8.779957146021578	-4.2374467663428	1.130298394684569	-3.748962916580395	0.00017756733650552497	0.0007280260796726524
13:23810513-23824007:-	9.79373962788456	-5.674082772963172	1.5433988709370097	-3.67635539963716	0.00023658986032165863	0.0009238270736369528
nw_027524440.1:581485-608731:+	16.580363942355987	-2.2616529009733473	0.6272894201771441	-3.6054376627851705	0.0003116272911505217	0.001161519903379217
