Enhancer_ID	chr	start	end	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
608	chr9	133771199	133778909	251.72261118607446	-5.615145002594568	0.5616037381358291	-9.998411017051481	1.548619077929991e-23	1.009699638810354e-20
474	chr6	67318514	67322636	108.24545980019302	-5.911045970131725	0.6753171901310404	-8.752992011035184	2.077694028168171e-18	6.773282531828237e-16
186	chr13	23856376	23868554	495.60019570270236	-4.30237007247693	0.5181232878290496	-8.30375737501392	1.0086952366481837e-16	2.1922309809820527e-14
149	chr12	106815340	106827009	112.1330270401469	-4.900494984636554	0.6034600987032268	-8.12066115915072	4.636508410498029e-16	7.557508709111786e-14
493	chr7	17094323	17096727	90.9556679987031	-6.92258518923878	0.858120804613774	-8.067145269079592	7.196090873896326e-16	9.38370249956081e-14
223	chr15	48460747	48466313	77.81752143009199	-5.071941741487312	0.6555341555339378	-7.737112854716434	1.0169978089133883e-14	1.1051376190192153e-12
497	chr7	173796628	173802589	178.22612017706945	-5.868494762859581	0.7747344075292807	-7.574847206767158	3.595505464033331e-14	3.348956517928188e-12
596	chr8	99500320	99501490	52.296455754095184	-4.966543768929305	0.6584152605530902	-7.5431783958914425	4.586530408347026e-14	3.7380222828028266e-12
231	chr15	9952713	9954593	58.305422661074	-5.298074277582313	0.7069101147157085	-7.494692984712761	6.645372619373279e-14	4.814203275368197e-12
18	chr1	145491052	145493998	55.68632529194614	-4.952747392651073	0.6635358680819828	-7.464174328612389	8.382356313040213e-14	5.465296316102219e-12
629	chr9	55261432	55265391	94.29379501590235	-4.928153656533046	0.6668129496884211	-7.390608803916905	1.4615804313513158e-13	8.663185829464163e-12
373	chr5	114761346	114772121	284.4874402257603	-3.7376638048745594	0.5113480542626861	-7.3094319489763295	2.6827407600367836e-13	1.457622479619986e-11
138	chr11	42708682	42713583	103.58088856496313	-3.7366002772839346	0.513132881447399	-7.281934977045457	3.290656857761712e-13	1.650390977892797e-11
348	chr4	191400869	191403292	53.275155354171424	-4.986561818660883	0.6869170868276722	-7.259335827108153	3.889956033019101e-13	1.811608095377467e-11
21	chr1	151671795	151675510	84.25467454358433	-4.9859429366565635	0.6878847567629656	-7.2482241940049885	4.222712453648384e-13	1.8354723465191642e-11
518	chr7	39966440	39969827	124.02040800088456	-3.712555644672241	0.513754128051485	-7.226327618529995	4.962298039328412e-13	2.022136451026328e-11
353	chr4	207715070	207721579	135.02569399963696	-3.8071985315159167	0.529926913769371	-7.184384171838542	6.751078747314813e-13	2.5892372607348576e-11
345	chr4	185291857	185298892	44.82025769419301	-5.628776794562223	0.7891709375172097	-7.132519112108681	9.854838778015335e-13	3.5696416018144435e-11
104	chr10	62368406	62373925	110.77088761231289	-3.444084081180848	0.48572065029949707	-7.090668430624091	1.334657683517946e-12	4.579983208703689e-11
188	chr13	2688116	2692382	62.742604144968716	-5.111389497472512	0.7255810724362876	-7.0445463527734695	1.860667016674985e-12	6.065774474360451e-11
398	chr5	193486764	193488586	91.87915288566637	-4.098612142863475	0.584006113906886	-7.018098004907117	2.2490877270712533e-12	6.665478172956624e-11
172	chr12	71477723	71479592	48.22601828036614	-5.157216431086628	0.7347710973129651	-7.018806877334189	2.2377082242683292e-12	6.665478172956624e-11
254	chr2	225686369	225689418	142.70437609174706	-3.2242458886434875	0.4635403262122551	-6.9556966380679155	3.508240608640698e-12	9.9450994644945e-11
227	chr15	53940089	53942326	77.1920160643272	-3.6901503294856037	0.5343551606016441	-6.905800863475838	4.992098562536277e-12	1.3222087336256799e-10
597	chr8	99504462	99505837	70.88049790999445	-3.96638016480304	0.5745373056067237	-6.903607696308699	5.069818763902147e-12	1.3222087336256799e-10
162	chr12	1977895	1981858	41.991036759357634	-4.773900324989224	0.6952661943420828	-6.8662914489991485	6.589238747642808e-12	1.6523783321011964e-10
557	chr8	136827281	136831789	80.23493910162775	-4.347384139712032	0.6358024237281052	-6.837633795449557	8.051188418466592e-12	1.9442129069778586e-10
243	chr2	148587259	148589061	75.61240346741818	-3.640178114785008	0.5342038568166564	-6.814211594197363	9.478211407708348e-12	2.2070692277949437e-10
313	chr3	204674819	204686456	499.52509721357234	-2.908089804503853	0.4323971383252673	-6.725506592775518	1.7498256891401948e-11	3.934090859722093e-10
187	chr13	2663197	2667518	58.826367474514164	-4.420229457316165	0.6601614082405671	-6.695679877890415	2.1467120226581707e-11	4.665520795910425e-10
447	chr6	188947587	188949838	72.93071803336427	-3.770155281994832	0.5673461104136852	-6.6452474297317226	3.027081243440266e-11	6.366635389429205e-10
101	chr10	62294494	62301312	154.72083085879504	-3.8131012653509457	0.5763941853671333	-6.615440200740744	3.704477154265798e-11	7.547872201816564e-10
429	chr6	131379221	131421262	223.49894271059932	-3.9411835295662967	0.5971214777716153	-6.600304420926735	4.1031436065058487e-11	8.106817064975192e-10
409	chr5	28918047	28920083	50.00827578606165	-4.0330005531916475	0.6138662312206469	-6.569836143571862	5.037066052727168e-11	9.6593149011121e-10
405	chr5	23996126	23998087	51.598754007319734	-3.7456327201411583	0.5728313609815676	-6.538805266741819	6.201220453346741e-11	1.1551987815948787e-09
510	chr7	22053375	22056998	39.426021511592054	-5.486151384209619	0.845246860873018	-6.490590664298022	8.550049342942237e-11	1.548508936555094e-09
566	chr8	145535085	145537229	45.310773336302894	-4.130798918049521	0.638147518487614	-6.47310974089402	9.600617079584922e-11	1.6917844151052348e-09
286	chr3	102220619	102222054	37.277244875832146	-5.398643929399416	0.840487977464748	-6.423225642898441	1.3341649802654058e-10	2.289146229297486e-09
296	chr3	145797645	145798626	38.64476560878688	-6.458297476928808	1.0084361198300034	-6.404270285377633	1.5109024680700784e-10	2.5259189979017724e-09
358	chr4	4378340	4382322	55.04977694130516	-5.793726492660251	0.9108792812358919	-6.360586536559766	2.0098478481430287e-10	3.276051992473137e-09
157	chr12	119835793	119837546	40.35973472058651	-4.547861463732226	0.7215356040770987	-6.303031254499634	2.918800037656675e-10	4.538397724770449e-09
79	chr10	118385936	118386779	49.97258726695082	-7.410556063176541	1.1757596204492333	-6.302781567158363	2.9235077368153197e-10	4.538397724770449e-09
92	chr10	31612303	31615217	69.4900547960788	-3.7417850585873293	0.5965404933327484	-6.272474543484466	3.5535456811790174e-10	5.265708600292544e-09
196	chr13	91104469	91109878	154.09989555565394	-3.6328899568848354	0.5789009882499971	-6.2754944811322035	3.485248430677534e-10	5.265708600292544e-09
561	chr8	144174292	144175227	39.6958106629921	-4.721765672597849	0.7542232315343411	-6.260435206950873	3.8390455772530867e-10	5.562350480820028e-09
325	chr3	61077240	61081698	37.06485395632051	-3.974077534239708	0.6391518904128052	-6.2177357117304215	5.043801494944713e-10	7.149040379791202e-09
338	chr4	141297553	141363288	824.7547650550963	-3.0070406885036878	0.4853822821492289	-6.195200770800251	5.821078158688217e-10	7.745597876458606e-09
103	chr10	62329689	62331923	35.49780751602336	-4.147577067998122	0.6690168857877696	-6.199510290557669	5.663911429708064e-10	7.745597876458606e-09
158	chr12	119842214	119843989	52.65878937263241	-4.0143824361425775	0.6476588943833751	-6.198297392278696	5.707721785420765e-10	7.745597876458606e-09
150	chr12	106833953	106836255	42.43314010932337	-4.73087214030573	0.7644046859445738	-6.188962767097376	6.056138444416215e-10	7.897204531518743e-09
393	chr5	18266553	18267791	92.83220330630301	-3.030302099696739	0.49095325795469025	-6.17228229082534	6.731117952300049e-10	8.605272362548298e-09
472	chr6	67310696	67313067	32.74605344317994	-4.691959840577683	0.7609984970396314	-6.165531021191142	7.024699623168287e-10	8.807892604434083e-09
228	chr15	54360444	54362106	34.874775373246585	-4.278084692105944	0.6959613652641069	-6.147014627000846	7.895485073122632e-10	9.712936354105578e-09
45	chr1	249229593	249233612	156.35814686081247	-4.1696963409221075	0.6828248830496618	-6.10653835914595	1.0181517500686601e-09	1.2293239648977156e-08
47	chr1	249245574	249248385	49.99419919863268	-5.377600045557155	0.8824224767556261	-6.09413312467833	1.1003206689918793e-09	1.3043801385140098e-08
334	chr3	99173137	99175123	42.168762882435765	-7.167764572150831	1.1787603401608935	-6.080764959544258	1.196105197864688e-09	1.392608194656744e-08
347	chr4	189188594	189193658	32.70781816585827	-5.152301263756287	0.8508295177172609	-6.0556211984507655	1.3987681169242993e-09	1.5999944074291986e-08
30	chr1	201105641	201146577	191.17508310694828	-4.2792449945578	0.7140262536144533	-5.993119962880844	2.0585288086402667e-09	2.314070315919748e-08
422	chr5	66005790	66007075	34.1258221026373	-4.486175620755466	0.7491840693245982	-5.9880819740332	2.1233004815857205e-09	2.3209720683958115e-08
484	chr7	12274889	12289537	128.17565228160825	-3.043587409490072	0.508355656664244	-5.987122144881108	2.1358638666219124e-09	2.3209720683958115e-08
220	chr15	30626554	30644288	196.0816268649797	-3.11967817207234	0.5214067772102439	-5.983194519956172	2.188031989357024e-09	2.3386833722307865e-08
31	chr1	206558541	206602099	189.14866714150267	-4.2793248423403005	0.7169288137345421	-5.968967574408037	2.3875955175616554e-09	2.5108262539519343e-08
364	chr4	64664918	64667955	26.450059916926133	-5.110930789667648	0.8581106421718804	-5.9560277410519795	2.5844248016139625e-09	2.674674556590958e-08
374	chr5	119144966	119146051	38.92997294307711	-3.628999916383413	0.6108440449288334	-5.9409598022785195	2.8335809725037173e-09	2.886710615738162e-08
632	chr9	55284622	55287171	38.864529162144	-4.536401712181837	0.7644922310130483	-5.93387549036376	2.9586623702487587e-09	2.9677659467726008e-08
153	chr12	115554395	115565970	112.53096627838475	-3.2891699733716577	0.5555316328858375	-5.920760904802673	3.2045546578164782e-09	3.1657115710550665e-08
137	chr11	41433292	41435293	38.489773814157644	-4.780138649382792	0.8121553737684529	-5.8857440383637964	3.962671936496701e-09	3.8562120934266406e-08
326	chr3	64113451	64115029	30.138755135051827	-4.691147190007852	0.7977867424445747	-5.880201989360288	4.097661307709471e-09	3.928934077392022e-08
469	chr6	61800249	61802662	218.35835901900487	-3.146947033941832	0.537241751548114	-5.857599534797137	4.6960536890825635e-09	4.3597523113217694e-08
168	chr12	44494686	44496160	36.24490972123422	-6.929504683684303	1.1833602353028072	-5.8557863252107065	4.74758303840254e-09	4.3597523113217694e-08
368	chr4	9333123	9334199	30.18217098160991	-6.068493139450977	1.0360613712932119	-5.8572718833019355	4.705324708475246e-09	4.3597523113217694e-08
51	chr1	257531087	257532954	29.286746377018982	-4.964507332329557	0.8488512423110406	-5.848500991544094	4.9602268567146045e-09	4.4917609869137804e-08
427	chr6	110136655	110138942	37.243439923835815	-3.6052003534010773	0.6184608351256585	-5.829310683300705	5.565679833241834e-09	4.970990755169419e-08
131	chr11	2855610	2856782	38.144419175544776	-6.009990321335171	1.0319972727276958	-5.823649422493169	5.7576289277924134e-09	5.072937920163045e-08
48	chr1	249250984	249253447	35.67864478402857	-4.51930801026519	0.777133364913351	-5.815357072938291	6.050459143805302e-09	5.259865815681409e-08
49	chr1	250728616	250730369	53.52044780832054	-3.499252954949233	0.6027042136619384	-5.80592084081893	6.4013201859800364e-09	5.4916588963934e-08
277	chr2	90730239	90731726	25.963956989143536	-5.103119590166767	0.8836732927573246	-5.774893993054277	7.700154818608178e-09	6.520131093159134e-08
160	chr12	1288494	1291417	39.96596379481775	-3.871044457831963	0.6718931599745512	-5.761398818196904	8.341966597825784e-09	6.97302848946463e-08
351	chr4	206819214	206820494	29.163357083346842	-4.297308415467196	0.7486104625954143	-5.74037985064827	9.446442252971976e-09	7.79630423916168e-08
329	chr3	72841490	72843611	40.48091916142642	-4.110592348948788	0.7173019399447885	-5.73063046402075	1.0005803482359916e-08	8.154729838123332e-08
219	chr15	19220001	19222526	27.269375487220554	-4.9455721612708174	0.8669168114572327	-5.704782853337013	1.1649149960965329e-08	9.376846635246166e-08
130	chr11	22700801	22702313	31.24128364472922	-4.51618711594985	0.7919679789041424	-5.702487014940886	1.18071908465812e-08	9.388156624354808e-08
230	chr15	55684434	55687650	53.29488417718512	-3.559623184214951	0.6278801300399611	-5.669271910210632	1.4340562207152557e-08	1.1265116336221044e-07
418	chr5	63330533	63332895	68.28973083237524	-3.5148043465792016	0.6218574485890683	-5.652106209476043	1.5849360107045957e-08	1.2302122368802338e-07
341	chr4	176880110	176884529	52.07080924799436	-3.3627956166444504	0.596609286531242	-5.636512358357925	1.735285882226478e-08	1.3310663473078395e-07
630	chr9	55272897	55275753	29.108467869741705	-5.009708298038947	0.8912146473337202	-5.621214050988363	1.8962015287515788e-08	1.4375853450535226e-07
