Transcript	Gene	chr	strand	last_exon_len	last_exon_s	last_exon_e	log2fc	pvalue	FDR	last_exon_SRR13652347	tts_down_50k_SRR13652347	ratio_SRR13652347	last_exon_SRR13652348	tts_down_50k_SRR13652348	ratio_SRR13652348	last_exon_SRR13652349	tts_down_50k_SRR13652349	ratio_SRR13652349	last_exon_SRR13652338	tts_down_50k_SRR13652338	ratio_SRR13652338	last_exon_SRR13652339	tts_down_50k_SRR13652339	ratio_SRR13652339	last_exon_SRR13652340	tts_down_50k_SRR13652340	ratio_SRR13652340
XM_005341129.5	Tcim	14	+	1536	64878437	64879972	1.82283877143673	0.0	0.0	823	406	0.4927	531	90	0.1679	1260	362	0.2867	1070	1127	1.0533	431	345	0.8	1019	1542	1.5138
XM_078022856.1	Dusp10	10	-	448	47955484	47955931	2.5801101066770626	8.721775524872393e-267	4.129760711027079e-264	270	65	0.2379	213	78	0.3632	831	51	0.0602	232	205	0.8831	133	182	1.3712	193	216	1.1198
XM_013363898.4;XM_005337560.5;XM_013363897.4;XM_005337559.5;XM_013363896.4;XM_013363893.4	Pdlim5	9	-	123	107629829	107629951	2.146958234053397	3.980464649080108e-244	1.2565000075596208e-241	274	112	0.4066	212	57	0.2654	445	173	0.3874	266	316	1.1887	405	345	0.8515	64	450	7.127
XM_005319542.5;XM_021722472.3;XM_040273800.2	Pik3r1	1	-	227	210331497	210331723	2.353611218375961	5.620550865427917e-230	1.3306654173900593e-227	85	154	1.8214	112	171	1.5315	277	357	1.2899	99	673	6.8571	99	478	4.8673	51	796	15.9
XM_005331012.3	Tra2b	3	-	211	131165462	131165672	1.326547972731553	2.8114910819893517e-202	5.324964109287832e-200	225	375	1.6696	292	251	0.8591	791	473	0.5975	524	997	1.9044	673	811	1.2054	140	1039	7.4676
XR_013424148.1	LOC120892777	7	-	4179	142169595	142173773	-3.4535759787426343	5.110389693350763e-161	8.065898399338621e-159	72	40	0.5493	49	55	1.125	130	147	1.1318	174	19	0.104	203	17	0.0792	284	19	0.0636
XM_005322350.5	Pah	6	+	621	17274553	17275173	1.536084038038898	1.7827532948877163e-157	2.4118105289409535e-155	215	633	2.9533	151	583	3.88	615	1790	2.9137	136	1236	9.1481	149	1129	7.6216	62	745	12.1967
XM_078021466.1	Rasgef1b	9	-	164	62296493	62296656	1.5055074652381326	3.8193969865474454e-142	4.521211182825539e-140	208	183	0.8792	161	131	0.8125	413	315	0.7621	277	427	1.5435	219	312	1.4266	106	726	6.9048
XM_005319381.5	Slc25a5	x	-	209	30412922	30413130	2.784324883156347	5.130987775303525e-127	5.398939359124931e-125	82	24	0.284	50	12	0.2245	156	46	0.2903	129	177	1.375	126	260	2.072	50	143	2.898
XM_005315970.5	Tmsb4x	x	-	158	118581340	118581497	2.8372103963876216	1.8354424079832337e-118	1.7381639603601222e-116	73	29	0.3889	100	24	0.2323	159	29	0.1772	56	76	1.3636	87	83	0.9535	21	143	7.1
XM_005335148.5;XM_005335147.5;XM_005335141.5;XM_005335140.5	Tle4	4	-	887	133194174	133195060	1.7878697496504508	9.701257368125397e-116	8.351900661467956e-114	168	50	0.2934	176	72	0.4057	697	124	0.1767	203	156	0.7673	218	143	0.6544	111	181	1.6364
XM_005315812.5	Rnd3	7	-	450	121680597	121681046	1.5444081854938567	6.801409809889095e-115	5.367445908304144e-113	151	162	1.0733	118	81	0.6838	362	240	0.662	189	403	2.1383	169	360	2.1369	150	391	2.6174
XM_005325814.4	Otud1	10	-	3167	80332685	80335851	1.929341641494212	3.9142133905312274e-114	2.851353908333133e-112	139	54	0.3841	95	24	0.2447	241	102	0.4208	219	233	1.0642	231	234	1.013	115	327	2.8596
XM_005315895.5	Bin1	7	-	368	104512688	104513055	3.043186288520115	4.584698846721202e-114	3.1012212913178417e-112	49	30	0.6042	60	26	0.4237	103	75	0.7255	42	160	3.878	31	115	3.8	9	117	14.5
XM_013365175.4	Bcl2l11	12	-	341	32135687	32136027	2.2930060001006423	4.820756939685139e-110	3.043504547921218e-108	312	28	0.0868	211	9	0.0381	633	58	0.0902	408	98	0.2383	278	74	0.2635	94	101	1.0753
XM_005329444.4	Slc30a1	10	-	1245	39026554	39027798	1.7638792794282878	3.1790904664062196e-108	1.8816241698041814e-106	135	97	0.7164	74	33	0.4384	304	173	0.5677	181	214	1.1833	181	253	1.4	41	321	8.0
XM_013360965.4	Saraf	14	-	270	71528427	71528696	1.7408426857050507	1.1734690672729235e-101	6.536912980632109e-100	117	86	0.7328	158	63	0.3949	423	131	0.3081	112	179	1.6036	203	158	0.7772	57	176	3.125
XM_013365368.4	Cd36	2	-	136	170634366	170634501	1.74294086115142	1.2450316188110672e-100	6.55024968341156e-99	88	142	1.6207	67	73	1.0909	306	269	0.8787	85	253	3.0	94	256	2.7419	66	429	6.5846
XM_005326014.4	Jun	11	-	2693	44829043	44831735	1.6088278784350478	3.3769276008062017e-100	1.6831318094544596e-98	184	45	0.2404	315	83	0.2611	629	258	0.4092	196	142	0.7231	170	155	0.9112	116	166	1.4348
XM_078044306.1	Alcam	3	-	778	161938217	161938994	2.061981960248866	9.629217155823967e-98	4.559434323282649e-96	77	99	1.2895	79	76	0.9615	161	109	0.675	77	202	2.6447	68	182	2.7015	16	224	14.8667
XM_078015952.1	Rgs7bp	1	-	848	213625239	213626086	2.9575919020930175	1.0633343913679847e-96	4.7951317553594356e-95	59	44	0.7414	31	9	0.2667	66	14	0.2	56	154	2.7818	39	100	2.6053	33	164	5.0938
XM_005322353.5	Igf1	6	+	6192	17638933	17645124	1.7350247828310732	1.3364276163326876e-93	5.7527134212138864e-92	35	20	0.5588	355	141	0.3955	130	37	0.2791	126	154	1.224	284	273	0.9611	350	575	1.6447
XM_078017686.1	Cwc22	7	-	266	147389437	147389702	2.8693480596557928	1.1211564025610678e-86	4.616239622718831e-85	17	34	2.0625	38	23	0.5946	79	73	0.9231	30	157	5.3793	26	128	5.08	8	188	26.7143
XM_078019319.1;XM_078019318.1	Man1a1	8	+	2710	43484787	43487496	0.902887929808222	6.414867254633966e-86	2.531199704224319e-84	135	306	2.2761	137	231	1.6912	720	1006	1.3978	331	917	2.7758	403	1129	2.806	590	2038	3.4584
XM_078019377.1	Marcks	8	-	525	48621970	48622494	3.2164633520406776	3.9550908855389386e-82	1.49818842744215e-80	40	19	0.4615	50	10	0.1837	81	22	0.2625	30	66	2.2414	25	64	2.625	17	71	4.375
XM_040281712.2;XM_005316995.5	Efnb2	6	-	833	194888133	194888965	4.010862051897763	1.3792269077726227e-80	5.023568775617976e-79	26	13	0.48	23	7	0.2727	33	17	0.5	13	66	5.4167	11	52	5.1	4	99	32.6667
XM_005316618.5	Aqp9	5	-	346	24101748	24102093	1.6360271378436446	2.0452166025369087e-80	7.173407861490565e-79	170	426	2.5148	54	91	1.6981	293	246	0.839	84	261	3.1325	59	259	4.4483	25	235	9.75
XM_005316285.3	Klf10	7	+	1575	33577231	33578805	1.3796742783208045	2.8490550711463713e-80	9.635911258484335e-79	90	219	2.4494	43	26	0.5952	345	338	0.9797	185	635	3.4457	121	401	3.3333	136	415	3.0667
XM_005327987.4;XM_005327986.5	Nfib	4	-	1132	156598328	156599459	1.6883201202168836	1.0228236407432552e-77	3.3400482337374575e-76	108	70	0.6449	75	49	0.6486	239	88	0.3655	106	131	1.2381	139	198	1.4275	91	235	2.6
XM_005335986.5;XM_005335987.5	Sox9	3	-	815	8476703	8477517	1.7405034918505102	6.289771486909581e-74	1.9854711993677912e-72	297	48	0.1588	252	14	0.0518	498	56	0.1107	327	118	0.3589	493	71	0.1423	37	74	2.0278
XR_013428380.1;XR_013428379.1	LOC120884803	12	-	588	1147532	1148119	2.1120970553985483	9.174403901559011e-72	2.802632417669801e-70	45	49	1.0909	83	63	0.7561	228	102	0.4449	37	147	4.0556	44	84	1.9302	23	75	3.3636
XM_040278363.2	Arl5b	10	-	100	84485914	84486013	2.2036022625783342	4.446586702716678e-70	1.315911752335217e-68	46	80	1.7556	45	79	1.7727	74	154	2.0959	19	197	10.8889	35	190	5.5588	20	264	13.8421
XR_013426952.1	LOC144367503	10	-	502	124927521	124928022	2.113048701200484	1.2718260852880025e-69	3.6497554629325406e-68	31	328	10.9	27	120	4.5769	54	321	6.0377	47	984	21.3696	24	538	23.3478	10	846	93.8889
XM_013364302.4	LOC101956511	12	-	155	2618568	2618722	1.6563788778955721	1.8013662509425594e-69	5.017334822478247e-68	102	144	1.4158	80	105	1.3165	229	334	1.4605	62	227	3.7049	32	187	6.0	53	231	4.4231
XM_005315901.5	Nifk	7	-	152	99640697	99640848	2.7253264845868865	4.626642117016454e-68	1.2518371670898803e-66	29	86	3.0357	8	48	6.7143	99	168	1.7041	16	244	16.2	21	171	8.5	3	260	129.5
XM_005334960.5	Gpatch2	10	-	185	44365990	44366174	2.4803699140206583	1.2650291627634187e-67	3.3277294920471044e-66	31	32	1.0333	20	15	0.7368	104	68	0.6505	39	128	3.3421	37	128	3.5278	16	133	8.8
XM_005317051.5	Rasl11a	6	-	3143	177459561	177462703	2.579697138255098	9.085101749742847e-65	2.3252949613531017e-63	71	11	0.1429	75	16	0.2027	138	32	0.2263	54	51	0.9434	50	27	0.5306	18	71	4.1176
XM_005316737.4	Rplp1	5	-	201	14334643	14334843	1.360422803828775	2.0456672242703205e-64	5.098018056273667e-63	80	97	1.2152	75	112	1.5	203	170	0.8366	206	323	1.5707	134	356	2.6692	35	307	9.0
XM_005330217.5	Atp7b	6	-	406	165140453	165140858	1.8369521962325739	8.015081609251337e-63	1.9462262266566708e-61	127	40	0.3095	74	33	0.4384	305	158	0.5164	77	79	1.0263	87	134	1.5465	16	56	3.6667
