Enhancer_ID	chr	start	end	center	FANTOM5	associated_gene-FANTOM5	associated_gene-50kb	associated_gene-4DGenome	Cell_Tissue	Detection_method	PMID	closest_gene	distance
1	1	10228358	10229597	10228641	N	NA	NA	NA	NA	NA	NA	Sec23ip	174624
2	1	103756872	103758821	103757664	N	NA	Glrx	NA	NA	NA	NA	Glrx	31365
3	1	10563775	10566109	10565082	N	NA	Inpp5f	NA	NA	NA	NA	Inpp5f	29280
4	1	10568509	10569798	10569164	N	NA	Inpp5f	NA	NA	NA	NA	Inpp5f	34014
5	1	107419996	107421379	107420462	N	NA	NA	NA	NA	NA	NA	Fam174a	198906
6	1	114697474	114699890	114698921	N	NA	NA	NA	NA	NA	NA	Fer	150702
7	1	114705579	114706860	114706374	N	NA	NA	NA	NA	NA	NA	Fer	143732
8	1	115532890	115534666	115533796	N	NA	NA	NA	NA	NA	NA	Pja2	97888
9	1	119666738	119669410	119667401	N	NA	Matr3	NA	NA	NA	NA	Matr3	3436
10	1	119912003	119913304	119912758	N	NA	Ube2d2	NA	NA	NA	NA	Ube2d2	26864
11	1	119931314	119932809	119931892	N	NA	Ube2d2	NA	NA	NA	NA	Ube2d2	7359
12	1	121052248	121053592	121053002	N	NA	NA	NA	NA	NA	NA	Zmat2	104137
13	1	123626490	123627854	123626954	N	NA	NA	NA	NA	NA	NA	Nr3c1	58101
14	1	123659499	123660794	123660173	N	NA	NA	NA	NA	NA	NA	Nr3c1	91110
15	1	123798036	123800001	123799529	N	NA	NA	NA	NA	NA	NA	Nr3c1	229647
16	1	123809738	123811367	123810698	N	NA	NA	NA	NA	NA	NA	Nr3c1	241349
17	1	128407307	128408826	128408110	N	NA	NA	NA	NA	NA	NA	Adrb2	63125
18	1	130062496	130064399	130063117	N	NA	Synpo	NA	NA	NA	NA	Synpo	7555
19	1	133984063	133985857	133984653	N	NA	C1H5orf63	NA	NA	NA	NA	C1H5orf63	47054
20	1	134734701	134736553	134735886	N	NA	NA	NA	NA	NA	NA	Gramd2b	99118
21	1	134831835	134833324	134832780	N	NA	NA	NA	NA	NA	NA	Gramd2b	196252
22	1	137162656	137165743	137163354	N	NA	Csnk1g3	NA	NA	NA	NA	Csnk1g3	5907
23	1	137184612	137185778	137185026	N	NA	Csnk1g3	NA	NA	NA	NA	Csnk1g3	27863
24	1	138811996	138814799	138812397,138814173	N,N	NA;NA	NA	NA	NA	NA	NA	Srfbp1	217807
25	1	142568383	142569821	142569305	N	NA	NA	NA	NA	NA	NA	LOC144377411	1025534
26	1	142872461	142873547	142872961	N	NA	NA	NA	NA	NA	NA	Sema6a	1001791
