chr	Gene	Transcript1	Transcript2	TTS_transcript1	TTS_transcript2	Ctrl_max_count	Ctrl_count_transcript1	Ctrl_count_transcript2	Ratio_transcript1_vs_2_in_Ctrl	Case_max_count	Case_count_transcript1	Case_count_transcript2	Ratio_transcript1_vs_2_in_Case	odds_ratio	pvalue	FDR	main_isoform_ctrl	main_isoform_case	isoform_switched
4	Ctsc	XM_078046842.1	XM_078046843.1	74932765	74958583	59.667	35.333	59.667	0.592	66.0	66.0	52.667	1.253	1.9882809567912014	1.154104281938884e-12	4.1086112437024275e-10	transcript2	transcript1	isoform_switched
6	Plekha5	XR_013423044.1	XM_078015181.1	88763001	88947550	41.667	27.0	41.667	0.648	33.0	33.0	21.333	1.547	2.3734881740655007	1.063442245664526e-11	3.6055756138721073e-09	transcript2	transcript1	isoform_switched
3	Hemk1	XM_078043253.1	XM_078043244.1	76218302	76223195	28.0	12.0	28.0	0.429	19.333	19.333	15.0	1.289	2.935674205539895	8.67562824437114e-11	2.4708189239969006e-08	transcript2	transcript1	isoform_switched
2	Egfr	XM_078039717.1	XM_078039720.1	122529664	122573176	124.333	83.333	124.333	0.67	47.333	47.333	41.0	1.154	1.7599988167158767	9.959052984940646e-11	2.7272483558760536e-08	transcript2	transcript1	isoform_switched
3	Zbtb20	XM_078044200.1	XM_040270345.2	152940629	152965332	121.667	121.667	91.333	1.332	69.667	52.0	69.667	0.746	0.6105520090983468	5.301565536223914e-10	1.0485318504976186e-07	transcript1	transcript2	isoform_switched
3	LOC144376351	XR_013436738.1	XR_013436714.1	132820939	132979042	42.333	42.333	14.667	2.886	18.667	13.0	18.667	0.696	0.39608065297781947	2.3475103192522158e-08	3.095235828347366e-06	transcript1	transcript2	isoform_switched
2	Col28a1	XM_078040380.1;XM_078040378.1;XM_078040381.1	XM_078040379.1	196861960	196878279	18.0	18.0	8.667	2.077	25.0	18.333	25.0	0.733	0.41262664324419074	3.144458949500046e-07	3.0669243452657984e-05	transcript1	transcript2	isoform_switched
8	Aig1	XM_021732932.3	XM_040283413.2	22082878	22244159	22.0	13.0	22.0	0.591	29.667	29.667	23.667	1.254	2.124429517118078	5.776001045441108e-07	5.2057123346254034e-05	transcript2	transcript1	isoform_switched
7	Lnpk	XM_005324624.4	XM_005324625.5	143850062	143856288	16.333	16.333	14.667	1.114	16.0	6.667	16.0	0.417	0.3619514229836506	6.152167082797507e-07	5.407830818459043e-05	transcript1	transcript2	isoform_switched
15	Adat1	XM_013365634.4	XM_078032695.1	50550304	50553699	34.0	19.667	34.0	0.578	24.0	24.0	19.667	1.22	2.0165267094775845	8.637147343612249e-07	7.068561963967726e-05	transcript2	transcript1	isoform_switched
8	Rmnd1	XR_013424768.1	XM_021723905.3;XM_005321372.5	14615664	14638676	85.333	85.333	63.667	1.34	45.0	40.0	45.0	0.889	0.6327555661534383	1.8942892162627916e-06	0.00013696816378031985	transcript1	transcript2	isoform_switched
10	Gpatch2	XM_005334960.5	XM_013362693.4	44192623	44344826	17.667	15.0	17.667	0.849	23.333	23.333	12.667	1.842	2.262725592220884	1.9925141285038546e-06	0.00014046238212819253	transcript2	transcript1	isoform_switched
3	Mbtd1	XM_040268981.2	XR_013436125.1	26494289	26508376	42.0	27.0	42.0	0.643	28.0	28.0	22.0	1.273	1.8700275466253942	2.1677607632248117e-06	0.0001498490935355404	transcript2	transcript1	isoform_switched
6	Kansl2	XM_078014772.1	XM_078014769.1	65869948	65872006	62.667	62.667	54.0	1.16	67.333	49.667	67.333	0.738	0.6568479301006273	3.267928624926097e-06	0.00020410220885503342	transcript1	transcript2	isoform_switched
