Transcript	Gene	chr	strand	last_exon_len	last_exon_s	last_exon_e	log2fc	pvalue	FDR	last_exon_SRR13652347	tts_down_50k_SRR13652347	ratio_SRR13652347	last_exon_SRR13652348	tts_down_50k_SRR13652348	ratio_SRR13652348	last_exon_SRR13652349	tts_down_50k_SRR13652349	ratio_SRR13652349	last_exon_SRR13652335	tts_down_50k_SRR13652335	ratio_SRR13652335	last_exon_SRR13652336	tts_down_50k_SRR13652336	ratio_SRR13652336	last_exon_SRR13652337	tts_down_50k_SRR13652337	ratio_SRR13652337
XM_005330779.5	Ppp1r3b	14	-	319	70284829	70285147	-1.216532884208273	9.91163905037018e-109	9.435880375952412e-106	163	1310	8.0802	151	956	6.3667	344	3008	8.7668	109	292	2.6944	208	742	3.5797	195	681	3.5052
XM_078039041.1	Hspb8	2	-	883	81993784	81994666	-1.4468535434179515	3.240094148102193e-86	1.542284814496644e-83	349	164	0.4684	274	153	0.5568	936	286	0.3048	290	50	0.1696	514	70	0.1345	555	86	0.1534
XM_078019529.1	Foxo3	8	-	266	54742577	54742842	-1.2531173815082943	3.0630253613273637e-74	9.7200004799455e-72	86	709	8.3294	82	470	5.7901	236	1439	6.1191	73	299	4.1389	138	317	2.3066	160	394	2.4717
XM_005321369.5	Iyd	8	-	250	15478596	15478845	-1.9055211695818925	1.4865370061908063e-44	3.537958074734119e-42	35	47	1.3529	17	45	2.75	114	434	3.8319	27	17	0.6154	57	47	0.8214	71	41	0.5714
XM_040292152.2	Gc	9	-	152	54006686	54006837	-0.9542533483834859	9.318979311279554e-39	1.7743336608676268e-36	51	367	7.32	80	530	6.6962	91	524	5.8111	101	556	5.55	149	449	3.027	280	709	2.5376
XR_013436216.1	LOC144376121	3	-	91	40565066	40565156	-0.9567948048054393	2.7897245807282186e-34	4.4263630014221065e-32	123	187	1.5246	96	94	0.9789	140	357	2.5612	94	77	0.8172	204	175	0.8571	223	194	0.8694
XR_013434817.1	LOC144375238	2	-	777	90879656	90880432	-1.1319457096696484	1.1756606651872305e-31	1.5988985046546336e-29	66	34	0.5077	97	19	0.1875	270	649	2.4089	118	49	0.4103	131	69	0.5231	138	53	0.3796
XM_040281712.2;XM_005316995.5	Efnb2	6	-	833	194888133	194888965	2.357978854064712	1.9272294282861253e-31	2.2934030196604892e-29	26	13	0.48	23	7	0.2727	33	17	0.5	12	41	3.6364	29	42	1.4643	26	69	2.72
XM_040292523.2	Rbm47	9	-	140	30604570	30604709	-1.2604112067134525	2.640364879113899e-30	2.792919294351591e-28	51	232	4.62	22	123	5.8095	30	382	13.1379	50	127	2.5714	76	210	2.7867	71	220	3.1286
XM_040291572.2	Foxp2	2	-	339	190873793	190874131	-2.5069124896452024	7.45395381995576e-26	7.096164036597883e-24	6	55	10.8	2	30	29.0	10	132	14.5556	14	26	1.9231	15	48	3.3571	33	54	1.6562
XM_013366258.4	LOC101970443	9	-	782	51508291	51509072	-0.8497963690055593	8.77766077490407e-25	7.596666416098794e-23	164	92	0.5583	77	48	0.6184	257	351	1.3672	168	83	0.491	152	96	0.6291	307	119	0.3856
XM_021729706.3	Ugt8	9	-	619	89933480	89934098	-0.9167131338672727	3.3896624348134816e-23	2.689132198285362e-21	109	187	1.7222	61	69	1.1333	123	263	2.1475	82	73	0.8889	126	94	0.744	115	122	1.0614
XR_013428046.1	LOC110599414	11	-	296	104680404	104680699	1.3132340406674192	9.398050596985742e-21	6.882264744869558e-19	58	10	0.1579	130	16	0.1163	387	35	0.0881	143	39	0.2676	113	45	0.3929	221	49	0.2182
