chr	Gene	Transcript1	Transcript2	TSS_transcript1	TSS_transcript2	Ctrl_max_count	Ctrl_count_transcript1	Ctrl_count_transcript2	Ratio_transcript1_vs_2_in_Ctrl	Case_max_count	Case_count_transcript1	Case_count_transcript2	Ratio_transcript1_vs_2_in_Case	odds_ratio	pvalue	FDR	main_isoform_ctrl	main_isoform_case	isoform_switched
5	Ttpal	XM_040275842.2	XM_021727603.3;XM_021727604.3	186282736	186287392	99.667	99.667	34.0	2.931	74.667	19.333	74.667	0.259	0.09909747004268828	3.4547170165698996e-116	4.491132121540869e-113	transcript1	transcript2	isoform_switched
12	Fosl2	XM_078029472.1	XM_005322496.4	99614233	99616922	137.333	11.667	137.333	0.085	16.667	16.667	13.667	1.22	13.463370072293957	1.1265066891932954e-73	3.66114673987821e-71	transcript2	transcript1	isoform_switched
6	Plxnb2	XM_078052292.1;XM_078052291.1	XM_078052294.1	601506	608206	46.0	46.0	39.333	1.17	70.333	7.667	70.333	0.109	0.10135511364020361	5.546400858299782e-63	9.012901394737146e-61	transcript1	transcript2	isoform_switched
6	Plxnb2	XM_078052292.1;XM_078052291.1	XM_078052293.1	601506	608221	46.0	46.0	39.333	1.17	70.333	7.667	70.333	0.109	0.10135511364020361	5.546400858299782e-63	9.012901394737146e-61	transcript1	transcript2	isoform_switched
6	Plxnb2	XM_078052292.1;XM_078052291.1	XM_078052297.1	601506	608261	46.0	46.0	39.333	1.17	70.333	7.667	70.333	0.109	0.10135511364020361	5.546400858299782e-63	9.012901394737146e-61	transcript1	transcript2	isoform_switched
6	Atp7b	XM_040281562.2	XM_005330217.5	165122723	165140858	109.667	36.667	109.667	0.334	50.333	50.333	31.0	1.624	4.809176542272982	7.51346489662006e-51	7.51346489662006e-49	transcript2	transcript1	isoform_switched
5	Tssk4	XR_013439070.1	XR_013439069.1	89525468	89532358	48.667	24.667	48.667	0.507	51.0	51.0	14.667	3.477	6.509026619768903	1.7238289122518424e-47	1.400610991204622e-45	transcript2	transcript1	isoform_switched
11	Pde4dip	XM_078026892.1	XM_078026881.1	98235961	98382395	78.667	78.667	47.333	1.662	63.667	27.667	63.667	0.435	0.24489878472892862	6.068490540567907e-46	4.382798723743488e-44	transcript1	transcript2	isoform_switched
11	Pde4dip	XM_078026858.1;XM_078026893.1;XM_078026857.1;XM_078026856.1;XM_078026866.1;XM_078026859.1;XM_078026855.1	XM_078026881.1	98235976	98382395	78.667	78.667	47.333	1.662	63.667	27.667	63.667	0.435	0.24489878472892862	6.068490540567907e-46	4.382798723743488e-44	transcript1	transcript2	isoform_switched
3	LOC101966248	XM_078042777.1	XM_078042778.1	51470619	51495002	32.667	12.333	32.667	0.378	28.333	28.333	5.333	5.313	11.644219888238037	2.0617166249989452e-41	9.926783749994922e-40	transcript2	transcript1	isoform_switched
3	LOC101966248	XM_078042777.1	XM_078042775.1;XM_078042774.1	51470619	51495003	32.667	12.333	32.667	0.378	28.333	28.333	5.333	5.313	11.644219888238037	2.0617166249989452e-41	9.926783749994922e-40	transcript2	transcript1	isoform_switched
3	LOC101966248	XM_078042777.1	XM_078042779.1	51470619	51494980	32.667	12.333	32.667	0.378	28.333	28.333	5.667	5.0	11.028896093551241	2.4060975610737116e-40	1.0090086546438145e-38	transcript2	transcript1	isoform_switched
3	LOC101966248	XM_078042777.1	XM_078042776.1	51470619	51494985	32.667	12.333	32.667	0.378	28.333	28.333	5.667	5.0	11.028896093551241	2.4060975610737116e-40	1.0090086546438145e-38	transcript2	transcript1	isoform_switched
6	Naga	XM_013364399.4	XM_013364398.4;XM_005338564.5	5955252	5962256	100.333	34.667	100.333	0.346	41.0	41.0	29.667	1.382	4.064319097155503	7.202595201038857e-40	2.926054300422036e-38	transcript2	transcript1	isoform_switched
3	Fam117a	XM_005321689.3	XM_040268907.2	25350438	25369203	81.333	81.333	57.333	1.419	66.333	23.667	66.333	0.357	0.27475585320812695	6.188515999804677e-39	2.2985916570703087e-37	transcript1	transcript2	isoform_switched
3	Fam117a	XM_040268906.2	XM_040268907.2	25350478	25369203	81.333	81.333	57.333	1.419	66.333	23.667	66.333	0.357	0.27475585320812695	6.188515999804677e-39	2.2985916570703087e-37	transcript1	transcript2	isoform_switched
13	Cidea	XM_078030431.1	XM_078030429.1	87779633	87789530	88.333	88.333	56.333	1.568	80.333	34.667	80.333	0.432	0.29039650570349823	9.55347296987356e-39	3.4498652391210076e-37	transcript1	transcript2	isoform_switched
