chr	position	FONTOM5	Enhancer_ID
1	87777	N	86
1	98453	N	89
1	3484953	N	66
1	3485775	N	66
1	3522452	N	67
1	6962634	N	74
1	7115542	N	75
1	10565085	N	2
1	10569079	N	3
1	14553640	N	22
1	14583000	N	22
1	14590655	N	22
1	15579156	N	27
1	15581180	N	27
1	17146542	N	29
1	18242937	N	31
1	18269581	N	35
1	23114713	N	55
1	26730958	N	62
1	30481217	N	63
1	31601610	N	64
1	33081729	N	65
1	35912988	N	68
1	44045130	N	69
1	49585722	N	70
1	50829990	N	71
1	50856088	N	72
1	51047252	N	73
1	71155928	N	76
1	71162110	N	76
1	71670907	N	77
1	74940811	N	78
1	76432350	N	79
1	76441707	N	80
1	78075523	N	81
1	78563597	N	82
1	84723333	N	83
1	84785586	N	84
1	84962311	N	85
1	91198640	N	87
1	91651277	N	88
1	98436626	N	90
1	103757703	N	1
1	107420486	N	4
1	114698870	N	5
1	114706349	N	6
1	115533796	N	7
1	119667405	N	8
1	119912758	N	9
1	119931892	N	10
1	121053020	N	11
1	123626962	N	12
1	137163354	N	13
1	142569293	N	14
1	142872961	N	15
1	142956757	N	16
1	144693717	N	17
1	144994773	N	18
1	144997900	N	19
1	145493346	N	20
1	145498915	N	21
1	151660844	N	23
1	151667225	N	24
1	151672953	N	25
1	151673677	N	25
1	152519053	N	26
1	171180509	N	28
1	178550480	N	30
1	182641974	N	32
1	182649302	N	33
1	182651892	N	34
1	189758467	N	36
1	201146099	N	37
1	204108544	N	38
1	205987541	N	39
1	206601645	N	40
1	209852902	N	41
1	209862560	N	42
1	210208822	N	43
1	210350306	N	44
1	210356191	N	45
1	210385917	N	46
1	210387223	N	46
1	210412105	N	47
1	210428902	N	48
1	210758025	N	49
1	211139472	N	50
1	212355749	N	51
1	212364430	N	52
1	220493171	N	53
1	224166865	N	54
1	224185043	N	54
1	249246948	N	56
1	249252026	N	57
1	250729593	N	58
1	250735845	N	59
1	250744322	N	60
1	257530948	N	61
1	257532544	N	61
10	11380603	N	100
10	11386299	N	101
10	11397261	N	102
10	14167343	N	109
10	14186650	N	110
10	28913375	N	116
10	28967001	N	117
10	29145304	N	118
10	31603228	N	119
10	31605562	N	119
10	31614055	N	120
10	33893071	N	121
10	36111833	N	122
10	39156104	N	123
10	39322537	N	124
10	39329398	N	125
10	39886137	N	126
10	41233304	N	127
10	47527596	N	128
10	47884914	N	129
10	47886742	N	129
10	47889125	N	129
10	49089462	N	130
10	62168144	N	131
10	62181933	N	132
10	62184610	N	132
10	62187444	N	132
10	62197437	N	133
10	62213327	N	134
10	62226148	N	135
10	62232219	N	135
10	62291915	N	136
10	62296650	N	136
10	62300377	N	136
10	62310266	N	137
10	62330778	N	138
10	62354117	N	139
10	62367424	N	139
10	62371464	N	139
10	66509692	N	140
10	69783061	N	141
10	71212453	N	142
10	71450215	N	143
10	71469488	N	144
10	72389943	N	145
10	74099807	N	146
10	76166309	N	147
10	78937739	N	148
10	81351683	N	149
10	81953515	N	150
10	86317470	N	151
10	86331585	N	152
10	88058625	N	153
10	88905854	N	154
10	88943189	N	155
10	92194913	N	156
10	93480350	N	157
10	94976861	N	158
10	96759274	N	159
10	98957299	N	160
10	98970556	N	160
10	98974987	N	160
10	103702356	N	91
10	104724480	N	92
10	107051791	N	93
10	107286910	N	94
10	107343398	N	95
10	109181432	N	96
10	109736139	N	97
10	109738711	N	97
10	111001261	N	98
10	111012519	N	99
10	114723797	N	103
10	116256631	N	104
10	117453212	N	105
10	118377196	N	106
10	118386521	N	107
10	134097180	N	108
10	142652687	N	111
10	142668867	N	112
10	144279518	N	113
10	144284727	N	114
10	144587424	N	115
11	2856155	N	178
11	2877120	N	179
11	2879644	N	179
11	2885277	N	179
11	4794637	N	190
11	4796584	N	190
