Transcript	Gene	chr	strand	last_exon_len	last_exon_s	last_exon_e	log2fc	pvalue	FDR	last_exon_SRR13652347	tts_down_50k_SRR13652347	ratio_SRR13652347	last_exon_SRR13652348	tts_down_50k_SRR13652348	ratio_SRR13652348	last_exon_SRR13652349	tts_down_50k_SRR13652349	ratio_SRR13652349	last_exon_SRR13652341	tts_down_50k_SRR13652341	ratio_SRR13652341	last_exon_SRR13652342	tts_down_50k_SRR13652342	ratio_SRR13652342	last_exon_SRR13652343	tts_down_50k_SRR13652343	ratio_SRR13652343
XM_005331012.3	Tra2b	3	-	211	131165462	131165672	3.1465368273985765	0.0	0.0	225	375	1.6696	292	251	0.8591	791	473	0.5975	447	2645	5.9283	45	1229	27.9091	267	1515	5.6917
XM_005319381.5	Slc25a5	x	-	209	30412922	30413130	4.892338520914755	0.0	0.0	82	24	0.284	50	12	0.2245	156	46	0.2903	41	277	6.9	12	240	21.7273	41	253	6.3
XM_005316737.4	Rplp1	5	-	201	14334643	14334843	3.045338108216195	1.767661627346841e-307	5.079081075909923e-305	80	97	1.2152	75	112	1.5	203	170	0.8366	88	749	8.5977	40	547	14.0	87	599	6.9535
XM_013365175.4	Bcl2l11	12	-	341	32135687	32136027	3.829061411117463	1.0721332365242616e-290	2.3104471247097838e-288	312	28	0.0868	211	9	0.0381	633	58	0.0902	168	143	0.8503	13	76	6.25	121	92	0.7583
XM_005315812.5	Rnd3	7	-	450	121680597	121681046	2.7739067794366528	3.763451099135173e-260	6.488189694909038e-258	151	162	1.0733	118	81	0.6838	362	240	0.662	88	244	2.7931	38	395	10.6486	55	360	6.6481
XM_005325758.5	LOC101976546	9	+	1678	103352050	103353727	-1.8168926491756359	1.688128749510686e-253	2.425278303463686e-251	377	940	2.4973	131	349	2.6769	707	1673	2.3683	371	153	0.4108	214	122	0.5681	274	340	1.2418
XM_013364302.4	LOC101956511	12	-	155	2618568	2618722	4.879418021015278	9.868924495847742e-252	1.215287559345822e-249	102	144	1.4158	80	105	1.3165	229	334	1.4605	8	511	72.8571	6	172	34.2	6	214	42.6
XM_013360965.4	Saraf	14	-	270	71528427	71528696	3.0234186138306023	8.154464791389442e-246	8.786435812722124e-244	117	86	0.7328	158	63	0.3949	423	131	0.3081	84	236	2.8313	19	163	9.0	69	187	2.7353
XR_013424973.1	LOC144366112	8	-	258	52222752	52223009	4.729604269084544	9.059323347346644e-231	8.676818583792009e-229	71	12	0.1571	57	5	0.0714	133	17	0.1212	76	213	2.8267	5	147	36.5	75	137	1.8378
XM_005319542.5;XM_021722472.3;XM_040273800.2	Pik3r1	1	-	227	210331497	210331723	2.597835163062471	4.766956985231359e-223	4.1091169212694316e-221	85	154	1.8214	112	171	1.5315	277	357	1.2899	85	453	5.381	16	512	34.0667	65	510	7.9531
XR_013431108.1	LOC144370958	15	-	6626	60131550	60138175	2.8181032919532325	3.6393592752625094e-222	2.8519342684329847e-220	352	24	0.0655	190	31	0.1587	604	98	0.1609	351	368	1.0486	85	93	1.0952	132	79	0.5954
XR_013436216.1	LOC144376121	3	-	91	40565066	40565156	4.301888817681385	2.0261888127383413e-182	1.4554789638170418e-180	123	187	1.5246	96	94	0.9789	140	357	2.5612	7	305	50.6667	2	183	182.0	12	197	17.8182
XM_013362415.4	Arid5b	1	-	285	58579756	58580040	2.4189100939372357	1.1406889291371357e-177	7.563645053201623e-176	110	67	0.6055	64	54	0.8413	268	61	0.2247	191	474	2.4895	62	257	4.1967	178	268	1.5085
XM_005335148.5;XM_005335147.5;XM_005335141.5;XM_005335140.5	Tle4	4	-	887	133194174	133195060	2.269827706252794	1.747124616286669e-172	1.075729585170792e-170	168	50	0.2934	176	72	0.4057	697	124	0.1767	182	116	0.6354	65	138	2.1406	122	217	1.7851
XM_005316618.5	Aqp9	5	-	346	24101748	24102093	2.6632254418321764	5.1254372989952015e-168	2.945417967822576e-166	170	426	2.5148	54	91	1.6981	293	246	0.839	49	434	9.0208	13	234	19.4167	37	245	6.7778
XM_078029449.1	Ypel5	12	-	113	98131379	98131491	2.6438196209188143	1.4127965654133233e-163	7.611441496164279e-162	105	274	2.625	99	118	1.1939	183	576	3.1593	51	531	10.6	2	326	325.0	42	438	10.6585
