Enhancer_ID	chr	start	end	center	FANTOM5	associated_gene-FANTOM5	associated_gene-50kb	associated_gene-4DGenome	Cell_Tissue	Detection_method	PMID	closest_gene	distance
1	1	10335112	10337220	10335692	N	NA	NA	NA	NA	NA	NA	Sec23ip	67001
2	1	103756872	103758821	103757732	N	NA	Glrx	NA	NA	NA	NA	Glrx	31365
3	1	10563499	10566069	10565090	N	NA	Inpp5f	NA	NA	NA	NA	Inpp5f	29002
4	1	10568571	10569798	10569069	N	NA	Inpp5f	NA	NA	NA	NA	Inpp5f	34074
5	1	107419996	107420922	107420484	N	NA	NA	NA	NA	NA	NA	Fam174a	199363
6	1	114697479	114699890	114698946	N	NA	NA	NA	NA	NA	NA	Fer	150702
7	1	114705757	114706856	114706325	N	NA	NA	NA	NA	NA	NA	Fer	143736
8	1	115532957	115534666	115533781	N	NA	NA	NA	NA	NA	NA	Pja2	97955
9	1	119666738	119669189	119667425	N	NA	Matr3	NA	NA	NA	NA	Matr3	3657
10	1	119912098	119913412	119912758	N	NA	Ube2d2	NA	NA	NA	NA	Ube2d2	26756
11	1	119930673	119932809	119931892	N	NA	Ube2d2	NA	NA	NA	NA	Ube2d2	7359
12	1	121052195	121053510	121052999	N	NA	NA	NA	NA	NA	NA	Zmat2	104084
13	1	123626490	123627471	123626994	N	NA	NA	NA	NA	NA	NA	Nr3c1	58101
14	1	142568383	142569821	142569289	N	NA	NA	NA	NA	NA	NA	LOC144377411	1025534
15	1	144692454	144693867	144693332	N	NA	NA	NA	NA	NA	NA	Cdo1	88721
16	1	144993554	144995893	144994779	N	NA	NA	NA	NA	NA	NA	Fem1c	106983
17	1	144997400	144998716	144997936	N	NA	NA	NA	NA	NA	NA	Fem1c	110829
18	1	145491052	145493998	145491668,145493346	N,N	NA;NA	LOC144366454	NA	NA	NA	NA	LOC144366454	32620
19	1	14551868	14596100	14553640,14582997,14590653	N,N,N	NA;NA;NA	Ablim1,Fhip2a	NA	NA	NA	NA	Fhip2a	44200
20	1	151658884	151660711	151659641	N	NA	LOC144377745,Thoc3	NA	NA	NA	NA	LOC144377745	2479
21	1	151671795	151675510	151672957,151673678	N,N	NA;NA	LOC144377745,Thoc3	NA	NA	NA	NA	LOC144377745	15390
22	1	152518098	152519383	152519063	N	NA	NA	NA	NA	NA	NA	Znf354b	176652
23	1	15577427	15581936	15579170,15581194	N,N	NA;NA	Habp2,LOC144377168	NA	NA	NA	NA	Habp2	7554
24	1	171179839	171181255	171180535	N	NA	Pwwp2a	NA	NA	NA	NA	Pwwp2a	4917
25	1	178550267	178551276	178550480	N	NA	Pank3	NA	NA	NA	NA	Pank3	7731
26	1	182648675	182649868	182649302	N	NA	Cpeb4	NA	NA	NA	NA	Cpeb4	5967
27	1	182651426	182652667	182651891	N	NA	Cpeb4	NA	NA	NA	NA	Cpeb4	3168
28	1	18268900	18270629	18269581	N	NA	NA	NA	NA	NA	NA	Dusp5	79325
29	1	189757728	189759324	189758467	N	NA	LOC101964166	NA	NA	NA	NA	LOC101964166	28201
30	1	201105641	201146577	201146099	N	NA	NA	NA	NA	NA	NA	LOC144364881	5527860
31	1	206558541	206602099	206600923	N	NA	NA	NA	NA	NA	NA	Gtf2h2c	2544202
32	1	210208167	210209585	210208821	N	NA	NA	NA	NA	NA	NA	Pik3r1	122138
33	1	210349697	210350859	210349886,210350328	N,N	NA;NA	Pik3r1	NA	NA	NA	NA	Pik3r1	17974
34	1	210355206	210357001	210356196	N	NA	Pik3r1	NA	NA	NA	NA	Pik3r1	23483
35	1	210385128	210387238	210385906	N	NA	NA	NA	NA	NA	NA	Pik3r1	53405
36	1	210757066	210759639	210758094	N	NA	NA	NA	NA	NA	NA	Pik3r1	425343
37	1	211138942	211140267	211139443	N	NA	NA	NA	NA	NA	NA	Mast4	610738
38	1	212355153	212357136	212355702	N	NA	Erbin	NA	NA	NA	NA	Erbin	2909
39	1	212363547	212365350	212364401	N	NA	Erbin	NA	NA	NA	NA	Erbin	11303
40	1	212389868	212410524	212390464,212391845	N,N	NA;NA	Erbin	NA	NA	NA	NA	Erbin	37624
41	1	220492707	220493459	220493171	N	NA	NA	NA	NA	NA	NA	Map3k1	301300
42	1	224182903	224186563	224185355	N	NA	NA	NA	NA	NA	NA	Itga1,Pelo	566268
43	1	23113872	23115405	23114631	N	NA	NA	NA	NA	NA	NA	Gsto1	205766
44	1	244172370	244173191	244172841	N	NA	NA	NA	NA	NA	NA	Nipbl	114055
45	1	249229593	249233612	249231981	N	NA	LOC120885840,Selenop	NA	NA	NA	NA	LOC120885840	2255
46	1	249234919	249237692	249236264	N	NA	LOC120885840,Selenop	NA	NA	NA	NA	LOC120885840	7581
47	1	249245574	249248385	249246255	N	NA	LOC120885840	NA	NA	NA	NA	LOC120885840	18236
48	1	249250984	249253447	249252053	N	NA	LOC120885840	NA	NA	NA	NA	LOC120885840	23646
49	1	250728616	250730369	250729575	N	NA	NA	NA	NA	NA	NA	Ankh	135012
50	1	250743401	250744176	250743616	N	NA	NA	NA	NA	NA	NA	Ankh	121205
51	1	257531087	257532954	257532544	N	NA	NA	NA	NA	NA	NA	Tent4a	392026
52	1	30480948	30481829	30481217	N	NA	NA	NA	NA	NA	NA	Ccnj	104303
