chr	start	end	strand
1	14553173	14595401	+
1	201101012	201146342	-
1	206558541	206602456	-
10	98956260	98974926	-
10	109736215	109747831	+
11	2864081	2879690	-
11	4794723	4810415	+
11	13203364	13214789	-
11	96007074	96080796	+
12	106814015	106826945	+
12	117058947	117072107	+
13	17390005	17403269	+
13	23810513	23824007	-
13	23857829	23868554	+
14	10443833	10455607	-
15	36743608	36760214	+
16	36785835	36798769	+
16	52132293	52144311	-
2	58775112	58845089	+
2	84061698	84089159	+
2	148558771	148580941	-
3	26256493	26279079	-
3	139696122	139765932	-
3	204676335	204699416	+
3	214153045	214163282	-
4	55958096	55978342	-
4	55977722	55994023	+
4	141307666	141332185	-
4	141343218	141359001	-
4	162834035	162876714	-
4	207685701	207699772	+
5	16450030	16461690	+
5	64336438	64355548	+
5	120448069	120468094	-
6	45666802	45687764	-
6	131379221	131420606	-
6	199236546	199249708	+
7	12273331	12289102	-
8	114402409	114412513	+
9	18416508	18445179	-
9	39188918	39210554	-
nw_027520944.1	90887	138639	+
nw_027520944.1	154142	171761	-
nw_027520944.1	198114	214098	-
nw_027520944.1	213518	232678	+
nw_027520960.1	99901	134580	-
nw_027520961.1	213078	253848	+
nw_027520962.1	301953	329575	-
nw_027520990.1	732259	744095	-
nw_027521049.1	408856	429998	-
nw_027521144.1	51346	62690	-
nw_027521144.1	70905	89408	-
nw_027521300.1	158639	186011	+
nw_027521300.1	170420	202645	-
nw_027521401.1	188921	252637	+
nw_027522074.1	314097	340915	+
nw_027522124.1	17044	32077	+
nw_027522274.1	392442	410066	+
nw_027522374.1	153307	180353	+
nw_027522423.1	265558	308518	+
nw_027522565.1	157936	190004	+
nw_027522627.1	23563	40731	-
nw_027522720.1	1569361	1591472	+
nw_027522720.1	2591181	2616913	+
nw_027522803.1	40462	65655	-
nw_027522888.1	230420	271665	-
nw_027522939.1	4856	16023	-
nw_027522939.1	24101	54195	-
nw_027522939.1	65023	75879	+
nw_027523079.1	145600	166824	-
nw_027523264.1	1017996	1042745	+
nw_027523416.1	1370433	1397456	-
nw_027523678.1	72863	86970	-
nw_027523678.1	111294	122982	-
nw_027523678.1	127477	163552	+
nw_027524086.1	137324	165985	-
nw_027524440.1	581485	608731	+
nw_027524982.1	409549	424450	-
nw_027525482.1	6462	19064	-
nw_027526142.1	59608	87909	+
nw_027526147.1	276573	298458	-
nw_027526179.1	359516	423622	+
