chr	start	end	strand
1	14553169	14595407	+
1	201105641	201146342	-
1	206558541	206602456	-
1	212390451	212422281	+
1	224151876	224187288	-
10	62358454	62372988	-
10	98956609	98968613	-
10	109735216	109756839	+
11	4794617	4810418	+
11	96007074	96033774	+
12	106814015	106826957	+
12	115554913	115565201	-
12	117058947	117072107	+
13	16561388	16573783	-
13	23812570	23824536	-
13	23857811	23868554	+
14	10444193	10455607	-
15	30627271	30641027	+
15	36743573	36758548	+
16	51857399	51867670	+
16	52132293	52144370	-
2	58775089	58844639	+
2	148564991	148580969	-
2	229072106	229086940	+
3	180478421	180502079	-
3	204686311	204697529	+
3	214153198	214163282	-
4	55961329	55978331	-
4	55978152	55992912	+
4	141307998	141332204	-
4	141347217	141359001	-
4	162837207	162876728	-
4	207671619	207682595	-
4	207685641	207696596	+
5	120454752	120468094	-
6	24762562	24773856	+
6	131376356	131420606	-
7	12273331	12289051	-
7	192807325	192822641	+
8	102753538	102771353	+
9	18421430	18445179	-
9	39192407	39210563	-
9	51694582	51704664	+
9	58265767	58283138	-
9	142043814	142056964	+
nw_027520944.1	90890	133681	+
nw_027520944.1	158806	171766	-
nw_027520944.1	213475	231172	+
nw_027520953.1	171013	213655	-
nw_027520961.1	213088	252449	+
nw_027521046.1	98400	120012	-
nw_027521049.1	408451	430008	-
nw_027521144.1	48632	62679	-
nw_027521300.1	158542	185085	+
nw_027521300.1	175502	202680	-
nw_027521353.1	235236	254357	+
nw_027521401.1	188914	231118	+
nw_027521478.1	225429	246241	+
nw_027521924.1	127825	148886	-
nw_027521991.1	211412	232231	+
nw_027522074.1	314058	334897	+
nw_027522124.1	17044	30578	+
nw_027522374.1	153307	175244	+
nw_027522423.1	265564	291250	+
nw_027522565.1	157936	188176	+
nw_027522627.1	22363	40747	-
nw_027522720.1	1243967	1258778	+
nw_027522720.1	1569368	1589486	+
nw_027522720.1	2591143	2611780	+
nw_027522803.1	40462	62439	-
nw_027522939.1	1216	16031	-
nw_027522939.1	65024	75341	+
nw_027522984.1	14502	35092	+
nw_027523079.1	149553	166825	-
nw_027523264.1	1018013	1041655	+
nw_027523416.1	1375459	1397465	-
nw_027523678.1	110955	123140	-
nw_027523678.1	127456	160238	+
nw_027523806.1	7824	40506	-
nw_027524086.1	155240	165985	-
nw_027524440.1	581425	602450	+
nw_027524982.1	409527	424450	-
nw_027526100.1	937628	958612	-
nw_027526147.1	276771	298458	-
nw_027526179.1	359528	420009	+
