chr	start	end	strand
1	14553169	14596100	+
1	201105641	201146342	-
1	206558541	206602456	-
1	212390451	212410524	+
10	28954815	28967813	-
10	33886825	33896919	-
10	98952269	98974927	-
10	109735089	109748173	+
11	4794727	4810455	+
11	13203549	13214789	-
11	96007074	96080761	+
12	106814015	106827009	+
12	113017045	113028000	+
12	115554395	115565201	-
12	117058947	117072107	+
13	16561343	16571538	-
13	17390005	17402825	+
13	23809795	23824010	-
13	23857829	23868554	+
14	10443785	10455607	-
15	36743608	36760746	+
16	37099404	37109727	-
16	52132293	52144311	-
2	58775075	58888047	+
2	84061698	84090151	+
2	148559983	148580907	-
3	26256493	26279079	-
3	139702179	139765483	-
3	204676335	204686456	+
3	204686312	204699426	+
4	55958096	55978342	-
4	141307624	141332204	-
4	141343218	141359001	-
4	162836256	162876722	-
4	207685701	207699822	+
5	64336378	64349089	+
5	64361863	64373235	+
6	25435984	25446702	-
6	45666761	45687764	-
6	131379221	131420606	-
6	199236517	199249582	+
7	12274889	12289097	-
9	18416551	18445179	-
9	39190416	39210556	-
9	51535489	51555402	+
nw_027520944.1	90891	133681	+
nw_027520944.1	155632	171792	-
nw_027520944.1	199812	214098	-
nw_027520944.1	213498	232122	+
nw_027520953.1	171013	213656	-
nw_027520953.1	252904	324184	-
nw_027520960.1	99901	134578	-
nw_027520961.1	213078	253639	+
nw_027520962.1	288020	329575	-
nw_027520962.1	858241	891945	-
nw_027520965.1	258588	302733	-
nw_027520990.1	727637	743995	-
nw_027521049.1	408404	429998	-
nw_027521117.1	73179	111559	-
nw_027521144.1	51419	62679	-
nw_027521170.1	384691	397021	-
nw_027521246.1	97528	137868	+
nw_027521300.1	157424	185483	+
nw_027521300.1	171255	202616	-
nw_027521325.1	299772	320341	+
nw_027521401.1	188930	252485	+
nw_027522124.1	17044	31986	+
nw_027522274.1	395253	408286	+
nw_027522374.1	153307	175364	+
nw_027522423.1	265565	308518	+
nw_027522565.1	157936	188408	+
nw_027522565.1	259151	280474	+
nw_027522568.1	23713	63717	+
nw_027522592.1	95149	138190	-
nw_027522720.1	1569361	1591379	+
nw_027522720.1	2591181	2611912	+
nw_027522803.1	40169	65679	-
nw_027522831.1	25453	38893	+
nw_027522888.1	229435	271660	-
nw_027522939.1	4856	16031	-
nw_027522939.1	25035	54193	-
nw_027522939.1	65023	76707	+
nw_027522943.1	14073	40965	+
nw_027522984.1	14502	35770	+
nw_027523264.1	1017985	1042419	+
nw_027523416.1	1375455	1397456	-
nw_027523660.1	1693027	1752065	+
nw_027523678.1	100644	123046	-
nw_027523917.1	55784	78489	-
nw_027523944.1	76720	90147	-
nw_027524086.1	134959	165985	-
nw_027524096.1	71772	108194	+
nw_027524123.1	108627	125386	-
nw_027524175.1	1500877	1512248	-
nw_027524315.1	236159	275348	+
nw_027524348.1	896153	909412	-
nw_027524440.1	581481	603178	+
nw_027524451.1	34381	71436	-
nw_027524982.1	409451	424450	-
nw_027525482.1	5788	19064	-
nw_027526147.1	276960	298458	-
nw_027526179.1	359526	423661	+
