chr	Gene	Transcript1	Transcript2	TTS_transcript1	TTS_transcript2	Ctrl_max_count	Ctrl_count_transcript1	Ctrl_count_transcript2	Ratio_transcript1_vs_2_in_Ctrl	Case_max_count	Case_count_transcript1	Case_count_transcript2	Ratio_transcript1_vs_2_in_Case	odds_ratio	pvalue	FDR	main_isoform_ctrl	main_isoform_case	isoform_switched
3	LOC101966831	XM_078042772.1	XM_021731329.3	51508540	51520941	267.333	55.667	267.333	0.208	97.333	97.333	37.0	2.631	12.700924379371104	6.712052522005257e-233	4.7789813956677425e-229	transcript2	transcript1	isoform_switched
1	Cyp2e1	XM_040273494.2	XM_078023636.1	136446	141285	1700.333	666.0	1700.333	0.392	329.0	329.0	301.667	1.091	2.898628278559724	1.3585411004156118e-231	4.8364063174795774e-228	transcript2	transcript1	isoform_switched
5	Sord	XM_040274755.2	XM_005316517.5	35636214	35641694	277.333	108.667	277.333	0.392	274.667	274.667	126.0	2.18	5.443472369719788	4.608282710045476e-202	1.0936990965174596e-198	transcript2	transcript1	isoform_switched
4	Crebzf	XM_078046803.1;XM_078046801.1;XM_078046800.1;XM_078046791.1;XM_078046796.1;XM_078046790.1;XM_078046802.1;XM_078046798.1;XM_078046797.1;XM_078046792.1;XM_078046799.1;XM_078046795.1;XM_078046794.1;XM_078046789.1;XM_078046787.1;XM_078046810.1;XM_078046808.1;XM_078046806.1;XM_078046809.1;XM_078046807.1;XM_078046805.1	XM_078046788.1	72800578	72814669	71.333	26.333	71.333	0.369	176.0	176.0	30.333	5.802	15.121308561523989	8.5782402442097e-181	1.0179511756462179e-177	transcript2	transcript1	isoform_switched
4	Cry2	XM_005330030.5;XM_021729638.3	XR_013437590.1	20787722	20800023	136.667	136.667	33.0	4.141	102.333	33.667	102.333	0.329	0.08271550438813523	6.248632400891965e-149	6.355751813478684e-146	transcript1	transcript2	isoform_switched
12	Ppm1b	XM_078029277.1	XM_021725861.3	86373948	86385513	157.333	108.333	157.333	0.689	179.667	179.667	66.333	2.709	4.2109196171048415	1.2292825116851066e-103	7.956810439270871e-101	transcript2	transcript1	isoform_switched
2	Atxn2	XM_078039151.1;XM_078039155.1;XM_078039152.1;XM_078039153.1;XM_078039154.1;XM_078039156.1;XM_078039160.1	XR_013434812.1	90409621	90437634	55.667	55.667	3.333	16.702	63.333	32.333	63.333	0.511	0.037250393829101086	9.999689835911585e-89	4.7465194421126995e-86	transcript1	transcript2	isoform_switched
3	Son	XM_078044566.1	XM_078044563.1	206344008	206360155	135.333	70.667	135.333	0.522	199.0	199.0	105.667	1.883	3.238740104597354	4.576497705729513e-75	1.6292331832397067e-72	transcript2	transcript1	isoform_switched
x	LOC144371774	XR_013431882.1	XR_013431880.1	93504710	93683313	41.0	41.0	4.333	9.462	21.333	3.333	21.333	0.156	0.01875535084690755	2.1153011207751145e-73	6.845883627235825e-71	transcript1	transcript2	isoform_switched
15	Slc38a7	XM_040279294.2	XM_040279293.2;XM_005318255.5	36685805	36688638	111.667	44.667	111.667	0.4	94.333	94.333	65.0	1.451	4.24964889994442	1.3613926124434935e-68	4.038798083582364e-66	transcript2	transcript1	isoform_switched
