Enhancer_ID	chr	start	end	center	FANTOM5	associated_gene-FANTOM5	associated_gene-50kb	associated_gene-4DGenome	Cell_Tissue	Detection_method	PMID	closest_gene	distance
1	1	103756846	103758821	103757655	N	NA	Glrx	NA	NA	NA	NA	Glrx	31339
2	1	10563775	10566069	10565090	N	NA	NA	NA	NA	NA	NA	Bag3	80932
3	1	10568571	10569798	10569111	N	NA	NA	NA	NA	NA	NA	Bag3	77203
4	1	114697479	114699890	114698956	N	NA	NA	NA	NA	NA	NA	Fbxl17	180500
5	1	114705757	114706856	114706326	N	NA	NA	NA	NA	NA	NA	Fbxl17	188778
6	1	11736715	11738158	11737306	N	NA	NA	NA	NA	NA	NA	LOC101974165	335405
7	1	119666738	119669689	119667420	N	NA	Matr3	NA	NA	NA	NA	Matr3	3157
8	1	119912098	119913780	119912738	N	NA	Ube2d2	NA	NA	NA	NA	Ube2d2	26388
9	1	119928616	119932809	119931891	N	NA	Ube2d2	NA	NA	NA	NA	Ube2d2	7359
10	1	120505103	120506042	120505479	N	NA	NA	NA	NA	NA	NA	Igip	63329
11	1	121052390	121053510	121053005	N	NA	NA	NA	NA	NA	NA	Hars1	112225
12	1	123626325	123627475	123626961	N	NA	NA	NA	NA	NA	NA	Nr3c1	57936
13	1	137162771	137166594	137163351	N	NA	Csnk1g3	NA	NA	NA	NA	Csnk1g3	6024
14	1	142568383	142569821	142569277	N	NA	NA	NA	NA	NA	NA	Dmxl1	1115595
15	1	144692623	144694950	144693685	N	NA	NA	NA	NA	NA	NA	Cdo1	88890
16	1	144993554	144995893	144994786	N	NA	NA	NA	NA	NA	NA	Fem1c	106983
17	1	144997400	144998716	144998054	N	NA	NA	NA	NA	NA	NA	Fem1c	110829
18	1	145491052	145493998	145491619,145493346	N,N	NA;NA	NA	NA	NA	NA	NA	LOC144377453	230780
19	1	145522307	145523805	145522785	N	NA	NA	NA	NA	NA	NA	LOC144377453	200973
20	1	14552609	14595401	14553624,14583000,14590654	N,N,N	NA;NA;NA	Ablim1,Fhip2a	NA	NA	NA	NA	Fhip2a	44941
21	1	151671795	151675510	151672978,151673690	N,N	NA;NA	Thoc3	NA	NA	NA	NA	Thoc3	46759
22	1	152518098	152519634	152519065	N	NA	NA	NA	NA	NA	NA	LOC101959387	578268
23	1	15577427	15581936	15579175,15581180	N,N	NA;NA	LOC144377168	NA	NA	NA	NA	LOC144377168	19271
24	1	178550272	178551276	178550508	N	NA	Pank3	NA	NA	NA	NA	Pank3	7736
25	1	182648675	182649868	182649302	N	NA	Cpeb4	NA	NA	NA	NA	Cpeb4	5967
26	1	182651426	182652667	182651890	N	NA	Cpeb4	NA	NA	NA	NA	Cpeb4	3168
27	1	18268900	18270629	18269587	N	NA	NA	NA	NA	NA	NA	Smndc1	81651
28	1	201101012	201146577	201146099	N	NA	NA	NA	NA	NA	NA	Gtf2h2c	7999724
29	1	206558541	206602099	206600826	N	NA	NA	NA	NA	NA	NA	Gtf2h2c	2544202
30	1	210349697	210350859	210350330	N	NA	Pik3r1	NA	NA	NA	NA	Pik3r1	17974
31	1	210355206	210357001	210356196	N	NA	Pik3r1	NA	NA	NA	NA	Pik3r1	23483
32	1	210385128	210387238	210385917	N	NA	NA	NA	NA	NA	NA	Pik3r1	53405
33	1	210757066	210759597	210757999	N	NA	NA	NA	NA	NA	NA	Pik3r1	425343
34	1	211127107	211129142	211128250	N	NA	NA	NA	NA	NA	NA	Mast4	621863
35	1	211139060	211140267	211139382	N	NA	NA	NA	NA	NA	NA	Mast4	610738
36	1	212354828	212359754	212355702	N	NA	Erbin	NA	NA	NA	NA	Erbin	2584
