chr	Gene	Transcript1	Transcript2	TSS_transcript1	TSS_transcript2	Ctrl_max_count	Ctrl_count_transcript1	Ctrl_count_transcript2	Ratio_transcript1_vs_2_in_Ctrl	Case_max_count	Case_count_transcript1	Case_count_transcript2	Ratio_transcript1_vs_2_in_Case	odds_ratio	pvalue	FDR	main_isoform_ctrl	main_isoform_case	isoform_switched
5	Ttpal	XM_040275842.2	XM_021727603.3;XM_021727604.3	186282736	186287392	99.667	99.667	34.0	2.931	111.667	16.667	111.667	0.149	0.0510568476099626	3.3926803755096436e-191	4.444411291917633e-188	transcript1	transcript2	isoform_switched
5	Ttpal	XM_040275842.2	XM_078051849.1;XM_078051848.1	186282736	186287391	99.667	99.667	34.333	2.903	111.667	16.667	111.667	0.149	0.051588756247302775	2.683757856147369e-190	1.171907597184351e-187	transcript1	transcript2	isoform_switched
6	Atp7b	XM_040281562.2	XM_005330217.5	165122723	165140858	109.667	36.667	109.667	0.334	126.333	126.333	84.0	1.504	4.1427171934823	8.6982149665755e-70	1.8991102677023172e-67	transcript2	transcript1	isoform_switched
1	Matr3	XM_078046036.1	XM_013359556.4;XM_013359560.4;XM_005327264.5	119672846	119685206	135.333	135.333	54.667	2.476	77.333	51.0	77.333	0.659	0.27284546813526356	1.3483650406803226e-55	1.7663582032912225e-53	transcript1	transcript2	isoform_switched
1	Mbl2	XM_078041991.1;XM_078042002.1	XM_078042006.1	67086197	67100126	326.333	326.333	17.333	18.827	13.667	12.333	13.667	0.902	0.1579458047282127	3.659056247592281e-33	3.4238312031042056e-31	transcript1	transcript2	isoform_switched
3	LOC101966248	XM_021731318.3;XM_040269311.2	XM_078042779.1	51471785	51494980	32.667	16.333	32.667	0.5	19.0	19.0	6.0	3.167	5.9971697141936255	5.981175776117858e-21	1.9588350666785984e-19	transcript2	transcript1	isoform_switched
3	LOC101966248	XM_021731318.3;XM_040269311.2	XM_078042776.1	51471785	51494985	32.667	16.333	32.667	0.5	19.0	19.0	6.0	3.167	5.9971697141936255	5.981175776117858e-21	1.9588350666785984e-19	transcript2	transcript1	isoform_switched
3	LOC101966248	XM_021731318.3;XM_040269311.2	XM_078042778.1	51471785	51495002	32.667	16.333	32.667	0.5	19.0	19.0	6.0	3.167	5.9971697141936255	5.981175776117858e-21	1.9588350666785984e-19	transcript2	transcript1	isoform_switched
3	LOC101966248	XM_021731318.3;XM_040269311.2	XM_078042775.1;XM_078042774.1	51471785	51495003	32.667	16.333	32.667	0.5	19.0	19.0	6.0	3.167	5.9971697141936255	5.981175776117858e-21	1.9588350666785984e-19	transcript2	transcript1	isoform_switched
3	Fetub	XM_078043825.1	XM_078043826.1	131804622	131808087	26.667	26.667	17.667	1.509	26.333	7.333	26.333	0.278	0.19909083133567565	3.8872663739052957e-20	1.1842602208874271e-18	transcript1	transcript2	isoform_switched
11	Pafah2	XM_013364228.4	XM_078025639.1	17488228	17501907	71.667	33.667	71.667	0.47	49.667	49.667	47.0	1.057	2.483662293762356	1.6786205256024086e-19	4.6787082734875644e-18	transcript2	transcript1	isoform_switched
11	Pafah2	XM_005317628.5	XM_078025639.1	17488263	17501907	71.667	33.667	71.667	0.47	49.667	49.667	47.0	1.057	2.483662293762356	1.6786205256024086e-19	4.6787082734875644e-18	transcript2	transcript1	isoform_switched
