chr	start	end	strand
1	3522361	3545027	+
1	14553169	14596043	+
1	50829653	50840743	+
1	201100539	201146342	-
1	206552341	206602464	-
1	224151876	224187323	-
10	62352895	62372965	-
10	81341462	81352066	-
10	98955053	98974881	-
10	109735239	109758835	+
11	4794739	4810331	+
11	96007073	96082934	+
12	106814014	106826718	+
12	113015448	113031864	+
12	117058947	117072107	+
13	16561478	16573778	-
13	23812624	23824010	-
13	23857812	23868653	+
13	46908447	46918871	+
14	70223797	70245679	-
15	36743580	36759012	+
16	36786274	36796508	+
16	52132552	52144314	-
2	58775097	58957080	+
2	68525567	68539628	-
2	84061698	84090919	+
2	148561414	148580944	-
2	150337601	150354160	+
3	8921953	8936124	-
3	44589820	44630127	+
3	48700628	48715916	-
3	139696122	139765483	-
3	204686311	204696764	+
3	214161600	214172576	+
4	55960819	55978342	-
4	55977722	55993273	+
4	141308070	141332184	-
4	141343218	141358977	-
4	162836768	162876740	-
4	207668308	207688818	-
4	207685703	207696391	+
5	64336315	64361749	+
5	64361863	64372738	+
5	120433211	120446584	-
5	120454138	120468102	-
6	24762648	24776851	+
6	25435694	25446704	-
6	67461457	67471604	-
6	131379221	131420566	-
7	12271580	12289093	-
7	66256675	66276334	+
7	192807330	192822598	+
8	102753491	102768854	+
8	147303729	147314699	-
8	148287280	148297509	-
9	18416680	18445179	-
9	39192540	39210559	-
9	103608834	103618998	-
9	142043796	142057258	+
nw_027520944.1	90897	133681	+
nw_027520944.1	158747	171780	-
nw_027520944.1	213475	230568	+
nw_027520961.1	56210	91616	+
nw_027520961.1	213113	253052	+
nw_027520962.1	288231	329574	-
nw_027520962.1	829076	892064	-
nw_027520965.1	258806	302739	-
nw_027520990.1	727242	743996	-
nw_027521049.1	408859	429953	-
nw_027521117.1	74848	111561	-
nw_027521144.1	51395	62700	-
nw_027521144.1	73082	89413	-
nw_027521246.1	97506	168786	+
nw_027521300.1	158532	185085	+
nw_027521300.1	174289	202622	-
nw_027521325.1	299687	319017	+
nw_027521339.1	30701	60988	+
nw_027521401.1	188889	252487	+
nw_027521478.1	225502	246440	+
nw_027521924.1	127889	148884	-
nw_027521991.1	211427	232231	+
nw_027522074.1	314076	334897	+
nw_027522124.1	17052	32072	+
nw_027522274.1	388524	408444	+
nw_027522374.1	153262	175364	+
nw_027522423.1	265565	308518	+
nw_027522565.1	157924	188176	+
nw_027522568.1	23741	61661	+
nw_027522592.1	99989	138190	-
nw_027522627.1	10905	40739	-
nw_027522720.1	1569338	1591478	+
nw_027522720.1	2591169	2612024	+
nw_027522803.1	16604	65739	-
nw_027522873.1	102468	140092	+
nw_027522888.1	230268	271653	-
nw_027522939.1	4726	16031	-
nw_027522939.1	24011	54205	-
nw_027522939.1	65023	75411	+
nw_027522943.1	14582	39583	+
nw_027522984.1	14503	35330	+
nw_027523079.1	145543	166827	-
nw_027523264.1	1018013	1042331	+
nw_027523416.1	1375554	1397456	-
nw_027523660.1	1693027	1706721	+
nw_027523678.1	73209	86960	-
nw_027523678.1	112411	122973	-
nw_027523678.1	127482	160598	+
nw_027523806.1	2722	40561	-
nw_027524086.1	137256	166008	-
nw_027524096.1	68841	108170	+
nw_027524175.1	1490023	1512248	-
nw_027524315.1	236159	274648	+
nw_027524440.1	581478	602450	+
nw_027524451.1	37411	74394	-
nw_027524982.1	409549	424450	-
nw_027526045.1	515022	542292	+
nw_027526100.1	937845	958611	-
nw_027526147.1	276884	298468	-
nw_027526147.1	601143	612348	-
nw_027526179.1	359719	420100	+
