chr	position	FONTOM5	Enhancer_ID
1	89001	N	117
1	97918	N	120
1	3484949	N	88
1	3485784	N	88
1	3522419	N	89
1	6962593	N	99
1	8289630	N	112
1	10228641	N	1
1	10565082	N	3
1	10569164	N	4
1	14553675	N	35
1	14580844	N	35
1	14583000	N	35
1	14590653	N	35
1	15579152	N	40
1	15581194	N	40
1	18242934	N	44
1	18248058	N	45
1	18269578	N	49
1	23114717	N	74
1	26730941	N	82
1	29299341	N	83
1	30481223	N	84
1	31100090	N	85
1	31601560	N	86
1	33080985	N	87
1	35913068	N	90
1	36432919	N	91
1	43972194	N	92
1	44044411	N	93
1	44046180	N	93
1	49585712	N	94
1	50829927	N	95
1	50856094	N	96
1	51047252	N	97
1	69292864	N	98
1	71162150	N	100
1	71670933	N	101
1	74940811	N	102
1	76168884	N	103
1	76399174	N	104
1	76432343	N	105
1	76441712	N	106
1	76549721	N	107
1	76556006	N	108
1	77238718	N	109
1	78075584	N	110
1	78563882	N	111
1	83837242	N	113
1	84723353	N	114
1	84785574	N	115
1	84962340	N	116
1	91198639	N	118
1	91200728	N	118
1	91651278	N	119
1	98436641	N	121
1	99746691	N	122
1	103757664	N	2
1	107420462	N	5
1	114698921	N	6
1	114706374	N	7
1	115533796	N	8
1	119667401	N	9
1	119912758	N	10
1	119931892	N	11
1	121053002	N	12
1	123626954	N	13
1	123660173	N	14
1	123799529	N	15
1	123810698	N	16
1	128408110	N	17
1	130063117	N	18
1	133984653	N	19
1	134735886	N	20
1	134832780	N	21
1	137163354	N	22
1	137185026	N	23
1	138812397	N	24
1	138814173	N	24
1	142569305	N	25
1	142872961	N	26
1	144650451	N	27
1	144684196	N	28
1	144693332	N	29
1	144994789	N	30
1	144998055	N	31
1	145067209	N	32
1	145491626	N	33
1	145493316	N	33
1	145498884	N	34
1	151660213	N	36
1	151667015	N	37
1	151672941	N	38
1	151674429	N	38
1	152519053	N	39
1	169300315	N	41
1	171180495	N	42
1	178550526	N	43
1	182641957	N	46
1	182649292	N	47
1	182651892	N	48
1	189758472	N	50
1	201146099	N	51
1	204108548	N	52
1	205987542	N	53
1	206600826	N	54
1	209852892	N	55
1	209862491	N	56
1	210208832	N	57
1	210350330	N	58
1	210356181	N	59
1	210385911	N	60
1	210387237	N	60
1	210409815	N	61
1	210412113	N	62
1	210428892	N	63
1	210758027	N	64
1	211127930	N	65
1	211139432	N	66
1	211839416	N	67
1	212355749	N	68
1	212364431	N	69
1	212390451	N	70
1	218747481	N	71
1	220492866	N	72
1	224185043	N	73
1	249231999	N	75
1	249236264	N	76
1	249239585	N	76
1	249246970	N	77
1	249252043	N	78
1	250729572	N	79
1	250735874	N	80
1	257530956	N	81
1	257532545	N	81
10	3799872	N	158
10	11380591	N	132
10	11386289	N	133
10	11388744	N	133
10	11397262	N	134
10	14143039	N	141
10	14146626	N	142
10	14167137	N	143
10	14186638	N	144
10	28885713	N	150
10	28913363	N	151
10	28963770	N	152
10	28967033	N	152
10	29145279	N	153
10	31603234	N	154
10	31605534	N	154
10	31614007	N	155
10	33893581	N	156
10	36111863	N	157
10	39156104	N	159
10	39329443	N	160
10	39883604	N	161
10	39886137	N	162
10	41233301	N	163
10	41237921	N	164
10	41242149	N	164
10	47527613	N	165
10	47884879	N	166
10	47886351	N	166
10	47889201	N	167
10	49089455	N	168
10	50618971	N	169
10	51659602	N	170
10	62168145	N	171
10	62181917	N	172
10	62186533	N	172
10	62188540	N	172
10	62226142	N	173
