Transcript	Gene	chr	strand	last_exon_len	last_exon_s	last_exon_e	log2fc	pvalue	FDR	last_exon_SRR13652347	tts_down_50k_SRR13652347	ratio_SRR13652347	last_exon_SRR13652348	tts_down_50k_SRR13652348	ratio_SRR13652348	last_exon_SRR13652349	tts_down_50k_SRR13652349	ratio_SRR13652349	last_exon_SRR13652344	tts_down_50k_SRR13652344	ratio_SRR13652344	last_exon_SRR13652345	tts_down_50k_SRR13652345	ratio_SRR13652345	last_exon_SRR13652346	tts_down_50k_SRR13652346	ratio_SRR13652346
XM_005331012.3	Tra2b	3	-	211	131165462	131165672	2.852123137355943	0.0	0.0	225	375	1.6696	292	251	0.8591	791	473	0.5975	263	2094	7.9885	8	349	49.7143	446	1674	3.7596
XM_005329444.4	Slc30a1	10	-	1245	39026554	39027798	4.20649090012794	0.0	0.0	135	97	0.7164	74	33	0.4384	304	173	0.5677	67	506	7.6515	3	116	57.5	51	602	12.02
XM_005315812.5	Rnd3	7	-	450	121680597	121681046	3.3439485615353552	2.525430085226065e-309	5.135041173292998e-307	151	162	1.0733	118	81	0.6838	362	240	0.662	60	363	6.1356	7	201	33.3333	65	422	6.5781
XM_013365175.4	Bcl2l11	12	-	341	32135687	32136027	3.541312385381069	1.2106248950454333e-213	1.8462029649442858e-211	312	28	0.0868	211	9	0.0381	633	58	0.0902	113	89	0.7857	4	32	10.3333	167	120	0.7169
XM_005325758.5	LOC101976546	9	+	1678	103352050	103353727	-1.6989888940587408	1.0785522361959706e-207	1.315833728159084e-205	377	940	2.4973	131	349	2.6769	707	1673	2.3683	334	307	0.9189	146	40	0.269	299	270	0.9027
XM_078029449.1	Ypel5	12	-	113	98131379	98131491	3.0201063753246467	5.079444622225193e-183	5.164102032595613e-181	105	274	2.625	99	118	1.1939	183	576	3.1593	25	741	30.8333	1	135	NA	48	486	10.3191
XM_005315901.5	Nifk	7	-	152	99640697	99640848	4.485212876282531	4.1937739386732545e-164	3.654574432272408e-162	29	86	3.0357	8	48	6.7143	99	168	1.7041	9	503	62.75	3	414	206.5	11	334	33.3
XM_005327563.5	Znf330	9	-	186	131964125	131964310	3.6080313334543863	3.651874646919126e-161	2.7845544182758337e-159	35	69	2.0	52	44	0.8431	162	118	0.7267	18	342	20.0588	5	45	11.0	30	279	9.5862
XM_005319381.5	Slc25a5	x	-	209	30412922	30413130	4.156544997541373	1.129943948149736e-160	7.658508981903766e-159	82	24	0.284	50	12	0.2245	156	46	0.2903	23	77	3.4545	2	29	28.0	37	202	5.5833
XM_040273772.2	Csnk1a1	1	-	678	129106999	129107676	2.203362908683889	3.401162451122233e-143	2.074709095184562e-141	153	192	1.2566	110	165	1.5046	365	380	1.0412	69	415	6.0882	2	99	98.0	96	361	3.7895
XR_013436216.1	LOC144376121	3	-	91	40565066	40565156	3.7477080442823114	2.006805220280716e-124	1.1128647130647605e-122	123	187	1.5246	96	94	0.9789	140	357	2.5612	10	198	21.8889	1	42	NA	12	253	22.9091
XM_078050577.1	Gpatch2l	5	+	9063	98624980	98634042	2.138361813863508	1.1232305391197635e-112	5.709755240525464e-111	173	40	0.2267	128	22	0.1654	320	79	0.2445	231	162	0.7	67	129	1.9394	178	150	0.8418
XM_013365368.4	Cd36	2	-	136	170634366	170634501	2.83990532564399	2.1481508012258768e-110	1.0079784528829115e-108	88	142	1.6207	67	73	1.0909	306	269	0.8787	26	182	7.24	3	61	30.0	26	183	7.28
