chr	position	FONTOM5	Enhancer_ID
1	97919	N	63
1	3484180	N	49
1	3485787	N	49
1	3522249	N	50
1	6962636	N	56
1	10565090	N	2
1	10569111	N	3
1	11737306	N	6
1	14553624	N	20
1	14583000	N	20
1	14590654	N	20
1	15579175	N	23
1	15581180	N	23
1	18269587	N	27
1	23114717	N	40
1	30481217	N	46
1	31601567	N	47
1	33082463	N	48
1	36432860	N	51
1	37331743	N	52
1	44044355	N	53
1	50856090	N	54
1	51047252	N	55
1	71162150	N	57
1	71670907	N	58
1	74940809	N	59
1	78075584	N	60
1	91198593	N	61
1	91203703	N	61
1	91651278	N	62
1	98436634	N	64
1	103757655	N	1
1	114698956	N	4
1	114706326	N	5
1	119667420	N	7
1	119912738	N	8
1	119931891	N	9
1	120505479	N	10
1	121053005	N	11
1	123626961	N	12
1	137163351	N	13
1	142569277	N	14
1	144693685	N	15
1	144994786	N	16
1	144998054	N	17
1	145491619	N	18
1	145493346	N	18
1	145522785	N	19
1	151672978	N	21
1	151673690	N	21
1	152519065	N	22
1	178550508	N	24
1	182649302	N	25
1	182651890	N	26
1	201146099	N	28
1	206600826	N	29
1	210350330	N	30
1	210356196	N	31
1	210385917	N	32
1	210757999	N	33
1	211128250	N	34
1	211139382	N	35
1	212355702	N	36
1	212364431	N	37
1	220492905	N	38
1	224185043	N	39
1	249236264	N	41
1	249246255	N	42
1	249252040	N	43
1	250729580	N	44
1	257532544	N	45
10	11386302	N	73
10	11397261	N	74
10	14187435	N	78
10	28913357	N	82
10	28966981	N	83
10	29145315	N	84
10	31601031	N	85
10	31603237	N	85
10	31605575	N	86
10	31614038	N	87
10	33896944	N	88
10	36111846	N	89
10	39329453	N	90
10	39886137	N	91
10	56639447	N	92
10	57702083	N	93
10	62168155	N	94
10	62181937	N	95
10	62184653	N	96
10	62187548	N	96
10	62188609	N	96
10	62291933	N	97
10	62296669	N	98
10	62300160	N	98
10	62310761	N	99
10	62330768	N	100
10	62367428	N	101
10	62370507	N	101
10	62372883	N	101
10	71212451	N	102
10	71469510	N	103
10	72389943	N	104
10	76109962	N	105
10	76166258	N	106
10	78937777	N	107
10	81351690	N	108
10	81953519	N	109
10	86317492	N	110
10	92194913	N	111
10	93480350	N	112
10	96759275	N	113
10	98957268	N	114
10	98970556	N	114
10	98974638	N	114
10	103702366	N	65
10	104724479	N	66
10	107286915	N	67
10	107343416	N	68
10	109181489	N	69
10	109736613	N	70
10	109738711	N	70
10	111012521	N	71
10	111219612	N	72
10	117453225	N	75
10	118386521	N	76
10	134097178	N	77
10	142668804	N	79
10	144279582	N	80
10	144284734	N	81
11	2856146	N	127
11	2876146	N	128
11	2879636	N	128
11	2885277	N	129
11	4794631	N	135
11	4796590	N	135
11	4807213	N	135
11	4809408	N	135
11	12202118	N	119
11	13199347	N	120
11	13204621	N	121
11	13214498	N	121
11	17997823	N	123
11	17999333	N	123
11	22701639	N	124
11	23666218	N	125
11	28233609	N	126
11	31642156	N	130
