long-eRNA	log2fc	pvalue	FDR
nw_027521300.1:170420-202645:-	-4.85404667629927	1.2182122245904544e-159	9.867519019182681e-158
nw_027522939.1:65023-75879:+	2.3466144539653797	1.512687776227927e-136	6.126385493723105e-135
nw_027520944.1:213518-232678:+	-4.392292300120183	2.2908786802221213e-97	6.1853724365997275e-96
4:162834035-162876714:-	-3.9979415177074857	1.590228516509093e-96	3.220212745930914e-95
nw_027520944.1:198114-214098:-	-2.9241842007434964	5.35479432698263e-88	8.674766809711862e-87
5:120448069-120468094:-	-3.4352615704193297	3.125527099798711e-59	4.21946158472826e-58
5:16450030-16461690:+	-4.079650506556008	6.917458010231447e-55	8.00448712612496e-54
nw_027525482.1:6462-19064:-	-3.1274266060441316	2.642059643411561e-53	2.6750853889542057e-52
nw_027524440.1:581485-608731:+	-2.8536007069579474	8.077730147979106e-47	7.269957133181195e-46
2:58775112-58845089:+	-1.6206954488321292	4.181055505483062e-43	3.386654959441281e-42
nw_027522720.1:2591181-2616913:+	-2.804610298117792	5.9202176571818706e-36	4.3594330021066503e-35
7:12273331-12289102:-	3.664783665060962	6.261021114307368e-32	4.226189252157473e-31
nw_027521144.1:51346-62690:-	-2.6265343956071137	4.252514268704586e-31	2.6496435058851652e-30
nw_027522074.1:314097-340915:+	-3.0142081514349925	6.660443058034525e-30	3.85354205500569e-29
nw_027522374.1:153307-180353:+	-2.773317708060216	1.6038547366179545e-26	8.660815577736955e-26
11:13203364-13214789:-	-2.9162463282027593	4.404716463253646e-25	2.2298877095221587e-24
4:55977722-55994023:+	2.289194640945611	8.64245963548016e-24	4.117877826317018e-23
nw_027520990.1:732259-744095:-	-3.1425662697809216	2.4623004360147843e-22	1.108035196206653e-21
2:148558771-148580941:-	-3.1744271005847757	8.040647296306193e-19	3.4278549000042194e-18
16:36785835-36798769:+	-1.9455869113555093	1.443820751185021e-18	5.847474042299336e-18
nw_027523264.1:1017996-1042745:+	-1.6622621822646337	1.869791845469405e-18	7.212054261096278e-18
nw_027522888.1:230420-271665:-	-1.2694300254674382	2.4697411883866352e-18	9.093138011787158e-18
3:204676335-204699416:+	-2.8463060338284936	3.9357220102975844e-18	1.386058621017845e-17
nw_027523416.1:1370433-1397456:-	-2.0040772718344386	1.1149758511206956e-17	3.763043497532348e-17
13:17390005-17403269:+	-2.371529660910928	7.90444257537894e-17	2.5610393944227765e-16
4:141307666-141332185:-	-3.745618421690731	6.396785585035711e-16	1.9928447399534333e-15
5:64336438-64355548:+	-2.780183363143	1.1656086255760849e-15	3.4968258767282546e-15
nw_027526142.1:59608-87909:+	-0.6219272610485296	1.893539761544675e-15	5.4777400244685244e-15
nw_027522720.1:1569361-1591472:+	-3.3645881307611014	1.6964642239653897e-14	4.738400073834364e-14
nw_027520944.1:154142-171761:-	-1.4175846139466401	1.2446803088554868e-13	3.3606368339098146e-13
nw_027522124.1:17044-32077:+	-1.6203124735963892	1.7710441700297705e-13	4.627567024916497e-13
15:36743608-36760214:+	-1.4863521725467628	8.580737360747766e-13	2.1719991444392783e-12
nw_027520962.1:301953-329575:-	-0.9977799644698268	1.0535880703876962e-11	2.5860798091334363e-11
nw_027521049.1:408856-429998:-	-1.2115564122809384	1.8757656540294943e-11	4.468735822834972e-11
13:23810513-23824007:-	-4.345486225239559	2.8750320717395403e-11	6.65364565174008e-11
12:106814015-106826945:+	2.024311690913577	4.1299903358314755e-11	9.292478255620821e-11
4:207685701-207699772:+	-1.304543250272229	2.0888611577862317e-10	4.572912264342832e-10
6:45666802-45687764:-	-1.0910752351216895	2.374720405818039e-10	5.061904022927926e-10
nw_027521401.1:188921-252637:+	-1.4448434673683646	6.897539223945344e-10	1.4325658388194177e-09
9:18416508-18445179:-	-1.9912374451430994	2.849188836053173e-09	5.7696073930076755e-09
3:26256493-26279079:-	-1.649073459410359	1.7376748514884395e-08	3.432967389525941e-08
nw_027520960.1:99901-134580:-	-0.7528325755453189	3.4340278294218804e-08	6.622767956742199e-08
8:114402409-114412513:+	-2.042432776844158	7.504530151825642e-08	1.413644051855528e-07
11:96007074-96080796:+	-2.349857410625553	8.616844607139921e-08	1.5862827572234856e-07
nw_027522939.1:4856-16023:-	-2.7444462607608213	2.0738747613853188e-07	3.732974570493574e-07
4:141343218-141359001:-	-2.317265667280172	6.044195913107424e-07	1.0643040629602203e-06
nw_027522803.1:40462-65655:-	1.34285606769862	9.290706040554009e-07	1.5714449147047371e-06
nw_027524086.1:137324-165985:-	-2.4343099072740144	9.312266161213257e-07	1.5714449147047371e-06
nw_027523079.1:145600-166824:-	-3.0907837609479123	1.0076338004066185e-06	1.6656803639374713e-06
nw_027521300.1:158639-186011:+	-1.4577109730440985	1.3691924092666755e-06	2.2180917030120144e-06
9:39188918-39210554:-	-1.8870549010736282	1.7885863667494941e-06	2.8406959942491965e-06
nw_027521144.1:70905-89408:-	-2.047448861849252	2.8296747753169714e-06	4.407762630782206e-06
nw_027522939.1:24101-54195:-	-2.502897916284687	1.2593060969357988e-05	1.9245998839962207e-05
6:199236546-199249708:+	-2.4454080718164892	1.833737027507903e-05	2.750605541261855e-05
16:52132293-52144311:-	NA	3.840681005208706e-05	5.656275662216458e-05
nw_027526147.1:276573-298458:-	-0.9632891000413939	0.0015439780837452123	0.0022332540139886107
nw_027522627.1:23563-40731:-	-1.6732341635247672	0.0020685810779872897	0.0029395625845082536
nw_027520944.1:90887-138639:+	-0.6651623986463268	0.0028837237424108094	0.004027269364401303
3:214153045-214163282:-	-2.63698716753601	0.004154908253267056	0.005704196076519179
1:14553173-14595401:+	-0.47828557455883036	0.00857277380683782	0.011573244639231057
nw_027520961.1:213078-253848:+	-1.0701638912312956	0.016577053122011666	0.022012152506277787
3:139696122-139765932:-	0.825379939956323	0.019097662228964207	0.024950171621711304
11:2864081-2879690:-	-1.1935883893713843	0.037807569899176635	0.04860973272751282
2:84061698-84089159:+	-1.355842799006983	0.04439403016503104	0.05618619442761741
10:109736215-109747831:+	0.7942740745545462	0.04646140492032565	0.05789805843917504
4:55958096-55978342:-	-0.7478897901044186	0.05132549643551709	0.0629903819890437
nw_027522423.1:265558-308518:+	-0.35676287832295595	0.10000633143563215	0.12090317681024185
nw_027523678.1:111294-122982:-	-0.7383564802143822	0.11722960948595605	0.13964115247591824
14:10443833-10455607:-	0.164667287920184	0.15027822752576242	0.17641357144328632
1:206558541-206602456:-	-0.6168377735207067	0.18811566224976348	0.21767669488901203
11:4794723-4810415:+	-0.40072777696357875	0.22650936463364016	0.2584120920468289
nw_027522274.1:392442-410066:+	0.8396332526023766	0.23088290030584738	0.25974326284407834
