chr	Gene	Transcript1	Transcript2	TSS_transcript1	TSS_transcript2	Ctrl_max_count	Ctrl_count_transcript1	Ctrl_count_transcript2	Ratio_transcript1_vs_2_in_Ctrl	Case_max_count	Case_count_transcript1	Case_count_transcript2	Ratio_transcript1_vs_2_in_Case	odds_ratio	pvalue	FDR	main_isoform_ctrl	main_isoform_case	isoform_switched
6	Tmem106c	XM_078014801.1	XM_078014793.1	66555417	66556607	90.667	90.667	5.0	18.133	34.333	7.0	34.333	0.204	0.011900094120323676	3.313243496944377e-138	1.0076367781366843e-135	transcript1	transcript2	isoform_switched
6	Tmem106c	XM_078014801.1	XM_078014796.1	66555417	66556610	90.667	90.667	5.0	18.133	34.333	7.0	34.333	0.204	0.011900094120323676	3.313243496944377e-138	1.0076367781366843e-135	transcript1	transcript2	isoform_switched
6	Tmem106c	XM_078014797.1;XM_078014789.1	XM_078014793.1	66555432	66556607	90.667	90.667	5.0	18.133	34.333	7.0	34.333	0.204	0.011900094120323676	3.313243496944377e-138	1.0076367781366843e-135	transcript1	transcript2	isoform_switched
6	Tmem106c	XM_078014797.1;XM_078014789.1	XM_078014796.1	66555432	66556610	90.667	90.667	5.0	18.133	34.333	7.0	34.333	0.204	0.011900094120323676	3.313243496944377e-138	1.0076367781366843e-135	transcript1	transcript2	isoform_switched
6	Tmem106c	XM_078014803.1	XM_078014793.1	66555243	66556607	90.667	90.667	5.0	18.133	34.333	7.333	34.333	0.214	0.012377085066528452	8.215057916657219e-137	3.9080204089240766e-135	transcript1	transcript2	isoform_switched
6	Tmem106c	XM_078014803.1	XM_078014796.1	66555243	66556610	90.667	90.667	5.0	18.133	34.333	7.333	34.333	0.214	0.012377085066528452	8.215057916657219e-137	3.9080204089240766e-135	transcript1	transcript2	isoform_switched
6	Tmem106c	XM_078014800.1	XM_078014793.1	66555408	66556607	90.667	90.667	5.0	18.133	34.333	7.333	34.333	0.214	0.012377085066528452	8.215057916657219e-137	3.9080204089240766e-135	transcript1	transcript2	isoform_switched
6	Tmem106c	XM_078014800.1	XM_078014796.1	66555408	66556610	90.667	90.667	5.0	18.133	34.333	7.333	34.333	0.214	0.012377085066528452	8.215057916657219e-137	3.9080204089240766e-135	transcript1	transcript2	isoform_switched
11	Pde4dip	XM_078026892.1	XM_078026881.1	98235961	98382395	78.667	78.667	47.333	1.662	68.333	7.667	68.333	0.112	0.06527122654975133	3.555316493990118e-105	1.2462319921039046e-103	transcript1	transcript2	isoform_switched
11	Pde4dip	XM_078026858.1;XM_078026893.1;XM_078026857.1;XM_078026856.1;XM_078026866.1;XM_078026859.1;XM_078026855.1	XM_078026881.1	98235976	98382395	78.667	78.667	47.333	1.662	68.333	7.667	68.333	0.112	0.06527122654975133	3.555316493990118e-105	1.2462319921039046e-103	transcript1	transcript2	isoform_switched
2	Atxn7l1	XR_013435223.1	XR_013435220.1	176130306	176290566	88.333	23.0	88.333	0.26	44.333	44.333	8.667	5.115	16.88777891858236	1.7883651648095256e-96	4.5809661529351694e-95	transcript2	transcript1	isoform_switched
2	Atxn7l1	XR_013435223.1	XR_013435218.1;XR_013435217.1;XM_040291664.2;XM_021722434.3;XM_040291662.2;XM_040291660.2;XM_021722431.3	176130306	176290745	88.333	23.0	88.333	0.26	44.333	44.333	8.667	5.115	16.88777891858236	1.7883651648095256e-96	4.5809661529351694e-95	transcript2	transcript1	isoform_switched
2	Atxn7l1	XR_013435223.1	XR_013435219.1	176130306	176290746	88.333	23.0	88.333	0.26	44.333	44.333	8.667	5.115	16.88777891858236	1.7883651648095256e-96	4.5809661529351694e-95	transcript2	transcript1	isoform_switched
2	Atxn7l1	XR_013435226.1	XR_013435220.1	176130592	176290566	88.333	23.0	88.333	0.26	44.333	44.333	8.667	5.115	16.88777891858236	1.7883651648095256e-96	4.5809661529351694e-95	transcript2	transcript1	isoform_switched
2	Atxn7l1	XR_013435226.1	XR_013435218.1;XR_013435217.1;XM_040291664.2;XM_021722434.3;XM_040291662.2;XM_040291660.2;XM_021722431.3	176130592	176290745	88.333	23.0	88.333	0.26	44.333	44.333	8.667	5.115	16.88777891858236	1.7883651648095256e-96	4.5809661529351694e-95	transcript2	transcript1	isoform_switched
2	Atxn7l1	XR_013435226.1	XR_013435219.1	176130592	176290746	88.333	23.0	88.333	0.26	44.333	44.333	8.667	5.115	16.88777891858236	1.7883651648095256e-96	4.5809661529351694e-95	transcript2	transcript1	isoform_switched
3	Bbx	XM_078044290.1	XM_078044283.1	159058778	159130554	74.0	11.0	74.0	0.149	49.0	49.0	25.0	1.96	13.448835270877165	1.094177982387493e-95	2.698972356555816e-94	transcript2	transcript1	isoform_switched
3	Bbx	XM_078044290.1	XM_078044280.1	159058778	159130746	74.0	11.0	74.0	0.149	49.0	49.0	25.0	1.96	13.448835270877165	1.094177982387493e-95	2.698972356555816e-94	transcript2	transcript1	isoform_switched
10	Tbl2	XM_040276668.2	XM_005328522.5	117891494	117893952	72.333	4.0	72.333	0.055	40.0	40.0	26.333	1.519	24.637553697411207	1.6555960160976603e-92	3.5004030054636247e-91	transcript2	transcript1	isoform_switched
15	Necab2	XM_078032741.1	XM_040280001.2	57161286	57164069	35.333	35.333	10.0	3.533	54.0	8.667	54.0	0.16	0.043941913597160355	3.8741424209869307e-75	8.06305891367905e-74	transcript1	transcript2	isoform_switched
12	Lpin1	XM_040271296.2;XM_021727784.3;XM_040271295.2	XM_078029649.1	112976526	112987189	143.333	31.667	143.333	0.221	45.667	45.667	39.0	1.171	4.955758302355177	5.497754132277404e-62	9.510400654796756e-61	transcript2	transcript1	isoform_switched
7	Myo1b	XM_078017761.1;XM_040294619.2	XM_078017763.1	156833824	156852979	87.667	87.667	69.667	1.258	62.667	15.0	62.667	0.239	0.16478992533695566	3.953530473285535e-60	6.582628238020416e-59	transcript1	transcript2	isoform_switched
11	Elovl1	XM_005317907.5	XM_078026096.1	31525510	31535881	38.667	38.667	5.333	7.251	21.333	6.667	21.333	0.313	0.042895480428829555	2.4521572897482693e-59	3.842674717581994e-58	transcript1	transcript2	isoform_switched
x	Huwe1	XM_021719784.3	XM_021719785.3	80251694	80254274	31.333	17.667	31.333	0.564	48.333	48.333	4.0	12.083	18.279578168448147	4.381968062309621e-59	6.786955184879552e-58	transcript2	transcript1	isoform_switched
10	Nsun6	XM_040278358.2;XM_078023346.1	XM_005325784.5;XM_078023344.1	84486150	84491749	59.333	59.333	14.0	4.238	33.667	16.667	33.667	0.495	0.12444366420229043	1.740608986388311e-50	2.520099097683946e-49	transcript1	transcript2	isoform_switched
10	Nsun6	XM_040278358.2;XM_078023346.1	XM_040278357.2;XM_040278359.2;XM_040278356.2;XM_040278360.2	84486150	84491752	59.333	59.333	14.0	4.238	33.667	16.667	33.667	0.495	0.12444366420229043	1.740608986388311e-50	2.520099097683946e-49	transcript1	transcript2	isoform_switched
5	Pxmp4	XM_005329920.5	XM_005329921.5	177271987	177279574	103.0	19.333	103.0	0.188	17.667	17.667	15.333	1.152	6.27004154380714	8.823491484463322e-42	9.87637870361777e-41	transcript2	transcript1	isoform_switched
