chr	position	FONTOM5	Enhancer_ID
1	97817	N	67
1	3485777	N	54
1	3522214	N	55
1	6962648	N	61
1	10335692	N	1
1	10565090	N	3
1	10569069	N	4
1	14553640	N	19
1	14582997	N	19
1	14590653	N	19
1	15579170	N	23
1	15581194	N	23
1	18269581	N	28
1	23114631	N	43
1	30481217	N	52
1	31601564	N	53
1	35913052	N	56
1	36432910	N	57
1	44044775	N	58
1	50856117	N	59
1	51047252	N	60
1	71162150	N	62
1	71670895	N	63
1	74940809	N	64
1	78075569	N	65
1	91651321	N	66
1	98436686	N	68
1	99746675	N	69
1	103757732	N	2
1	107420484	N	5
1	114698946	N	6
1	114706325	N	7
1	115533781	N	8
1	119667425	N	9
1	119912758	N	10
1	119931892	N	11
1	121052999	N	12
1	123626994	N	13
1	142569289	N	14
1	144693332	N	15
1	144994779	N	16
1	144997936	N	17
1	145491668	N	18
1	145493346	N	18
1	151659641	N	20
1	151672957	N	21
1	151673678	N	21
1	152519063	N	22
1	171180535	N	24
1	178550480	N	25
1	182649302	N	26
1	182651891	N	27
1	189758467	N	29
1	201146099	N	30
1	206600923	N	31
1	210208821	N	32
1	210349886	N	33
1	210350328	N	33
1	210356196	N	34
1	210385906	N	35
1	210758094	N	36
1	211139443	N	37
1	212355702	N	38
1	212364401	N	39
1	212390464	N	40
1	212391845	N	40
1	220493171	N	41
1	224185355	N	42
1	244172841	N	44
1	249231981	N	45
1	249236264	N	46
1	249246255	N	47
1	249252053	N	48
1	250729575	N	49
1	250743616	N	50
1	257532544	N	51
10	11386309	N	76
10	11397261	N	77
10	14144229	N	81
10	14186668	N	82
10	28885718	N	87
10	28913362	N	88
10	28966983	N	89
10	29145278	N	90
10	31605572	N	91
10	31614038	N	92
10	33888753	N	93
10	33893088	N	93
10	33896941	N	93
10	36112412	N	94
10	39329448	N	95
10	39886137	N	96
10	47889229	N	97
10	62168150	N	98
10	62181937	N	99
10	62184653	N	99
10	62187443	N	99
10	62188503	N	99
10	62291932	N	100
10	62296669	N	101
10	62300160	N	101
10	62310290	N	102
10	62330782	N	103
10	62370496	N	104
10	62372870	N	104
10	70230336	N	105
10	71212481	N	106
10	71469510	N	107
10	72389959	N	108
10	76130854	N	109
10	76166258	N	110
10	78937739	N	111
10	81351663	N	112
10	81953512	N	113
10	81955302	N	113
10	86317470	N	114
10	88905995	N	115
10	92194915	N	116
