chr	Gene	Transcript1	Transcript2	TTS_transcript1	TTS_transcript2	Ctrl_max_count	Ctrl_count_transcript1	Ctrl_count_transcript2	Ratio_transcript1_vs_2_in_Ctrl	Case_max_count	Case_count_transcript1	Case_count_transcript2	Ratio_transcript1_vs_2_in_Case	odds_ratio	pvalue	FDR	main_isoform_ctrl	main_isoform_case	isoform_switched
1	Cyp2e1	XM_040273494.2	XM_078023636.1	136446	141285	1700.333	666.0	1700.333	0.392	947.0	947.0	502.333	1.885	4.945273562999446	0.0	0.0	transcript2	transcript1	isoform_switched
3	LOC101966831	XM_078042772.1	XM_021731329.3	51508540	51520941	267.333	55.667	267.333	0.208	155.0	155.0	89.333	1.735	8.296418114058648	1.0561962887118793e-230	3.76005878781429e-227	transcript2	transcript1	isoform_switched
5	Sord	XM_040274755.2	XM_005316517.5	35636214	35641694	277.333	108.667	277.333	0.392	252.667	252.667	133.0	1.9	4.828275243314179	5.785294775876482e-192	1.373043293474685e-188	transcript2	transcript1	isoform_switched
5	Srsf5	XM_078050126.1	XM_005322838.5	64294646	64296968	512.667	512.667	365.333	1.403	912.0	541.333	912.0	0.594	0.41943565143502987	6.395072638600262e-190	1.1383229296708466e-186	transcript1	transcript2	isoform_switched
3	Son	XM_078044566.1	XM_078044563.1	206344008	206360155	135.333	70.667	135.333	0.522	219.0	219.0	104.0	2.106	3.945485489665974	5.217520766495829e-107	2.6534819898178787e-104	transcript2	transcript1	isoform_switched
1	Jmjd1c	XM_078041420.1	XM_040273600.2;XM_040273601.2;XM_040273602.2;XM_078041409.1;XM_005339811.5	57610683	57621235	101.0	51.667	101.0	0.512	134.0	134.0	44.333	3.023	6.168421837414107	1.0441811666649659e-106	4.9563799377697046e-104	transcript2	transcript1	isoform_switched
10	Clip2	XR_013426885.1	XM_078023921.1;XM_078023922.1	118435258	118446025	107.333	107.333	85.667	1.253	91.0	12.0	91.0	0.132	0.10888872326088653	4.999801437613753e-99	2.0940344844594072e-96	transcript1	transcript2	isoform_switched
15	Slc38a7	XM_040279294.2	XM_040279293.2;XM_005318255.5	36685805	36688638	111.667	44.667	111.667	0.4	125.333	125.333	64.0	1.958	5.152009099583099	6.165758314419414e-97	2.4388999554814574e-94	transcript2	transcript1	isoform_switched
4	Rbm14	XM_013361990.4	XM_005333369.5	6344995	6360256	134.0	90.333	134.0	0.674	365.0	365.0	187.333	1.948	3.06109054747326	8.13359362193982e-91	3.047957188853238e-88	transcript2	transcript1	isoform_switched
2	Atxn2	XM_078039151.1;XM_078039155.1;XM_078039152.1;XM_078039153.1;XM_078039154.1;XM_078039156.1;XM_078039160.1	XR_013434809.1	90409621	90435081	55.667	55.667	5.0	11.133	78.667	47.0	78.667	0.597	0.06322565624348993	3.986106245000332e-84	1.4190538232201182e-81	transcript1	transcript2	isoform_switched
12	Ppm1b	XM_040271023.2	XM_021725861.3	86374123	86385513	157.333	108.333	157.333	0.689	231.333	231.333	112.333	2.059	3.079551606279215	4.621440066431065e-80	1.5668882510947229e-77	transcript2	transcript1	isoform_switched
9	Hgfac	XM_005318998.5;XM_040292740.2	XM_040292741.2	2465663	2468220	73.667	73.667	27.0	2.728	97.0	50.333	97.0	0.519	0.18412664711586094	2.2347560660641137e-74	6.918027474076735e-72	transcript1	transcript2	isoform_switched
11	Evi5	XM_021728012.3;XM_040288993.2;XM_040288991.2	XM_040288994.2	75697010	75701462	86.667	30.667	86.667	0.354	86.0	86.0	40.667	2.115	5.201106007810737	3.187471696733934e-67	8.728768646440617e-65	transcript2	transcript1	isoform_switched
7	Slc35f5	XR_013424021.1;XR_013424024.1;XM_021722200.3;XM_078017227.1	XR_013424022.1;XR_013424025.1;XR_013424023.1;XM_040294093.2;XM_078017226.1	92744463	92754991	39.667	39.667	36.0	1.102	119.333	23.0	119.333	0.193	0.1745389709188951	4.091613420459345e-61	9.194569878336202e-59	transcript1	transcript2	isoform_switched
11	Ddi2	XM_078025349.1	XM_040287955.2	10253265	10264647	179.667	179.667	116.667	1.54	166.667	84.667	166.667	0.508	0.3654433946785759	6.282542624687456e-59	1.1771500917835444e-56	transcript1	transcript2	isoform_switched
11	LOC101978636	XM_078026214.1	XM_078026215.1	34668229	34672127	249.667	185.333	249.667	0.742	57.667	57.667	19.0	3.035	4.302617458871654	2.9616426130175004e-57	5.406896257611437e-55	transcript2	transcript1	isoform_switched
x	LOC144371774	XR_013431882.1	XR_013431880.1	93504710	93683313	41.0	41.0	4.333	9.462	18.667	6.667	18.667	0.357	0.045143840278342014	7.510587231882536e-54	1.243613513744271e-51	transcript1	transcript2	isoform_switched
