Enhancer_ID	chr	start	end	center	FANTOM5	associated_gene-FANTOM5	associated_gene-50kb	associated_gene-4DGenome	Cell_Tissue	Detection_method	PMID	closest_gene	distance
1	1	103756444	103758821	103757703	N	NA	Glrx	NA	NA	NA	NA	Glrx	30937
2	1	10563775	10566479	10565085	N	NA	Inpp5f	NA	NA	NA	NA	Inpp5f	29278
3	1	10568571	10569860	10569079	N	NA	Inpp5f	NA	NA	NA	NA	Inpp5f	34074
4	1	107419996	107421487	107420486	N	NA	NA	NA	NA	NA	NA	Fam174a	198798
5	1	114697226	114699890	114698870	N	NA	NA	NA	NA	NA	NA	Fer	150702
6	1	114705757	114706881	114706349	N	NA	NA	NA	NA	NA	NA	Fer	143711
7	1	115532649	115534666	115533796	N	NA	NA	NA	NA	NA	NA	Pja2	97647
8	1	119666738	119669145	119667405	N	NA	Matr3	NA	NA	NA	NA	Matr3	3701
9	1	119912022	119913346	119912758	N	NA	Ube2d2	NA	NA	NA	NA	Ube2d2	26822
10	1	119930658	119932903	119931892	N	NA	Ube2d2	NA	NA	NA	NA	Ube2d2	7265
11	1	121052078	121053629	121053020	N	NA	NA	NA	NA	NA	NA	Zmat2	103967
12	1	123626426	123628055	123626962	N	NA	NA	NA	NA	NA	NA	Nr3c1	58037
13	1	137162771	137166509	137163354	N	NA	Csnk1g3	NA	NA	NA	NA	Csnk1g3	6022
14	1	142568383	142569821	142569293	N	NA	NA	NA	NA	NA	NA	LOC144377411	1025534
15	1	142872461	142873535	142872961	N	NA	NA	NA	NA	NA	NA	Sema6a	1001803
16	1	142956056	142957631	142956757	N	NA	NA	NA	NA	NA	NA	Sema6a	917707
17	1	144692614	144694178	144693717	N	NA	NA	NA	NA	NA	NA	LOC144377429	86402
18	1	144993454	144996085	144994773	N	NA	NA	NA	NA	NA	NA	Fem1c	106883
19	1	144997341	144998739	144997900	N	NA	NA	NA	NA	NA	NA	Fem1c	110770
20	1	145491826	145494274	145493346	N	NA	LOC144366454	NA	NA	NA	NA	LOC144366454	32344
21	1	145498273	145500851	145498915	N	NA	LOC144366454	NA	NA	NA	NA	LOC144366454	25767
22	1	14552134	14596043	14553640,14583000,14590655	N,N,N	NA;NA;NA	Ablim1,Fhip2a	NA	NA	NA	NA	Fhip2a	44466
23	1	151660199	151661781	151660844	N	NA	LOC144377745,Thoc3	NA	NA	NA	NA	LOC144377745	3794
24	1	151666154	151668332	151667225	N	NA	LOC144377745,Thoc3	NA	NA	NA	NA	LOC144377745	9749
25	1	151671777	151675549	151672953,151673677	N,N	NA;NA	LOC144377745,Thoc3	NA	NA	NA	NA	LOC144377745	15372
26	1	152518095	152519384	152519053	N	NA	NA	NA	NA	NA	NA	Znf354b	176651
27	1	15577031	15582488	15579156,15581180	N,N	NA;NA	Habp2,LOC144377168	NA	NA	NA	NA	Habp2	7158
28	1	171179536	171181255	171180509	N	NA	Pwwp2a	NA	NA	NA	NA	Pwwp2a	4613
29	1	17145790	17147427	17146542	N	NA	NA	NA	NA	NA	NA	Gpam	425218
30	1	178550171	178551276	178550480	N	NA	Pank3	NA	NA	NA	NA	Pank3	7635
31	1	18242600	18244661	18242937	N	NA	NA	NA	NA	NA	NA	Dusp5	53025
32	1	182640768	182642455	182641974	N	NA	Cpeb4,LOC120885809	NA	NA	NA	NA	Cpeb4	13380
33	1	182648675	182650088	182649302	N	NA	Cpeb4,LOC120885809	NA	NA	NA	NA	Cpeb4	5747
34	1	182651380	182652667	182651892	N	NA	Cpeb4,LOC120885809	NA	NA	NA	NA	Cpeb4	3168
35	1	18268900	18270629	18269581	N	NA	NA	NA	NA	NA	NA	Dusp5	79325
36	1	189757417	189759323	189758467	N	NA	LOC101964166	NA	NA	NA	NA	LOC101964166	28202
37	1	201100539	201146582	201146099	N	NA	NA	NA	NA	NA	NA	LOC144364881	5522755
38	1	204106492	204110539	204108544	N	NA	NA	NA	NA	NA	NA	Gtf2h2c	5035762
39	1	205987121	205988363	205987541	N	NA	NA	NA	NA	NA	NA	Gtf2h2c	3157938
40	1	206552341	206602970	206601645	N	NA	NA	NA	NA	NA	NA	Gtf2h2c	2543331
41	1	209852175	209856360	209852902	N	NA	NA	NA	NA	NA	NA	Slc30a5	347493
42	1	209861623	209865694	209862560	N	NA	NA	NA	NA	NA	NA	Slc30a5	356941
43	1	210207304	210209944	210208822	N	NA	NA	NA	NA	NA	NA	Pik3r1	121779
44	1	210349496	210351250	210350306	N	NA	Pik3r1	NA	NA	NA	NA	Pik3r1	17773
