chr	Gene	Transcript1	Transcript2	TSS_transcript1	TSS_transcript2	Ctrl_max_count	Ctrl_count_transcript1	Ctrl_count_transcript2	Ratio_transcript1_vs_2_in_Ctrl	Case_max_count	Case_count_transcript1	Case_count_transcript2	Ratio_transcript1_vs_2_in_Case	odds_ratio	pvalue	FDR	main_isoform_ctrl	main_isoform_case	isoform_switched
3	Bbx	XM_078044287.1;XM_078044289.1	XM_078044283.1	159058566	159130554	74.0	11.333	74.0	0.153	78.333	78.333	21.333	3.672	25.49273751779158	5.6952950024302535e-151	1.0536295754495969e-148	transcript2	transcript1	isoform_switched
3	Bbx	XM_078044287.1;XM_078044289.1	XM_078044280.1	159058566	159130746	74.0	11.333	74.0	0.153	78.333	78.333	21.333	3.672	25.49273751779158	5.6952950024302535e-151	1.0536295754495969e-148	transcript2	transcript1	isoform_switched
3	Bbx	XM_078044288.1	XM_078044283.1	159058780	159130554	74.0	11.333	74.0	0.153	78.333	78.333	21.333	3.672	25.49273751779158	5.6952950024302535e-151	1.0536295754495969e-148	transcript2	transcript1	isoform_switched
3	Bbx	XM_078044288.1	XM_078044280.1	159058780	159130746	74.0	11.333	74.0	0.153	78.333	78.333	21.333	3.672	25.49273751779158	5.6952950024302535e-151	1.0536295754495969e-148	transcript2	transcript1	isoform_switched
11	Pde4dip	XM_078026892.1	XM_078026881.1	98235961	98382395	78.667	78.667	47.333	1.662	70.667	5.333	70.667	0.075	0.04483307617898117	5.974442406620465e-114	7.033548105975911e-112	transcript1	transcript2	isoform_switched
11	Pde4dip	XM_078026858.1;XM_078026893.1;XM_078026857.1;XM_078026856.1;XM_078026866.1;XM_078026859.1;XM_078026855.1	XM_078026881.1	98235976	98382395	78.667	78.667	47.333	1.662	70.667	5.333	70.667	0.075	0.04483307617898117	5.974442406620465e-114	7.033548105975911e-112	transcript1	transcript2	isoform_switched
6	Tmem106c	XM_078014803.1	XR_013422945.1	66555243	66556606	90.667	90.667	5.0	18.133	20.333	5.667	20.333	0.279	0.017041525438093365	4.203835975881044e-100	1.2961827592299885e-98	transcript1	transcript2	isoform_switched
6	Tmem106c	XM_078014803.1	XM_078014793.1	66555243	66556607	90.667	90.667	5.0	18.133	20.333	5.667	20.333	0.279	0.017041525438093365	4.203835975881044e-100	1.2961827592299885e-98	transcript1	transcript2	isoform_switched
6	Tmem106c	XM_078014803.1	XM_078014792.1	66555243	66556608	90.667	90.667	5.0	18.133	20.333	5.667	20.333	0.279	0.017041525438093365	4.203835975881044e-100	1.2961827592299885e-98	transcript1	transcript2	isoform_switched
6	Tmem106c	XM_078014803.1	XM_078014791.1;XM_078014788.1	66555243	66556609	90.667	90.667	5.0	18.133	20.333	5.667	20.333	0.279	0.017041525438093365	4.203835975881044e-100	1.2961827592299885e-98	transcript1	transcript2	isoform_switched
