chr	Gene	Transcript1	Transcript2	TTS_transcript1	TTS_transcript2	Ctrl_max_count	Ctrl_count_transcript1	Ctrl_count_transcript2	Ratio_transcript1_vs_2_in_Ctrl	Case_max_count	Case_count_transcript1	Case_count_transcript2	Ratio_transcript1_vs_2_in_Case	odds_ratio	pvalue	FDR	main_isoform_ctrl	main_isoform_case	isoform_switched
1	Cyp2e1	XM_040273494.2	XM_078023636.1	136446	141285	1700.333	666.0	1700.333	0.392	3010.667	3010.667	2796.333	1.077	2.84083337194331	0.0	0.0	transcript2	transcript1	isoform_switched
5	Srsf5	XM_078050126.1	XM_005322838.5	64294646	64296968	512.667	512.667	365.333	1.403	1086.667	468.333	1086.667	0.431	0.3021816293128066	0.0	0.0	transcript1	transcript2	isoform_switched
15	LOC101968370	XM_078031740.1	XR_013430657.1	7933515	7941678	237.333	186.0	237.333	0.784	206.333	206.333	53.667	3.845	4.343429822439258	9.500951325943536e-118	1.6911693360179493e-114	transcript2	transcript1	isoform_switched
3	Ccnl1	XM_078043514.1	XM_005325699.4	96708650	96711606	140.0	140.0	103.0	1.359	406.333	175.667	406.333	0.432	0.3271852133474765	1.553430479848426e-99	1.843404169420132e-96	transcript1	transcript2	isoform_switched
11	LOC101978636	XM_078026214.1	XM_078026215.1	34668229	34672127	249.667	185.333	249.667	0.742	257.333	257.333	155.333	1.657	2.2558125376253084	1.0466767355768986e-64	6.2102819644229314e-62	transcript2	transcript1	isoform_switched
11	Evi5	XM_021728012.3;XM_040288993.2;XM_040288991.2	XM_040288994.2	75697010	75701462	86.667	30.667	86.667	0.354	128.0	128.0	90.333	1.417	3.6837302914919894	3.9186500303629485e-54	1.743799263511512e-51	transcript2	transcript1	isoform_switched
15	Slc38a7	XM_040279294.2	XM_040279293.2;XM_005318255.5	36685805	36688638	111.667	44.667	111.667	0.4	124.333	124.333	103.0	1.207	3.146428060292899	8.60085736897606e-52	3.4021169148394195e-49	transcript2	transcript1	isoform_switched
8	Prp4k	XR_013425345.1;XM_005327499.5;XM_078020491.1	XR_013425346.1;XR_013425348.1;XR_013425347.1;XR_013425350.1;XR_013425352.1;XR_013425349.1;XR_013425351.1	137061929	137065232	70.333	70.333	60.333	1.166	229.333	91.333	229.333	0.398	0.34145014112739547	2.5572140660846236e-50	8.670173405010723e-48	transcript1	transcript2	isoform_switched
4	Rbm14	XM_013361990.4	XM_005333369.5	6344995	6360256	134.0	90.333	134.0	0.674	217.333	217.333	139.667	1.556	2.398275133706155	7.522096337860407e-50	2.43442390570755e-47	transcript2	transcript1	isoform_switched
5	Hhipl1	XM_040276303.2	XM_040276300.2	118725911	118730689	133.667	133.667	48.0	2.785	40.0	21.333	40.0	0.533	0.2137863856839106	1.5358589718480281e-49	4.556381616482483e-47	transcript1	transcript2	isoform_switched
7	Slc35f5	XR_013424021.1;XR_013424024.1;XM_021722200.3;XM_078017227.1	XR_013424022.1;XR_013424025.1;XR_013424023.1;XM_040294093.2;XM_078017226.1	92744463	92754991	39.667	39.667	36.0	1.102	92.667	19.0	92.667	0.205	0.1949325757063969	3.961185475970147e-49	1.1281456235562978e-46	transcript1	transcript2	isoform_switched
7	Hnrnpa3	XM_005324640.5	XM_078017648.1	145013872	145016228	353.0	353.0	302.333	1.168	705.667	511.333	705.667	0.725	0.6303251666328658	4.951841614178822e-44	1.102202013380979e-41	transcript1	transcript2	isoform_switched
3	Rrp1b	XM_013357822.4	XR_013437099.1;XR_013437100.1	214324854	214336637	41.667	29.0	41.667	0.696	46.333	46.333	6.0	7.722	8.64445231091577	3.911960925594223e-43	8.440352057645718e-41	transcript2	transcript1	isoform_switched
1	Snap47	XM_005341281.5	XM_078014574.1	189898078	189903694	87.0	87.0	33.0	2.636	72.0	56.0	72.0	0.778	0.2966093946044489	2.386649007991101e-40	4.592686739701794e-38	transcript1	transcript2	isoform_switched
1	Cxcl12	XM_078042866.1	XM_005334409.5	76288281	76291304	166.667	166.667	113.333	1.471	190.333	123.333	190.333	0.648	0.47403326789431727	3.571681711213691e-36	6.35759344596037e-34	transcript1	transcript2	isoform_switched
9	Sepsecs	XM_078021149.1	XM_078021151.1	18361827	18365989	61.0	55.667	61.0	0.913	256.0	256.0	116.333	2.201	2.389143779185215	5.353876583465223e-33	8.110553462611147e-31	transcript2	transcript1	isoform_switched
10	Srrm2	XM_078024503.1;XM_078024500.1;XM_078024499.1;XM_078024498.1	XR_013427085.1;XM_078024504.1	137871790	137874038	204.333	142.667	204.333	0.698	266.333	266.333	222.333	1.198	1.6962471935670287	3.2437449018746317e-28	3.849243950224563e-26	transcript2	transcript1	isoform_switched
10	Clip2	XR_013426885.1	XM_078023921.1;XM_078023922.1	118435258	118446025	107.333	107.333	85.667	1.253	109.0	59.0	109.0	0.541	0.4503671208818441	6.340001870061972e-27	6.542146857223368e-25	transcript1	transcript2	isoform_switched
13	Ptpn2	XM_005334876.3;XM_078030477.1	XM_005334875.5	89875752	89883150	50.333	40.333	50.333	0.801	129.0	129.0	62.0	2.081	2.5427828970169046	2.2256194201968172e-26	2.26377289597162e-24	transcript2	transcript1	isoform_switched
10	Smg1	XR_013427036.1	XM_078024298.1;XM_078024301.1;XM_078024299.1;XM_078024302.1	132369448	132378244	58.333	58.333	49.333	1.182	129.0	66.333	129.0	0.514	0.42721359846962065	2.4413977706022236e-24	2.287204227195767e-22	transcript1	transcript2	isoform_switched
6	Slc25a15	XM_005330226.5;XM_078016083.1	XR_013423417.1	165496186	165498217	421.0	297.667	421.0	0.707	380.667	380.667	364.333	1.045	1.4453516681453384	2.6681928046387742e-24	2.4672120479257237e-22	transcript2	transcript1	isoform_switched
6	Fgd4	XM_005334043.5	XR_013422988.1;XR_013422987.1	76176714	76209264	32.0	17.667	32.0	0.552	59.0	59.0	31.0	1.903	3.3402918382204767	5.420026087452855e-23	4.649468161766786e-21	transcript2	transcript1	isoform_switched
4	Dixdc1	XM_078046981.1	XM_005334229.5	95518664	95538635	40.667	40.667	23.333	1.743	75.0	46.0	75.0	0.613	0.3518119396135069	2.4859051999128603e-22	2.0113232981113143e-20	transcript1	transcript2	isoform_switched
11	Adgrl2	XM_078026581.1;XM_078026582.1;XM_078026583.1;XM_078026584.1;XM_078026585.1;XM_078026586.1;XM_078026587.1;XM_078026594.1;XM_078026590.1;XM_078026591.1;XM_078026592.1;XM_078026593.1;XM_078026588.1;XM_078026589.1;XM_078026595.1;XM_078026598.1;XM_078026596.1;XM_078026597.1	XM_078026548.1;XM_078026555.1;XM_078026566.1;XM_078026556.1;XM_078026558.1;XM_078026567.1;XM_078026561.1;XM_078026563.1;XM_078026570.1;XM_078026557.1;XM_078026559.1;XM_078026560.1;XM_078026562.1;XM_078026569.1;XM_078026564.1;XM_078026565.1;XM_078026572.1;XM_078026568.1;XM_078026571.1;XM_078026576.1;XM_078026574.1;XM_078026578.1;XM_078026573.1;XM_078026577.1;XM_078026575.1;XM_078026580.1	65452537	65454554	47.667	47.667	24.333	1.959	131.667	101.667	131.667	0.772	0.4028672153181855	2.72127181299068e-22	2.177017450392544e-20	transcript1	transcript2	isoform_switched
3	Ttc14	XM_078043701.1	XM_005330263.5	124490471	124492578	54.333	54.333	38.0	1.43	129.333	79.0	129.333	0.611	0.4443629110695992	9.39073234142642e-21	6.964793153224595e-19	transcript1	transcript2	isoform_switched
y	LOC101970919	XM_078035364.1;XM_078035365.1	XM_078035358.1;XM_078035361.1	2849074	2861686	20.667	12.667	20.667	0.613	45.333	45.333	18.0	2.518	3.975193219016952	2.96002972700764e-20	2.1075411656294396e-18	transcript2	transcript1	isoform_switched
4	LOC101978269	XM_078045791.1	XM_078045789.1	9382273	9386710	129.667	129.667	72.0	1.801	111.667	108.0	111.667	0.967	0.5278500886163731	1.3693051844037596e-19	9.197597087693178e-18	transcript1	transcript2	isoform_switched
9	LOC101975056	XM_078021373.1	XM_078021374.1	52004931	52007769	106.0	72.667	106.0	0.686	63.667	63.667	43.0	1.481	2.1655973674611544	7.314814670614893e-19	4.6920252661962195e-17	transcript2	transcript1	isoform_switched
6	Plekha5	XM_078015171.1	XM_078015181.1	88741429	88947550	41.667	30.333	41.667	0.728	61.333	61.333	33.667	1.822	2.561331908260486	2.4375630470674216e-17	1.4110121052943124e-15	transcript2	transcript1	isoform_switched
4	Tut7	XM_021734645.3;XM_078047383.1;XM_021734646.3	XM_013363833.4;XM_040285593.2;XM_040285592.2	126658085	126665852	126.667	126.667	125.0	1.013	252.667	162.0	252.667	0.641	0.6292722937266483	3.620555086956194e-17	2.0459009697720715e-15	transcript1	transcript2	isoform_switched
5	Acot8	XM_005325255.3	XM_078052062.1	196289039	196295456	25.667	25.667	11.0	2.333	24.667	15.0	24.667	0.608	0.25444612998433797	2.503207680606486e-16	1.2915100497042157e-14	transcript1	transcript2	isoform_switched
4	Ctsc	XM_078046842.1	XM_078046843.1	74932765	74958583	59.667	35.333	59.667	0.592	73.667	73.667	54.0	1.364	2.1660168363955195	3.3931065481359317e-16	1.7380516994768226e-14	transcript2	transcript1	isoform_switched
6	Pan3	XM_005317060.4	XM_021730148.3	176567498	176570255	45.333	38.0	45.333	0.838	86.667	86.667	47.0	1.844	2.1857052948539466	5.864249703198813e-16	2.94038435822363e-14	transcript2	transcript1	isoform_switched
x	Atp11c	XR_013431658.1	XM_040286275.2	13104532	13107077	34.667	34.667	31.0	1.118	102.333	50.333	102.333	0.492	0.438838281543608	6.389846007508054e-16	3.1815177324096044e-14	transcript1	transcript2	isoform_switched
11	Sesn2	XM_078025714.1	XM_005317684.5	19364392	19366773	84.667	84.667	80.0	1.058	140.667	84.333	140.667	0.6	0.5606620408510156	7.813019149563795e-16	3.8364618168892566e-14	transcript1	transcript2	isoform_switched
