Enhancer_ID	chr	start	end	SRR13652347	SRR13652348	SRR13652349	SRR13652335	SRR13652336	SRR13652337
1	chr1	10228358	10229597	14.359168725082014	11.354911321136383	33.05462156546927	38.21388952669676	15.7353463948541	26.29358177432941
2	chr1	103756872	103758821	44.27410356900288	32.80307714994955	14.874579704461173	41.04454801015578	17.833392580834648	24.70003136376399
3	chr1	10563775	10566109	58.6332722940849	35.32639077686874	67.21106384978752	39.62921876842627	82.8728243462316	70.11621806487842
4	chr1	10568509	10569798	10.76937654381151	21.448165828813167	38.01281480028966	7.0766462086475475	12.58827711588328	15.13872890037148
5	chr1	107419996	107421379	29.914934843920864	22.709822642272766	34.70735264374274	9.907304692106568	43.00994681260121	77.2871949124228
6	chr1	114697474	114699890	159.147453369659	99.67088826330824	142.13487273151787	176.91615521618868	201.41243385413247	155.37116503012834
7	chr1	114705579	114706860	117.2665445881698	66.8678111133587	93.10385074273844	103.3190346462542	101.7552400200565	78.88074532298823
8	chr1	115532890	115534666	57.43667490032806	36.588047590328344	60.60013953669366	150.02489962332803	119.58863260089116	143.4195369508877
9	chr1	119666738	119669410	23.931947875136693	52.989586165303116	66.66015349036303	49.536523460532834	68.18650104436776	52.58716354865882
10	chr1	119912003	119913304	125.64272634446763	138.78224948055578	145.99124524748927	182.57747218310675	129.0298404378036	138.63888571919142
11	chr1	119931314	119932809	29.914934843920864	36.588047590328344	49.58193234820391	28.30658483459019	31.4706927897082	33.46455862187379
12	chr1	121052248	121053592	128.0359211319813	292.70438072262675	174.08767357813815	155.68621659024606	121.68667878687171	94.81624942864242
13	chr1	123626490	123627854	31.1115322376777	8.831597694217185	42.42009767568556	52.36718194399185	65.03943176539694	82.06784614411907
14	chr1	123659499	123660794	10.76937654381151	10.093254507676784	23.138235095828488	45.29053573534431	32.51971588269847	44.61941149583173
15	chr1	123798036	123800001	15.55576611883885	7.5699408807575885	22.036414376979515	52.36718194399185	15.7353463948541	29.480682595460248
16	chr1	123809738	123811367	26.32514266265036	17.66319538843437	35.80917336259171	69.35113284474598	63.99040867240667	52.58716354865882
17	chr1	128407307	128408826	1.1965973937568346	3.7849704403787943	8.814565750791806	22.645267867672153	24.127531138776284	27.09035697961212
18	chr1	130062496	130064399	19.145558300109354	10.093254507676784	28.09642833064888	12.737963175565586	14.686323301863826	10.358077668675222
19	chr1	133984063	133985857	16.752363512595686	15.139881761515177	19.83277293928156	39.62921876842627	24.127531138776284	29.480682595460248
20	chr1	134734701	134736553	16.752363512595686	10.093254507676784	19.281862579857076	60.859157394368914	28.323623510737377	47.80651231696256
21	chr1	134831835	134833324	10.76937654381151	2.523313626919196	3.856372515971415	14.153292417295095	11.539254022893006	14.341953695088769
22	chr1	137162656	137165743	17.948960906352518	20.18650901535357	19.83277293928156	11.322633933836077	24.127531138776284	15.13872890037148
23	chr1	137184612	137185778	16.752363512595686	12.61656813459598	2.7545517971224394	18.399280142483626	16.784369487844373	23.90325615848128
