long-eRNA	log2fc	pvalue	FDR
4:162836768-162876740:-	-1.9059900515511952	1.655119221776771e-71	1.9861430661321254e-69
nw_027521300.1:174289-202622:-	-1.0732700622304232	1.2325089029009706e-40	7.395053417405824e-39
9:142043796-142057258:+	-2.051897885451229	8.290502370600013e-37	3.316200948240005e-35
nw_027523264.1:1018013-1042331:+	-1.6635926727379462	8.998154250066234e-36	2.6994462750198704e-34
2:58775097-58957080:+	-1.0666200285208243	1.1041985997492448e-34	2.6500766393981876e-33
nw_027522939.1:65023-75411:+	0.814194404197091	3.898596996024614e-31	7.797193992049229e-30
16:36786274-36796508:+	-1.6644314699812797	1.7306071951234314e-29	2.966755191640168e-28
2:68525567-68539628:-	-2.3363206065210624	3.862912279282158e-29	5.794368418923237e-28
5:120454138-120468102:-	-1.6069303353477427	5.271412437356337e-27	7.028549916475116e-26
nw_027521144.1:51395-62700:-	-1.1327621639151326	3.3095067747010075e-26	3.971408129641209e-25
nw_027522124.1:17052-32072:+	-1.6130874318567967	5.611706956065208e-22	6.1218621338893184e-21
7:66256675-66276334:+	-1.5106557867978678	7.7511217553835875e-22	7.751121755383587e-21
nw_027520944.1:213475-230568:+	-1.3190261849190856	1.522538767639832e-21	1.4054204008983064e-20
5:64336315-64361749:+	-2.4718732233600096	4.808826670493414e-21	3.8470613363947314e-20
nw_027520990.1:727242-743996:-	-2.5310956856588978	4.492071880691567e-21	3.8470613363947314e-20
nw_027521049.1:408859-429953:-	-1.1631260264557823	5.951085553012217e-19	4.463314164759162e-18
nw_027526045.1:515022-542292:+	-1.218675651667485	8.075068200529269e-18	5.606559926302637e-17
nw_027520944.1:158747-171780:-	-1.5280072750269664	8.409839889453954e-18	5.606559926302637e-17
5:64361863-64372738:+	-1.3909080948319636	1.5491083841287285e-17	9.78384242607618e-17
13:23812624-23824010:-	-1.4927449703173439	5.619078351910971e-17	3.3714470111465827e-16
nw_027521339.1:30701-60988:+	-0.9561257775936306	6.068436166899157e-17	3.4676778096566615e-16
nw_027522720.1:2591169-2612024:+	-1.0567200655777962	1.616652407681968e-16	8.818104041901645e-16
4:141343218-141358977:-	-1.3723882096586644	3.620265877695014e-16	1.8888343709713118e-15
6:25435694-25446704:-	-1.314414387911264	7.198475155838302e-16	3.599237577919151e-15
15:36743580-36759012:+	-1.2495100077285515	2.1790459730509765e-15	1.0459420670644686e-14
nw_027522274.1:388524-408444:+	-1.935348325260835	5.091830937487681e-13	2.350075817302007e-12
nw_027523660.1:1693027-1706721:+	-1.8865263292216177	1.7404523027354746e-12	7.701806749014724e-12
2:148561414-148580944:-	-1.0344352285602043	1.797088241436769e-12	7.701806749014724e-12
10:62352895-62372965:-	-0.8511430301170714	2.0770352122954875e-12	8.594628464670983e-12
10:98955053-98974881:-	-0.8827733294381691	6.7365424379727496e-12	2.6946169751890998e-11
nw_027522720.1:1569338-1591478:+	-1.4199280381507906	3.984683283780907e-11	1.5424580453345446e-10
nw_027521401.1:188889-252487:+	0.8921327219558268	1.4764070928738721e-10	5.536526598277021e-10
13:16561478-16573778:-	-1.3164326279999816	9.44383801326828e-10	3.4341229139157383e-09
4:55960819-55978342:-	0.7914336348254813	3.345376381263164e-09	1.1807210757399402e-08
nw_027521246.1:97506-168786:+	-1.1054551467216283	4.645917045917114e-08	1.592885844314439e-07
2:150337601-150354160:+	-1.5005441956577943	5.142316928299063e-08	1.7141056427663543e-07
nw_027522873.1:102468-140092:+	-0.7419957414398565	7.759785490817213e-08	2.516687186210988e-07
nw_027522943.1:14582-39583:+	-0.7723065505231956	8.400305901187579e-08	2.652728179322393e-07
nw_027523678.1:127482-160598:+	0.3929025877113311	6.427351465310423e-07	1.9776466047108995e-06
14:70223797-70245679:-	-1.694084642041151	1.46628636542228e-06	4.39885909626684e-06
6:24762648-24776851:+	-1.7084550519529826	1.5800462286453825e-06	4.624525547254778e-06
nw_027522984.1:14503-35330:+	-0.6360558269107738	1.6506645951692748e-06	4.7161845576265e-06
nw_027524315.1:236159-274648:+	-0.680806186045566	1.9357348997870952e-06	5.402050883126777e-06
nw_027521117.1:74848-111561:-	-0.6373874943232739	2.6284536846071897e-06	7.1685100489287e-06
nw_027521478.1:225502-246440:+	-0.6251480432210355	6.771807050691221e-06	1.7665583610498837e-05
nw_027524982.1:409549-424450:-	-1.3136939479696421	6.71472113705844e-06	1.7665583610498837e-05
4:141308070-141332184:-	-0.6991686228456122	1.127477263103733e-05	2.878665352605276e-05
1:14553169-14596043:+	-0.7799578598922808	1.692660401216688e-05	4.231651003041719e-05
9:18416680-18445179:-	-0.7397568487826361	1.905214809375319e-05	4.665832186225271e-05
1:201100539-201146342:-	-1.2289347906639545	2.53229442307356e-05	6.077506615376544e-05
nw_027526100.1:937845-958611:-	-0.5417144215425791	3.4029508434825e-05	8.006943161135294e-05
nw_027524086.1:137256-166008:-	-1.5318935968339802	4.221694355117638e-05	9.74237158873301e-05
nw_027521924.1:127889-148884:-	-0.5550708973834846	4.652139747274796e-05	0.00010533146597603312
12:106814014-106826718:+	0.5530840776453978	4.876581170803914e-05	0.0001083684704623092
nw_027524096.1:68841-108170:+	-0.6291664523626902	8.530452738095658e-05	0.000186118968831178
4:55977722-55993273:+	0.9141893119355677	9.85525810709079e-05	0.00021118410229480265
1:206552341-206602464:-	-1.0788269769338679	0.00013876119624038093	0.00029212883419027567
13:46908447-46918871:+	1.2467816444875324	0.00016169856522162322	0.0003345487556309446
5:120433211-120446584:-	-0.9972526503903572	0.00017599777615174794	0.00035796157861372465
nw_027520965.1:258806-302739:-	0.39224892453961796	0.00025949239045874964	0.0005189847809174993
3:44589820-44630127:+	-0.8400398575984287	0.0002961025714411334	0.0005824968618514101
nw_027524175.1:1490023-1512248:-	-0.5623189005286108	0.0003833229931866431	0.0007419154706838252
nw_027526147.1:276884-298468:-	-0.7137239681506128	0.00045967393670371954	0.0008755694032451801
16:52132552-52144314:-	-0.937668799073763	0.00047088268379727693	0.0008829050321198942
6:67461457-67471604:-	-0.68958397101764	0.0007211356360342529	0.001331327328063236
